0:0:0 | [CMD] HastasyzBaba(16) => /sarkilar
23:9:6 | [CMD] ibrahimkk(6) => /pm 8 tmm
23:9:7 | [CMD] [eN]Overlord(12) => /arenk1
23:9:9 | [CMD] [eN]Overlord(12) => /modifiye
23:9:15 | [CMD] ahmet55(9) => /rescue
23:9:18 | [CMD] ibrahimkk(6) => /pm 12 :D
23:9:27 | [CMD] HeRquL(7) => /ceivr
23:9:29 | [CMD] HeRquL(7) => /cevir
23:9:32 | iYasinBey(8): herkez týrcý la
23:9:33 | ibrahimkk(6): gg :D
23:9:35 | [CMD] HeRquL(7) => /cevir
23:9:38 | xqHost(10): aynen
23:9:41 | ibrahimkk(6): herqul gg beyler
23:9:42 | [CMD] [eN]Overlord(12) => /pm 6 bana attýðýn 10m'yi nasýl karþýlayým sana
23:9:44 | ibrahimkk(6): cakildi
23:9:46 | [eN]Overlord(12): çarpýldý mý
23:9:50 | [CMD] ibrahimkk(6) => /pm 12 gerek yok
23:9:50 | nik0tin(11): darbe var :D 
23:9:52 | HeRquL(7): f-16 düþtü
23:9:53 | ibrahimkk(6): :D
23:9:56 | iYasinBey(8): :D
23:9:57 | xqHost(10): rusya
23:9:58 | [CMD] HeRquL(7) => /cevir
23:9:58 | [eN]Overlord(12): la
23:10:3 | [CMD] ahmet55(9) => /work
23:10:4 | [eN]Overlord(12): ne darbesi
23:10:5 | [CMD] HeRquL(7) => /goto 11
23:10:5 | [ANTIHACK] Þüpheli HeRquL(7) => Airbreak-hack
23:10:7 | [CMD] [eN]Overlord(12) => /convoy
23:10:9 | [CMD] HeRquL(7) => /cevir
23:10:9 | iYasinBey(8): aa ayýp
23:10:11 | ibrahimkk(6): HUCUMM!!
23:10:14 | xqHost(10): eyyy rusya
23:10:16 | iYasinBey(8): adminlik bitmiþ püðh
23:10:16 | [LOCAL]HeRquL(7): ipne :D
23:10:16 | [CMD] HeRquL(7) => /l ipne :D
23:10:23 | ibrahimkk(6): puu size
23:10:32 | iYasinBey(8): bana deðil la
23:10:33 | xqHost(10): yarýn okul var yav :/
23:10:34 | iYasinBey(8): aaa
23:10:34 | [CMD] HeRquL(7) => /atamir
23:10:37 | ibrahimkk(6): ;D
23:10:39 | ibrahimkk(6): sana yok
23:10:40 | [eN]Overlord(12): ula ambulans yokmu
23:10:42 | [CMD] ahmet55(9) => /saat 0000
23:10:44 | iYasinBey(8): dua et gereksiz kick yasak
23:10:45 | [CMD] ahmet55(9) => /hava 9
23:10:47 | iYasinBey(8): valla sinir ettin
23:10:48 | iYasinBey(8): :d
23:10:50 | xqHost(10): niye
23:10:51 | ahmet55(9): arac res
23:10:54 | ibrahimkk(6): :D
23:10:56 | [eN]Overlord(12): lan
23:10:56 | HeRquL(7): :D
23:10:57 | iYasinBey(8): yarýn okul var niye diyon
23:10:58 | xqHost(10): xd
23:11:1 | [eN]Overlord(12): tren çarptý bana
23:11:2 | [CMD] HeRquL(7) => /atamir
23:11:3 | [CMD] nik0tin(11) => /car hydra 1 1
23:11:6 | [CMD] nik0tin(11) => /plane 
23:11:6 | sezzer(14): niye demeyince olmýcak mý
23:11:8 | xqHost(10): hepimiz bu acýya ortak olalým dedim
23:11:9 | iYasinBey(8): w
23:11:10 | ibrahimkk(6): niye harlatiyon
23:11:12 | iYasinBey(8): olsun
23:11:13 | [CMD] HeRquL(7) => /a :D.D .kaçanzi
23:11:14 | [CMD] nik0tin(11) => /car rhino 1 1
23:11:16 | [eN]Overlord(12): hatýrlatma kardeþ
23:11:16 | ibrahimkk(6): hatirlatiyon*
23:11:28 | [SirketCHT] ibrahimkk(6): ! 1 hafta sonra goruscez
23:11:28 | [CMD] nik0tin(11) => /car barracks 1 1
23:11:32 | iYasinBey(8): oha týr az daha gidiyordu suya son anda
23:11:36 | xqHost(10): yav zaten eninde sonunda yatcaniz paþa paþa gitceniz okula
23:11:36 | [SirketCHT] iYasinBey(8): ! kimle neden
23:11:39 | [eN]Overlord(12): trenci köz getir kardeþim hýzlý
23:11:39 | [CMD] nik0tin(11) => /myskin 286
23:11:41 | [CMD] nik0tin(11) => /myskin 287
23:11:42 | [SirketCHT] ibrahimkk(6): ! oyuna giremiyom
23:11:46 | [SirketCHT] iYasinBey(8): ! hm
23:11:48 | [SirketCHT] ibrahimkk(6): ! babam izin vermiyo pc acmaya
23:11:49 | [eN]Overlord(12): f16 köz getir
23:11:53 | sezzer(14): kardþm elma-kavun vardý gelmedi bi bakar mýsýn
23:12:2 | [CMD] HeRquL(7) => /atamir
23:12:7 | [CMD] HeRquL(7) => /cantazele
23:12:10 | [CMD] iYasinBey(8) => /pm 6 bittimi görevin
23:12:12 | [CMD] HeRquL(7) => /atamir
23:12:15 | [CMD] ibrahimkk(6) => /pm 8 az kaldi
23:12:24 | [CMD] iYasinBey(8) => /pm 6 benimde 700 m
23:12:25 | [eN]Overlord(12): f16 geliyo la
23:12:37 | [CMD] ibrahimkk(6) => /pm 8 bitti chat a bak :D
23:12:38 | [KAMYONCU] ibrahimkk, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 861 Saniye
23:12:39 | xqHost(10): yav hüseyin nerdesin ya
23:12:42 | [eN]Overlord(12): darbeci herkül
23:12:42 | {FFCC00}HeRquL(7) {FFFFFF}Kamyoncu olarak spawn oldu.
23:12:44 | xqHost(10): maaþlarý vereydi iyidi
23:12:46 | [SirketCHT] ibrahimkk(6): ! bitti benim
23:12:47 | [CMD] HeRquL(7) => /portvehicle 713
23:12:48 | [CMD] ibrahimkk(6) => /sirket
23:12:49 | [CMD] iYasinBey(8) => /pm 6 þimdi chate bak
23:12:52 | [CMD] HeRquL(7) => /portvehicle 713
23:13:1 | [CMD] ibrahimkk(6) => /pm 8 vayyy vayy vayyy
23:13:2 | [eN]Overlord(12): hadi çevikler herqulu durdurun adam f16 ile darbe yapýyor
23:13:5 | [KAMYONCU] iYasinBey, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 1869 Saniye
23:13:6 | nik0tin(11): o gelmez bu saatten sonra 
23:13:8 | [CMD] HeRquL(7) => /duyuru darbe var lv de f-16 ucuyo
23:13:10 | [eN]Overlord(12): hadi çevikler herqulu durdurun adam f16 ile darbe yapýyor
23:13:10 | xqHost(10): neden
23:13:12 | [eN]Overlord(12): hadi çevikler herqulu durdurun adam f16 ile darbe yapýyor
23:13:13 | [CMD] HeRquL(7) => /kemer
23:13:14 | [CMD] ibrahimkk(6) => /pm 8 :D
23:13:15 | [CMD] iYasinBey(8) => /goto 6
23:13:17 | [CMD] ibrahimkk(6) => /pm 8 nereye geliymi
23:13:18 | [CMD] iYasinBey(8) => /goto 6
23:13:18 | [CMD] nik0tin(11) => /atamir 
23:13:20 | [CMD] HeRquL(7) => /duyuru darbe var lv de f-16 ucuyo
23:13:22 | [CMD] ibrahimkk(6) => /pm 8 banka id kacti?
23:13:24 | [CMD] iYasinBey(8) => /pm 6 at 50m
23:13:28 | xqHost(10): neden gelmez
23:13:29 | [CMD] iYasinBey(8) => /pm 6 1850
23:13:34 | nik0tin(11): gelmiyor
23:13:36 | (BANKA) ibrahimkk(6) 325 nolu banka hesabindan 1850 nolu banka hesabina 50000000$ aktardi.
23:13:37 | nik0tin(11): anca yarýn
23:13:44 | [LOCAL]ibrahimkk(6): bizde saka yokk
23:13:44 | [CMD] ibrahimkk(6) => /l bizde saka yokk
23:13:51 | xqHost(10): bende hiç girmicek sandým :D
23:13:59 | [CMD] HeRquL(7) => /atamir
23:13:59 | ibrahimkk(6):  @8 sokta
23:14:5 | (BANKA) iYasinBey(8) 1850 nolu banka hesabindan 50000000$ cekti.
23:14:8 | ibrahimkk(6): 70m attim titriyo
23:14:9 | [eN]Overlord(12): sokta derken sjskd
23:14:12 | ibrahimkk(6): yardim edin loo
23:14:14 | [CMD] [eN]Overlord(12) => /pm 6 banada atsana
23:14:17 | xqHost(10): þu yol bitsin çevik olcam gençler yok öle aþýrý yükleri alýonuz :D
23:14:22 | [CMD] [eN]Overlord(12) => /pm 6 40m 
23:14:28 | [CMD] ibrahimkk(6) => /pm 12 soon parami buna attim isyerinden cektim
23:14:30 | [CMD] iYasinBey(8) => /pm 6 bide 100m at
23:14:30 | [CMD] [eN]Overlord(12) => /pm 6 70m ne abey
23:14:37 | [CMD] [eN]Overlord(12) => /pm 6 yarýsýný bana atsýn.
23:14:37 | [CMD] ibrahimkk(6) => /pm 12 o kadar birikmisti
23:14:42 | [CMD] [eN]Overlord(12) => /pm 6 yarýsýný bana atsýn fakirim
23:14:48 | [CMD] iYasinBey(8) => /pm 6 bide 100m at
23:14:51 | [eN]Overlord(12): ysasin
23:14:54 | iYasinBey(8): efm
23:14:54 | [eN]Overlord(12): yasin
23:14:54 | [KAMYONCU] sezzer, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 179939$, 1 Skor ve 5 EXP Sure: 418 Saniye
23:14:55 | [CMD] ibrahimkk(6) => /pm 12 bende zenginlikten yere acil inis yaptim
23:14:57 | ibrahimkk(6): beyler
23:14:58 | [CMD] sezzer(14) => /karakol
23:14:59 | ibrahimkk(6): suan 
23:15:1 | [eN]Overlord(12): yarýsý benim kocum
23:15:1 | [CMD] sezzer(14) => /cezaode
23:15:5 | iYasinBey(8): yarýsý benim
23:15:6 | [CMD] sezzer(14) => /cezaode
23:15:7 | iYasinBey(8): ooo
23:15:12 | [CMD] ahmet55(9) => /saat 000
23:15:14 | [CMD] sezzer(14) => /meslek
23:15:15 | ibrahimkk(6): zengilikten yere inis yaptim fakirlik dis boyu
23:15:16 | iYasinBey(8): ibo 
23:15:17 | 
23:15:17 | [eN]Overlord(12): la at iþte
23:15:18 | ibrahimkk(6): ne?
23:15:20 | iYasinBey(8): 100m
23:15:21 | iYasinBey(8): at
23:15:22 | iYasinBey(8): :d
23:15:24 | sezzer(14): 2025 
23:15:25 | [CMD] ahmet55(9) => /hava 1
23:15:25 | [LOCAL]ibrahimkk(6): olm para yok
23:15:25 | [CMD] ibrahimkk(6) => /l olm para yok
23:15:27 | [LOCAL]ibrahimkk(6): desne
23:15:27 | [CMD] ibrahimkk(6) => /l desne
23:15:29 | [CMD] ahmet55(9) => /saat 12
23:15:29 | [LOCAL]iYasinBey(8): vardýr
23:15:29 | [CMD] iYasinBey(8) => /l vardýr
23:15:31 | ibrahimkk(6): parami var
23:15:33 | sezzer(14): beyler 7 görev kargocu olcak var mý
23:15:40 | [CMD] ahmet55(9) => /skapat
23:15:40 | [LOCAL]ibrahimkk(6): yok sana yeter
23:15:40 | [CMD] ibrahimkk(6) => /l yok sana yeter
23:15:41 | [LOCAL]iYasinBey(8): at 100m hesap no : 1850
23:15:41 | [CMD] iYasinBey(8) => /l at 100m hesap no : 1850
23:15:44 | [CMD] [eN]Overlord(12) => /pm 8 bari 15m at ya hesap no 1798
23:15:45 | [LOCAL]ibrahimkk(6): harclik attim
23:15:45 | [CMD] ibrahimkk(6) => /l harclik attim
23:15:47 | ahmet55(9): ben
23:15:48 | [CMD] sezzer(14) => /modifiye
23:15:48 | xqHost(10): geliyom
23:15:49 | [LOCAL]iYasinBey(8): la yarým saattýr adama atýyon
23:15:49 | [CMD] iYasinBey(8) => /l la yarým saattýr adama atýyon
23:15:49 | [KAMYONCU] xqHost, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 514 Saniye
23:15:52 | [CMD] iYasinBey(8) => /pm 12 yoh
23:15:52 | [CMD] xqHost(10) => /karakol
23:15:52 | [CMD] HeRquL(7) => /atamir
23:15:55 | [LOCAL]ibrahimkk(6): :D
23:15:55 | [CMD] ibrahimkk(6) => /l :D
23:15:56 | [CMD] xqHost(10) => /cezaode
23:15:56 | sezzer(14): ggel ahmet
23:15:57 | [CMD] [eN]Overlord(12) => /pm 8 10m
23:15:58 | [CMD] xqHost(10) => /cezaode
23:16:0 | [CMD] [eN]Overlord(12) => /tamir
23:16:1 | [LOCAL]ibrahimkk(6): cikiyom ben birazdan
23:16:1 | [CMD] ibrahimkk(6) => /l cikiyom ben birazdan
23:16:1 | [CMD] xqHost(10) => /karakol
23:16:2 | ahmet55(9): tm
23:16:2 | [CMD] iYasinBey(8) => /pm 12 yok
23:16:3 | [CMD] xqHost(10) => /meslek
23:16:4 | [LOCAL]ibrahimkk(6): cikiyom ben birazdan
23:16:4 | [CMD] ibrahimkk(6) => /l cikiyom ben birazdan
23:16:5 | [LOCAL]iYasinBey(8): at 100m
23:16:5 | [CMD] iYasinBey(8) => /l at 100m
23:16:5 | [CMD] [eN]Overlord(12) => /pm 8 la
23:16:6 | [CMD] ahmet55(9) => /goreviptal
23:16:7 | 
23:16:7 | {FFCC00}HeRquL(7) {FFFFFF}Kamyoncu olarak spawn oldu.
23:16:9 | xqHost(10): niye ben deil la
23:16:10 | [CMD] xqHost(10) => /rescue
23:16:10 | [LOCAL]iYasinBey(8): at 100m
23:16:10 | [CMD] iYasinBey(8) => /l at 100m
23:16:11 | [CMD] [eN]Overlord(12) => /pm 8 70m paran var
23:16:11 | [CMD] ahmet55(9) => /meslek
23:16:13 | [CMD] HeRquL(7) => /portvehicle 71
23:16:14 | [CMD] [eN]Overlord(12) => /pm 8 daha ne istiyosn
23:16:15 | [CMD] HeRquL(7) => /portvehicle 713
23:16:16 | sezzer(14): knk farketmez 
23:16:17 | [LOCAL]ibrahimkk(6): sinirlendirdin beni 
23:16:17 | [CMD] ibrahimkk(6) => /l sinirlendirdin beni 
23:16:19 | [LOCAL]iYasinBey(8): la 350m var diyen ben deðildim
23:16:19 | [CMD] iYasinBey(8) => /l la 350m var diyen ben deðildim
23:16:19 | [CMD] [eN]Overlord(12) => /pm 6 reis yaw
23:16:21 | Necdet03(13) oyuna girdi [IP: 176.40.150.3]
23:16:21 | [CMD] ahmet55(9) => /rescue
23:16:21 | [LOCAL]ibrahimkk(6): yok sana para
23:16:21 | [CMD] ibrahimkk(6) => /l yok sana para
23:16:21 | sezzer(14): ilk ahmet yazdý diye dedim
23:16:22 | [CMD] iYasinBey(8) => /pm 12 2m atarým
23:16:24 | [CMD] HeRquL(7) => /kemer
23:16:24 | [CMD] [eN]Overlord(12) => /pm 6 söylesene yarýsýný bana atsýn
23:16:25 | [LOCAL]ibrahimkk(6): sensin
23:16:25 | [CMD] ibrahimkk(6) => /l sensin
23:16:27 | [LOCAL]ibrahimkk(6): at para
23:16:27 | [CMD] ibrahimkk(6) => /l at para
23:16:29 | [CMD] sezzer(14) => /work
23:16:30 | [LOCAL]xqHost(10): tm D:Ç
23:16:30 | [CMD] xqHost(10) => /l tm D:Ç
23:16:30 | [LOCAL]iYasinBey(8): no
23:16:30 | [CMD] iYasinBey(8) => /l no
23:16:32 | [CMD] ibrahimkk(6) => /pmkapat 12
23:16:32 | [CMD] nik0tin(11) => /a 2 tur verde bende sürem :D 
23:16:33 | [LOCAL]iYasinBey(8): at 100m la
23:16:33 | [CMD] iYasinBey(8) => /l at 100m la
23:16:34 | [CMD] ibrahimkk(6) => /pmoff
23:16:34 | [LOCAL]sezzer(14): geldi mi görev
23:16:34 | [CMD] sezzer(14) => /l geldi mi görev
23:16:35 | 
23:16:37 | [LOCAL]xqHost(10): +
23:16:37 | [CMD] xqHost(10) => /l +
23:16:38 | [CMD] iYasinBey(8) => /a ben süycem
23:16:38 | [CMD] [eN]Overlord(12) => /pm 6 hatta 20m atsýn
23:16:39 | [CMD] HeRquL(7) => /atamir
23:16:40 | [LOCAL]ibrahimkk(6): yok sana para
23:16:40 | [CMD] ibrahimkk(6) => /l yok sana para
23:16:40 | [CMD] [eN]Overlord(12) => /pm 6 hatta 20m atsýn
23:16:41 | [CMD] HeRquL(7) => /a :D
23:16:43 | [LOCAL]ibrahimkk(6): para yok sana
23:16:43 | [CMD] ibrahimkk(6) => /l para yok sana
23:16:44 | {FFCC00}Necdet03(13) {FFFFFF}Kamyoncu olarak spawn oldu.
23:16:48 | [CMD] xqHost(10) => /fps
23:16:50 | [CMD] [eN]Overlord(12) => /Pm 8 hadi 3021m ye anlaþalým xdzkjad
23:16:51 | Necdet03(13): sve ne eklendi ya 19 saat bakým
23:16:52 | [LOCAL]ibrahimkk(6): /nahharaketi yokmu yaw
23:16:52 | [CMD] ibrahimkk(6) => /l /nahharaketi yokmu yaw
23:16:53 | [LOCAL]iYasinBey(8): hadi la arabada almam lazým
23:16:53 | [CMD] iYasinBey(8) => /l hadi la arabada almam lazým
23:16:56 | [CMD] ahmet55(9) => /work
23:16:59 | [CMD] xqHost(10) => /hava 10
23:17:2 | [CMD] iYasinBey(8) => /nahhareketi
23:17:3 | [CMD] xqHost(10) => /saat 22
23:17:4 | [LOCAL]ibrahimkk(6): olm benim arabam yok
23:17:4 | [CMD] ibrahimkk(6) => /l olm benim arabam yok
23:17:5 | ibrahimkk(6): beyler
23:17:6 | [LOCAL]iYasinBey(8): yoh
23:17:6 | [CMD] iYasinBey(8) => /l yoh
23:17:6 | [CMD] [eN]Overlord(12) => /Pm 8 olr
23:17:7 | xqHost(10):  /hava 10  /saat 22 
23:17:8 | ibrahimkk(6): arge ye
23:17:13 | [CMD] iYasinBey(8) => /pm 12 olmaz olmaz
23:17:13 | [CMD] [eN]Overlord(12) => /hava 10
23:17:15 | [CMD] [eN]Overlord(12) => /saat 22
23:17:17 | [CMD] iYasinBey(8) => /pm 12 kurtarmaz
23:17:17 | [CMD] Necdet03(13) => /hava 10
23:17:17 | ibrahimkk(6):  /nahsanapara animi yazsam gelirmi
23:17:21 | [CMD] [eN]Overlord(12) => /pm 8 olum hani 2m vvercekktin
23:17:22 | [CMD] xqHost(10) => /nahsanapara
23:17:23 | iYasinBey(8): :D
23:17:23 | [CMD] Necdet03(13) => /saat 22
23:17:24 | [CMD] [eN]Overlord(12) => /nahsanapara
23:17:28 | ibrahimkk(6): soyle elini yaliyon bi sarp atiyon ya
23:17:29 | Necdet03(13): yasin
23:17:29 | ibrahimkk(6): :D
23:17:31 | [CMD] xqHost(10) => /fps
23:17:31 | ibrahimkk(6): gelsin o :D
23:17:32 | iYasinBey(8) [eN]Overlord(12)'a 2000000$ para gönderdi
23:17:32 | [CMD] iYasinBey(8) => /paragonder 12 2000000
23:17:34 | iYasinBey(8): efm
23:17:37 | [CMD] ibrahimkk(6) => /nahsanapara
23:17:39 | Necdet03(13): ne eklendi sve
23:17:41 | ibrahimkk(6):  /nahsanapara
23:17:43 | [eN]Overlord(12): para getir kardeþim hýzlý
23:17:45 | ibrahimkk(6): hic bisi
23:17:45 | [CMD] [eN]Overlord(12) => /tamir
23:17:47 | xqHost(10): kobra necdet hg
23:17:49 | [CMD] ibrahimkk(6) => /gobus
23:17:51 | Necdet03(13): host
23:17:59 | Necdet03(13): rahatsýz oluyorum kardeþim bu konuda
23:18:8 | [LOCAL]iYasinBey(8): hadi la alt tarafý 100m
23:18:8 | [CMD] iYasinBey(8) => /l hadi la alt tarafý 100m
23:18:8 | ibrahimkk(6): bisi gelmedi
23:18:15 | [LOCAL]ibrahimkk(6): sen at o zaman
23:18:15 | [CMD] ibrahimkk(6) => /l sen at o zaman
23:18:15 | [eN]Overlord(12): baþ geldi baþ
23:18:19 | [LOCAL]xqHost(10): bu da aðlýyor
23:18:19 | [CMD] xqHost(10) => /l bu da aðlýyor
23:18:20 | [CMD] Necdet03(13) => /bonus
23:18:20 | [LOCAL]ibrahimkk(6): o kadar paran var
23:18:20 | [CMD] ibrahimkk(6) => /l o kadar paran var
23:18:21 | iYasinBey(8): bilmiyorum necdet03 res atýlýnca belli olur
23:18:22 | [CMD] ibrahimkk(6) => /admins
23:18:27 | [LOCAL]sezzer(14): sorma mk asjdghjhagsd
23:18:27 | [CMD] sezzer(14) => /l sorma mk asjdghjhagsd
23:18:29 | [LOCAL]xqHost(10): :D
23:18:29 | [CMD] xqHost(10) => /l :D
23:18:30 | [eN]Overlord(12): Necdet
23:18:30 | [CMD] ibrahimkk(6) => /sirket
23:18:33 | Necdet03(13): efm
23:18:34 | [eN]Overlord(12): prdn
23:18:39 | [LOCAL]xqHost(10): ismiyle kayýt olur mu bi insan
23:18:39 | [CMD] xqHost(10) => /l ismiyle kayýt olur mu bi insan
23:18:44 | [LOCAL]xqHost(10): necdet nedir
23:18:44 | [CMD] xqHost(10) => /l necdet nedir
23:18:45 | [LOCAL]iYasinBey(8): la bende 72 m vardý 2m ini overlord istedi  var
23:18:45 | [CMD] iYasinBey(8) => /l la bende 72 m vardý 2m ini overlord istedi  var
23:18:46 | [LOCAL]ibrahimkk(6): beni patron yapsana :D
23:18:46 | [CMD] ibrahimkk(6) => /l beni patron yapsana :D
23:18:49 | [LOCAL]sezzer(14): haydaa bende ismimle kayýtlýyým :(
23:18:49 | [CMD] sezzer(14) => /l haydaa bende ismimle kayýtlýyým :(
23:18:50 | [CMD] nik0tin(11) => /a kobra necdet þu iyi bayramlar diyen miydi 
23:18:53 | [eN]Overlord(12): sana kobra demiþtim ilk gördüðümde .d
23:18:54 | [CMD] Necdet03(13) => /work
23:18:54 | [CMD] HeRquL(7) => /a yn
23:18:54 | [LOCAL]xqHost(10): senin isim normal
23:18:54 | [CMD] xqHost(10) => /l senin isim normal
23:19:2 | nik0tin(11): iyi bayramlar 
23:19:3 | [LOCAL]xqHost(10): gidipte abdülrezzak koyarsan dalga geçerler :D
23:19:3 | [CMD] xqHost(10) => /l gidipte abdülrezzak koyarsan dalga geçerler :D
23:19:6 | [LOCAL]iYasinBey(8): ben yapamam ama yardýmcý olurum beylerbeyine söyle yardýmcý olurum
23:19:6 | [CMD] iYasinBey(8) => /l ben yapamam ama yardýmcý olurum beylerbeyine söyle yardýmcý olurum
23:19:6 | ibrahimkk(6): saol
23:19:7 | ibrahimkk(6): sanada
23:19:8 | [LOCAL]iYasinBey(8): ama
23:19:8 | [CMD] iYasinBey(8) => /l ama
23:19:11 | [LOCAL]sezzer(14): aksdkahsd
23:19:11 | [CMD] sezzer(14) => /l aksdkahsd
23:19:14 | [LOCAL]iYasinBey(8): bana baðlý deðil o
23:19:14 | [CMD] iYasinBey(8) => /l bana baðlý deðil o
23:19:16 | [LOCAL]ibrahimkk(6): ama para dimi :D
23:19:16 | [CMD] ibrahimkk(6) => /l ama para dimi :D
23:19:19 | Necdet03(13): ben çýkýyom gece yarýsý oldu size kg
23:19:20 | [LOCAL]iYasinBey(8): beylerbeyine söyle
23:19:20 | [CMD] iYasinBey(8) => /l beylerbeyine söyle
23:19:22 | [CMD] [eN]Overlord(12) => /tamir
23:19:23 | [LOCAL]ibrahimkk(6): tmm 
23:19:23 | [CMD] ibrahimkk(6) => /l tmm 
23:19:25 | [LOCAL]ibrahimkk(6): soylerim
23:19:25 | [CMD] ibrahimkk(6) => /l soylerim
23:19:27 | nik0tin(11): ßß
23:19:27 | [LOCAL]iYasinBey(8): bana para ver yav
23:19:27 | [CMD] iYasinBey(8) => /l bana para ver yav
23:19:29 | [LOCAL]iYasinBey(8): 100m
23:19:29 | [CMD] iYasinBey(8) => /l 100m
23:19:32 | [CMD] Necdet03(13) => /adminol
23:19:33 | [LOCAL]ibrahimkk(6): ben cikiyom hadi bb
23:19:33 | [CMD] ibrahimkk(6) => /l ben cikiyom hadi bb
23:19:35 | ibrahimkk(6): bb
23:19:37 | [LOCAL]iYasinBey(8): yardýmcý olcam söz patron olmana
23:19:37 | [CMD] iYasinBey(8) => /l yardýmcý olcam söz patron olmana
23:19:37 | xqHost(10): hayda
23:19:38 | {FFCC00}HeRquL(7) {FFFFFF}Kamyoncu olarak spawn oldu.
23:19:38 | [LOCAL]iYasinBey(8): 100m
23:19:38 | [CMD] iYasinBey(8) => /l 100m
23:19:38 | 
23:19:39 | [eN]Overlord(12): selam kýzlar kalbim sýzlar
23:19:39 | 
23:19:41 | [CMD] xqHost(10) => /rescue
23:19:42 | [CMD] iYasinBey(8) => /as
23:19:42 | [CMD] [eN]Overlord(12) => /tamir
23:19:43 | HeRquL(7): çakýldým beyler kb
23:19:45 | [LOCAL]ibrahimkk(6): cok aga
23:19:45 | [CMD] ibrahimkk(6) => /l cok aga
23:19:46 | ibrahimkk(6): bb
23:19:46 | iYasinBey(8): erkek olarak as
23:19:48 | ibrahimkk(6): saol sanada
23:19:49 | [eN]Overlord(12): çarpýldý
23:19:50 | [LOCAL]iYasinBey(8): 50m
23:19:50 | [CMD] iYasinBey(8) => /l 50m
23:19:51 | sezzer(14): çok güzel hareketler bunlaaar loboloboloploplop
23:19:53 | xqHost(10): :WQE
23:19:54 | Necdet03(13) oyundan cIktI (Hata/Crash) (IP: 176.40.150.3)
23:19:54 | [LOCAL]ibrahimkk(6): cok
23:19:54 | [CMD] ibrahimkk(6) => /l cok
23:19:56 | sezzer(14): maþallah herkül
23:19:56 | [eN]Overlord(12): enam old
23:19:56 | [CMD] HeRquL(7) => /portvehicle 713
23:19:57 | [LOCAL]iYasinBey(8): 25
23:19:57 | [CMD] iYasinBey(8) => /l 25
23:20:1 | [LOCAL]ibrahimkk(6): al
23:20:1 | [CMD] ibrahimkk(6) => /l al
23:20:3 | HeRquL(7): görev gitmedi dimi
23:20:5 | [LOCAL]iYasinBey(8): at 50
23:20:5 | [CMD] iYasinBey(8) => /l at 50
23:20:7 | sezzer(14): gitti knk :(
23:20:9 | [LOCAL]ibrahimkk(6): ama yardim etcen
23:20:9 | [CMD] ibrahimkk(6) => /l ama yardim etcen
23:20:11 | [LOCAL]ibrahimkk(6): 25,
23:20:11 | [CMD] ibrahimkk(6) => /l 25,
23:20:11 | [eN]Overlord(12): ne göreiv lan
23:20:12 | [CMD] HeRquL(7) => /odul 14
23:20:13 | [LOCAL]ibrahimkk(6): 25m
23:20:13 | [CMD] ibrahimkk(6) => /l 25m
23:20:15 | [LOCAL]iYasinBey(8): hesap no: 1850 at 50m
23:20:15 | [CMD] iYasinBey(8) => /l hesap no: 1850 at 50m
23:20:17 | [eN]Overlord(12): herkül
23:20:18 | [CMD] HeRquL(7) => /odul 10
23:20:18 | [LOCAL]ibrahimkk(6): 25m
23:20:18 | [CMD] ibrahimkk(6) => /l 25m
23:20:18 | [LOCAL]iYasinBey(8): ederim aga
23:20:18 | [CMD] iYasinBey(8) => /l ederim aga
23:20:20 | ibrahimkk(6): banada
23:20:22 | [eN]Overlord(12): benim artþým gitti senin yüzünden
23:20:23 | [CMD] HeRquL(7) => /odul 14
23:20:24 | [CMD] sezzer(14) => /work
23:20:24 | [eN]Overlord(12): banada
23:20:25 | [CMD] HeRquL(7) => /odul 10
23:20:27 | [LOCAL]ibrahimkk(6): lazim olmadi kardesim :D
23:20:27 | [CMD] ibrahimkk(6) => /l lazim olmadi kardesim :D
23:20:27 | xqHost(10): eyv herqul
23:20:28 | ibrahimkk(6): banadaaa
23:20:29 | [eN]Overlord(12): lna
23:20:29 | HeRquL(7): tamam dýr
23:20:31 | xqHost(10): adam
23:20:31 | [eN]Overlord(12): lan
23:20:32 | sezzer(14): eyv
23:20:35 | ibrahimkk(6): banaa
23:20:36 | [eN]Overlord(12): herkül
23:20:38 | ibrahimkk(6): banadaa
23:20:41 | [LOCAL]iYasinBey(8): ne lazým olmadý
23:20:41 | [CMD] iYasinBey(8) => /l ne lazým olmadý
23:20:43 | [eN]Overlord(12): f16 ile benim artçýmý öldürdün
23:20:45 | ibrahimkk(6): abim benim 
23:20:47 | HeRquL(7): beyler f*16 la adamlarýn üstüne çakýldým ondan
23:20:50 | [LOCAL]ibrahimkk(6): lazim depil yani :D
23:20:50 | [CMD] ibrahimkk(6) => /l lazim depil yani :D
23:20:53 | [LOCAL]iYasinBey(8): nety
23:20:53 | [CMD] iYasinBey(8) => /l nety
