0:0:1 | nik0tin(9): kenidiniz bulmanýz grekiyor 
21:42:21 | [CMD] CcCAtakan1907(12) => /musait
21:42:26 | [CMD] CcCAtakan1907(12) => /r ben biraz kargo kascam
21:42:31 | [CMD] Hic(16) => /r Peki
21:42:31 | [eN]Overlord(7) oyuna girdi [IP: 95.13.66.238]
21:42:37 | [CMD] Konyali42(14) => /d bizdede varmi müsait degil
21:42:38 | Hic(16): Alpeer
21:42:45 | Hic(16): Nerdesin knk
21:42:50 | [CMD] iYasinBey(11) => /goto 16
21:42:51 | 
21:42:53 | [CMD] H.R.N.(18) => /adminol
21:42:54 | H.R.N.(18): bb
21:42:56 | Hic(16): ßß
21:42:58 | H.R.N.(18) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:42:59 | Hic(16): a.e.o.
21:42:59 | [CMD] iYasinBey(11) => /neskej
21:42:59 | [CMD] Konyali42(14) => /d istegi caldim su an caliyor
21:43:0 | [CMD] Konyali42(14) => /d istegi caldim su an caliyor
21:43:7 | [CMD] iYasinBey(11) => /fly
21:43:7 | [CMD] Hic(16) => /goto 10
21:43:9 | {FFCC00}[eN]Overlord(7) {FFFFFF}Kamyoncu olarak spawn oldu.
21:43:10 | TIRCI(10): ev satýyorum 
21:43:15 | [eN]Overlord(7): bu ne lag yahu gece gece
21:43:18 | Hic(16): Hayýrlý Satýþlar
21:43:24 | [CMD] ASLANBEY(13) => /abimkapat
21:43:24 | TIRCI(10): eyw
21:43:27 | Hic(16): Kaç m ye ?
21:43:27 | [CMD] [eN]Overlord(7) => /D Baþka var mý?
21:43:29 | Konyali42(14): yuh 800 ping :d
21:43:30 | [CMD] ASLANBEY(13) => /animkapat
21:43:31 | [CMD] Konyali42(14) => /d yok
21:43:37 | ASLANBEY(13): týrcý ev nerde
21:43:38 | [CMD] [eN]Overlord(7) => /D tamam
21:43:51 | Hic(16): Aha Sýtraykýn 4d si
21:43:54 | TIRCI(10): evý daha yený yýkadým ev tertemýz satýyom 
21:44:2 | ASLANBEY(13): nerde ev
21:44:2 | [CMD] Konyali42(14) => /d 600 ping :D
21:44:2 | Hic(16): Yeterki ýslak ýslak bakma öyle...
21:44:14 | Hic(16): Burda
21:44:15 | Konyali42(14): bu adamda öldü
21:44:18 | [CMD] iYasinBey(11) => /spec 16
21:44:19 | [CMD] TIRCI(10) => /cevir
21:44:21 | Hic(16): Kaça satýyon kanka
21:44:23 | Konyali42(14): herkes ölüyor -.-
21:44:24 | [CMD] Hic(16) => /ogorev 14
21:44:30 | [CMD] ASLANBEY(13) => /pm 10 ev nerde
21:44:35 | [eN]Overlord(7) oyundan cIktI (Hata/Crash) (IP: 95.13.66.238)
21:44:36 | [CMD] iYasinBey(11) => /a specddeydim adama ceza kesti
21:44:36 | Hic(16): Sen nerdeydin la
21:44:36 | [CMD] iYasinBey(11) => /a specddeydim adama ceza kesti
21:44:37 | [CMD] TIRCI(10) => /pm 13 ls
21:44:42 | [CMD] Hic(16) => /r Spectemiydin ?
21:44:43 | [CMD] ASLANBEY(13) => /pm 10 bi gidek
21:44:44 | [LOCAL]iYasinBey(11): la seni izliyordum ceza kesti
21:44:44 | [CMD] iYasinBey(11) => /l la seni izliyordum ceza kesti
21:44:45 | [CMD] iYasinBey(11) => /r evet
21:44:47 | [CMD] iYasinBey(11) => /r :d
21:44:48 | [LOCAL]Hic(16): :D
21:44:48 | [CMD] Hic(16) => /l :D
21:44:55 | [CMD] ASLANBEY(13) => /rescue
21:44:57 | Hic(16): Öldüðm
21:44:58 | 
21:44:59 | [CMD] TIRCI(10) => /pm 13 tm aractan ýn yanýma cektýrcem 
21:45:1 | [CMD] Hic(16) => /sac
21:45:2 | [CMD] iYasinBey(11) => /specoff
21:45:3 | {FFCC00}iYasinBey(11) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:45:3 | [CMD] Hic(16) => /goto 10
21:45:5 | CcCAtakan1907(12): 3m atarmýsýnýz
21:45:6 | [CMD] iYasinBey(11) => /meslek
21:45:6 | [eN]Overlord(7) oyuna girdi [IP: 95.13.66.238]
21:45:6 | ASLANBEY(13): indim
21:45:6 | TIRCI(10): hýc 
21:45:8 | {FFCC00}iYasinBey(11) {FFFFFF}Kamyoncu olarak spawn oldu.
21:45:13 | Hic(16): Efendim qnq
21:45:13 | TIRCI(10): aslaný yanýma celksene
21:45:17 | Hic(16): Sebep ?
21:45:18 | iYasinBey(11): 3m sana gurban olsun
21:45:24 | ASLANBEY(13): evi gösterecek
21:45:24 | TIRCI(10): aslan ceksýnmý
21:45:26 | CcCAtakan1907(12): :D
21:45:28 | iYasinBey(11) CcCAtakan1907(12)'a 3000000$ para gönderdi
21:45:28 | [CMD] iYasinBey(11) => /paragonder 12 3000000
21:45:29 | iYasinBey(11): al
21:45:30 | 
21:45:31 | ASLANBEY(13): çeksin
21:45:32 | Hic(16): Sebepi söyle
21:45:33 | CcCAtakan1907(12): o eyvv
21:45:37 | ASLANBEY(13): evi gösterecek
21:45:40 | {FFCC00}[eN]Overlord(7) {FFFFFF}Kamyoncu olarak spawn oldu.
21:45:41 | Hic(16): Bize Yohmii
21:45:43 | TIRCI(10): ev gostercem 
21:45:43 | iYasinBey(11): gardaþ 52m var
21:45:47 | [CMD] Hic(16) => /tele 13 10
21:45:49 | [CMD] iYasinBey(11) => /mute 11 1 .
21:45:59 | Konyali42(14): e tabi 100m aldin :D
21:46:0 | [CMD] CcCAtakan1907(12) => /R uranus alayom
21:46:3 | [eN]Overlord(7): i need 5m
21:46:4 | iYasinBey(11): a/ herq ul aga
21:46:5 | [CMD] iYasinBey(11) => /cc
21:46:6 | [CMD] Hic(16) => /r h.o.
21:46:9 | [CMD] iYasinBey(11) => /a herqul aga
21:46:9 | TIRCI(10): aslan ev sýfresý týrcý
21:46:13 | [CMD] CcCAtakan1907(12) => /R uranus alayom
21:46:14 | [CMD] Konyali42(14) => /dtemizle
21:46:14 | TIRCI(10): gýr bak
21:46:16 | [CMD] iYasinBey(11) => /a afk mýsýn
21:46:21 | [LOCAL]ASLANBEY(13): önü geniþ bi ev arýyorum
21:46:21 | [CMD] ASLANBEY(13) => /l önü geniþ bi ev arýyorum
21:46:22 | [CMD] HeRquL(8) => /a geldim
21:46:24 | [CMD] HeRquL(8) => /musait
21:46:26 | [CMD] AleynaWitch(6) => /asiriyuk
21:46:28 | [CMD] iYasinBey(11) => /r h.o
21:46:28 | [CMD] AleynaWitch(6) => /asiriyuk
21:46:29 | [LOCAL]ASLANBEY(13): eyw
21:46:29 | [CMD] ASLANBEY(13) => /l eyw
21:46:29 | [eN]Overlord(7) oyundan cIktI (Hata/Crash) (IP: 95.13.66.238)
21:46:29 | [CMD] CcCAtakan1907(12) => /R ya da baþka ne alýnabilir
21:46:30 | [CMD] Hic(16) => /r Özenti :D
21:46:30 | [CMD] iYasinBey(11) => /goto 12
21:46:32 | [LOCAL]CcCAtakan1907(12): bekle
21:46:32 | [CMD] CcCAtakan1907(12) => /l bekle
21:46:32 | [LOCAL]TIRCI(10): bunun arkasý genýs 
21:46:32 | [CMD] TIRCI(10) => /l bunun arkasý genýs 
21:46:38 | [LOCAL]CcCAtakan1907(12): araba alcam herqul
21:46:38 | [CMD] CcCAtakan1907(12) => /l araba alcam herqul
21:46:45 | [CMD] Konyali42(14) => /asay Istek Sarki Olmadigi Için Rastgele Açilmistir...
21:46:46 | [CMD] AleynaWitch(6) => /sac
21:46:47 | TIRCI(10): arkasý genýs olsa olmazmý aslan :D
21:46:47 | [CMD] iYasinBey(11) => /goto 6
21:46:49 | [CMD] Konyali42(14) => /asay Istek Sarki Için " /isteksarki <id>" Komutu Ile Bize Bildirebilirsiniz...
21:46:50 | [CMD] Konyali42(14) => /asay Forum Sayfamiz: trucksamp.com/forum
21:46:51 | [CMD] Konyali42(14) => /asay Ts3 adresimiz ts3.trucksamp.com
21:46:53 | [CMD] iYasinBey(11) => /adminol
21:46:53 | [CMD] iYasinBey(11) => /adminol
21:46:54 | ASLANBEY(13): yoh :D
21:46:54 | [CMD] iYasinBey(11) => /adminol
21:46:55 | Konyali42(14): bb
21:46:55 | TIRCI(10): bb
21:46:56 | CcCAtakan1907(12): ßß
21:46:56 | [CMD] HeRquL(8) => /d bu hayatýn heycaný meycaný yok açsana 
21:46:56 | Hic(16): ßß
21:46:58 | iYasinBey(11): çýkýyorum
21:46:59 | HeRquL(8): bb
21:47:3 | [CMD] Konyali42(14) => /d tmm bundan sonra
21:47:3 | [LOCAL]iYasinBey(11): kendine iyi bak
21:47:3 | [CMD] iYasinBey(11) => /l kendine iyi bak
21:47:8 | [CMD] HeRquL(8) => /d eyv
21:47:9 | [LOCAL]AleynaWitch(6): görüþürüz
21:47:9 | [CMD] AleynaWitch(6) => /l görüþürüz
21:47:12 | iYasinBey(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:47:14 | [CMD] Konyali42(14) => /d görevimiz :DD
21:47:15 | [CMD] ASLANBEY(13) => /buybus
21:47:21 | HeRquL(8): @12 araba alýyo 
21:47:22 | [CMD] CcCAtakan1907(12) => /galeri
21:47:31 | Konyali42(14): ne diyelim h.o.
21:47:32 | Konyali42(14): :D
21:47:48 | Konyali42(14): hala gs akhisar 2-0 -.-
21:47:48 | Hic(16): Benden özenip Uranus alýyo :D
21:47:52 | AleynaWitch(6): Beyler
21:47:58 | AleynaWitch(6): Araç tamir yapar mýsýnýz?
21:48:1 | Konyali42(14):  /tamir
21:48:1 | Hic(16):  /tamir
21:48:5 | [CMD] AleynaWitch(6) => /tamir
21:48:8 | Hic(16): Para yoksa atayým
21:48:9 | AleynaWitch(6): Saolun
21:48:13 | AleynaWitch(6): Var
21:48:15 | AleynaWitch(6): Saol
21:48:16 | Hic(16): Eyi
21:48:24 | CcCAtakan1907(12): almadým yarýn alcam :D
21:48:31 | [CMD] CcCAtakan1907(12) => /work
21:48:38 | TIRCI(10): aslan bu evýn arkasý genýs olmazmý
21:48:42 | [CMD] HeRquL(8) => /r yardým parasý max 60k falan atýn bazýlarý dolandýrabilir
21:48:48 | ASLANBEY(13): olmaz qnq
21:48:52 | [CMD] HeRquL(8) => /d yardým parasý max 60k falan atýn bazýlarý dolandýrabilir
21:48:56 | [CMD] Hic(16) => /r Ben max 10k atýyom zaten
21:49:0 | [CMD] HeRquL(8) => /r iyi 
21:49:2 | ASLANBEY(13): bide orta ev bu
21:49:6 | [KAMYONCU] Konyali42, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 555 Saniye
21:49:6 | [CMD] CcCAtakan1907(12) => /r ben genelde 10 15 atýyom belli olmaz
21:49:11 | [CMD] HeRquL(8) => /cantazele
21:49:16 | [CMD] Konyali42(14) => /d ben hic atmiyorum herkes 60k atarsa 10 kiside 600k :d
21:49:18 | Hic(16): Bakýn beler çatýya çýktým
21:49:31 | Hic(16): Direðe çýktým la
21:49:34 | [CMD] HeRquL(8) => /d ayn hiç atmamak en iyi býrak kalsýn giþede :D
21:49:38 | Hic(16): Acep Atlasam Ölürmüyüm
21:49:40 | [CMD] ASLANBEY(13) => /rescue
21:49:40 | TIRCI(10): sený yýkýcam 
21:49:44 | [eN]Overlord(7) oyuna girdi [IP: 95.13.66.238]
21:49:47 | [CMD] Konyali42(14) => /d aynen calissaydi
21:49:48 | [CMD] HeRquL(8) => /d belki bi ahýr karþýlýðý alýr
21:49:53 | [CMD] Konyali42(14) => /d :D
21:49:54 | Hic(16): Alperden gaçýn
21:49:55 | TIRCI(10): :D
21:50:1 | Hic(16): Bugi bugi
21:50:15 | Hic(16): Atladý qwE:Qe
21:50:17 | [eN]Overlord(7) oyundan cIktI (Hata/Crash) (IP: 95.13.66.238)
21:50:26 | TIRCI(10): can res 
21:50:28 | [CMD] HeRquL(8) => /fly
21:50:33 | [CMD] Konyali42(14) => /asay Istek Sarkiniz Çaliniyor. Iyi Oyunlar Dileriz...
21:50:35 | TIRCI(10): olcen dur lo
21:50:40 | TIRCI(10): can res
21:50:46 | [CMD] Konyali42(14) => /asay cukur <--->
21:50:47 | Hic(16): Ben zaten ölmüþüm...
21:50:47 | [LOCAL]CcCAtakan1907(12): sinirlenirsen böyle yaparsýn :D
21:50:47 | [CMD] CcCAtakan1907(12) => /l sinirlenirsen böyle yaparsýn :D
21:50:48 | [CMD] HeRquL(8) => /cantazele
21:50:55 | TIRCI(10): o guzeldý 
21:50:58 | [CMD] Hic(16) => /isteksarki 750
21:51:0 | [LOCAL]HeRquL(8): afk kontrolü yaptým :D
21:51:0 | [CMD] HeRquL(8) => /l afk kontrolü yaptým :D
21:51:0 | [CMD] Hic(16) => /sac
21:51:3 | [eN]Overlord(9) oyuna girdi [IP: 95.13.66.238]
21:51:3 | [CMD] Konyali42(14) => /asay Istek Sarkiniz Siraya Alinmistir. Iyi Oyunlar Dileriz...
21:51:9 | [LOCAL]CcCAtakan1907(12): .d
21:51:9 | [CMD] CcCAtakan1907(12) => /l .d
21:51:20 | Hic(16): Grev yapýyom
21:51:25 | HeRquL(8): ne grevi
21:51:28 | Hic(16): 31m atmazsanýz atlarým
21:51:30 | [LOCAL]CcCAtakan1907(12): pc alcam yeni
21:51:30 | [CMD] CcCAtakan1907(12) => /l pc alcam yeni
21:51:35 | 
21:51:37 | [LOCAL]CcCAtakan1907(12): ama karar veremedim
21:51:37 | [CMD] CcCAtakan1907(12) => /l ama karar veremedim
21:51:38 | [LOCAL]HeRquL(8): hmm
21:51:38 | [CMD] HeRquL(8) => /l hmm
21:51:40 | [CMD] AleynaWitch(6) => /tamir
21:51:40 | [eN]Overlord(9) oyundan cIktI (Hata/Crash) (IP: 95.13.66.238)
21:51:43 | [LOCAL]HeRquL(8): bütçe ne 
21:51:43 | [CMD] HeRquL(8) => /l bütçe ne 
21:51:43 | Hic(16): La yanlýþlýkla atladým wqEÇ:Qe.
21:51:43 | TIRCI(10): ben ýstfahýye olarak býranda cekcem 
21:51:44 | [CMD] Hic(16) => /sac
21:51:47 | [CMD] Hic(16) => /goto 10
21:51:49 | [CMD] Konyali42(14) => /asay Istek Sarki Için " /isteksarki <id>" Komutu Ile Bize Bildirebilirsiniz...
21:51:49 | TIRCI(10): oldu
21:51:49 | [LOCAL]CcCAtakan1907(12): 1500 fln
21:51:49 | [CMD] CcCAtakan1907(12) => /l 1500 fln
21:51:49 | [CMD] Konyali42(14) => /asay Forum Sayfamiz: trucksamp.com/forum
21:51:50 | [CMD] Konyali42(14) => /asay Ts3 adresimiz ts3.trucksamp.com
21:51:53 | [KAMYONCU] AleynaWitch, LV Butcher'den Vank Hoff Hotel'e Et tasidi. Kazanc: 13937$, 1 Skor ve 5 EXP Sure: 265 Saniye
21:51:55 | ASLANBEY(13) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:51:57 | [CMD] AleynaWitch(6) => /work
21:51:59 | [LOCAL]HeRquL(8): anakartýn falan eskimi
21:51:59 | [CMD] HeRquL(8) => /l anakartýn falan eskimi
21:52:5 | TIRCI(10): herqul gel yardýma býranda cekjelým atlýcak
21:52:12 | [CMD] CcCAtakan1907(12) => /R eski þuan yeni alcam sýrf ets ile csgo için
21:52:17 | [CMD] CcCAtakan1907(12) => /R püð yanlýs chat
21:52:20 | HeRquL(8): pü pü sen nasýl itfaiyecisin
21:52:23 | [LOCAL]CcCAtakan1907(12): eski þuan yeni alcam sýrf ets ile csgo için
21:52:23 | [CMD] CcCAtakan1907(12) => /l eski þuan yeni alcam sýrf ets ile csgo için
21:52:24 | TIRCI(10): gel kucagýma :D
21:52:29 | HeRquL(8): torpille mni atadýlar seni
21:52:37 | Hic(16): Ýtfaiyecilik bitmiþ
21:52:37 | TIRCI(10): býraz ole oldu
21:52:54 | Hic(16): Atlamýyom 
21:53:4 | [CMD] Konyali42(14) => /work
21:53:5 | TIRCI(10): bekle atlama arkandan gelcem 
21:53:6 | [LOCAL]HeRquL(8): bi oyun uðruna pc alma hýrsý yapma biriktir paraný çalýþ biyerde adam gibi 3k falan topla saðlam biþry
21:53:6 | [CMD] HeRquL(8) => /l bi oyun uðruna pc alma hýrsý yapma biriktir paraný çalýþ biyerde adam gibi 3k falan topla saðlam biþry
21:53:7 | Hic(16): Daha yüksekden atlicam wEQÇe
21:53:13 | [LOCAL]HeRquL(8): al 
21:53:13 | [CMD] HeRquL(8) => /l al 
21:53:22 | [LOCAL]HeRquL(8): 1500 tl ye fazla biþey yok
21:53:22 | [CMD] HeRquL(8) => /l 1500 tl ye fazla biþey yok
21:53:25 | TIRCI(10): :D
21:53:32 | [LOCAL]HeRquL(8): hatta onu düzgün oynatcak yok 
21:53:32 | [CMD] HeRquL(8) => /l hatta onu düzgün oynatcak yok 
21:53:34 | [LOCAL]CcCAtakan1907(12): oyun için degil asluýnda lazým da oyun da lazým olcak iþte sýkýlýnca
21:53:34 | [CMD] CcCAtakan1907(12) => /l oyun için degil asluýnda lazým da oyun da lazým olcak iþte sýkýlýnca
21:53:43 | Hic(16): Heyt be
21:53:45 | [CMD] CcCAtakan1907(12) => /work
21:53:58 | [LOCAL]CcCAtakan1907(12): neyse biriktircem artýk biraz daha
21:53:58 | [CMD] CcCAtakan1907(12) => /l neyse biriktircem artýk biraz daha
21:54:5 | [LOCAL]HeRquL(8): o zaman 2.5k civarý biþey bak
21:54:5 | [CMD] HeRquL(8) => /l o zaman 2.5k civarý biþey bak
21:54:17 | Hic(16): Atlýyom burdan
21:54:20 | [CMD] Konyali42(14) => /tamir
21:54:21 | TIRCI(10): duýr 
21:54:27 | [LOCAL]HeRquL(8): 1500k ofis için falan var oynamalýk olmaz iyi performans vermez
21:54:27 | [CMD] HeRquL(8) => /l 1500k ofis için falan var oynamalýk olmaz iyi performans vermez
21:54:28 | Hic(16): Gelme Atlarým
21:54:33 | TIRCI(10): tm co
21:54:40 | Hic(16): Uzak dur atlarým
21:54:40 | TIRCI(10): sakýn
21:54:46 | HeRquL(8): verin þuna odunu 
21:54:46 | [CMD] Konyali42(14) => /asay Istek Sarkiniz Çaliniyor. Iyi Oyunlar Dileriz...
21:54:51 | [CMD] Konyali42(14) => /asay Istek Sarki Için " /isteksarki <id>" Komutu Ile Bize Bildirebilirsiniz...
21:54:54 | Hic(16): Çocuklar evde aç aç
21:54:58 | Hic(16): Zam yapýn
21:55:2 | [CMD] TIRCI(10) => /ordadurliseli
21:55:3 | HeRquL(8): ne zamý benzin mi
21:55:5 | [LOCAL]CcCAtakan1907(12): doðru aslýnda ofis için var
21:55:5 | [CMD] CcCAtakan1907(12) => /l doðru aslýnda ofis için var
21:55:8 | [CMD] AleynaWitch(6) => /pm 14 bundan sonra I'm lost in Ýstanbul açabilir misin?
21:55:8 | TIRCI(10): bekle az 
21:55:12 | Hic(16): 1 sigarayi 5 kiþi dönüyoz fakirlikten yaw
21:55:16 | [CMD] TIRCI(10) => /animlist
21:55:17 | Hic(16): Atladým
21:55:20 | 
21:55:22 | [CMD] Hic(16) => /sac
21:55:27 | [CMD] Hic(16) => /goto 10
21:55:27 | [CMD] TIRCI(10) => /ordadurliseli
21:55:34 | Hic(16): Geldim böö
21:55:35 | [CMD] TIRCI(10) => /ordadurliseli
21:55:38 | [CMD] TIRCI(10) => /ordadurliseli
21:55:39 | HeRquL(8): rehber maaþýný yatýrmadýlarmý bu ay
21:55:43 | TIRCI(10): dur
21:55:43 | Hic(16): O Kadar fakirizki
21:55:50 | Hic(16): Virajý bile alamýyoz
21:55:55 | HeRquL(8): hmm
21:55:57 | Hic(16): Yatýrmadýlar yaw
21:55:58 | HeRquL(8): çalýþ köle
21:56:2 | HeRquL(8): :D
21:56:3 | TIRCI(10): atla lann
21:56:4 | [CMD] CcCAtakan1907(12) => /R ben fikrimi deðiþtirdim 10m daha kasýp cheetah alcam :D
21:56:6 | Hic(16): Ver ödunu
21:56:24 | TIRCI(10): duscem 
21:56:25 | Hic(16): WE:qE:
21:56:26 | TIRCI(10): la 
21:56:27 | CcCAtakan1907(12): sýkýsýtm
21:56:31 | Hic(16): QWE:qE:
21:56:31 | TIRCI(10): cabn res
21:56:39 | Hic(16): Geliyomm
21:56:40 | [CMD] Konyali42(14) => /pm 6 malesef müzik listemizde bu sarki bulunmamaktadir y basip müzik yazan yerdeki müziklerin idsini bana söyleyin acarim
21:56:40 | [CMD] HeRquL(8) => /dorseget 511
21:56:41 | [ANTIHACK] Þüpheli CcCAtakan1907(12) => Airbreak-hack
21:56:49 | TIRCI(10): atla kucaga
21:56:51 | [CMD] HeRquL(8) => /atamir
21:56:53 | [CMD] HeRquL(8) => /fuel
21:57:5 | [CMD] HeRquL(8) => /aka 6 
21:57:9 | [CMD] CcCAtakan1907(12) => /R uranus kötü:d
21:57:15 | [CMD] HeRquL(8) => /r çöp çöp 
21:57:17 | Konyali42(14): t/asay Istek Sarki Için " /isteksarki <id>" Komutu Ile Bize/pm 6 malesef müzik listemizde müziklerin idsini bana söyleyin acarim
21:57:20 | Hic(16): Fa'l ?D
21:57:21 | [CMD] Konyali42(14) => /d cc
21:57:21 | [CMD] HeRquL(8) => /cc
21:57:25 | Hic(16): Fail ?d
21:57:29 | TIRCI(10): can res olcem 
21:57:30 | Konyali42(14): elim num a geldi
21:57:31 | [CMD] HeRquL(8) => /d kendi t basýyo sen basma :D
21:57:32 | [CMD] CcCAtakan1907(12) => /kemer
21:57:39 | [CMD] HeRquL(8) => /cantazele
21:57:39 | Konyali42(14): num da da msj geliyor
21:57:44 | TIRCI(10): .
21:57:46 | [CMD] CcCAtakan1907(12) => /work
21:57:53 | [CMD] Konyali42(14) => /d yok ondan degil id 6 sarki istediydi elim carpti oraya
21:57:54 | [CMD] TIRCI(10) => /ordadurliseli
21:57:59 | [CMD] TIRCI(10) => /animlist
21:58:0 | Hic(16): Klavye ingizlizceye dondu
21:58:3 | [CMD] HeRquL(8) => /d dikkat et :D
21:58:10 | HeRquL(8): ne güzel iþte
21:58:11 | [CMD] Konyali42(14) => /pm 6 müzik yazan oradaki müzikleri acabilirim sadece
21:58:11 | [CMD] TIRCI(10) => /striptiz
21:58:19 | [CMD] TIRCI(10) => /striptiza
21:58:23 | Hic(16): Turkce karakterleri yazamiyom
21:58:23 | [CMD] TIRCI(10) => /striptiz a
21:58:24 | [CMD] Konyali42(14) => /pm 6 telefondaki telefonu y ile acabilirsiniz
21:58:28 | HeRquL(8): ýsý ver çözülsün
21:58:34 | [CMD] TIRCI(10) => /striptiz B
21:58:40 | [CMD] AleynaWitch(6) => /pm 14 peki :/
21:58:51 | [CMD] HeRquL(8) => /dtemizle
21:58:55 | [CMD] Konyali42(14) => /asay Istek Sarki Olmadigi Için Rastgele Açilmistir...
21:58:55 | [CMD] HeRquL(8) => /asay2 . 
21:59:8 | [CMD] TIRCI(10) => /animlsit
21:59:9 | [CMD] CcCAtakan1907(12) => /modifiye
21:59:9 | [CMD] AleynaWitch(6) => /sac
21:59:12 | [CMD] TIRCI(10) => /animlist
21:59:16 | [CMD] HeRquL(8) => /sigara2
21:59:26 | Hic(16): Konyali42 reiz djlik nasil gidiyi ?
21:59:29 | [CMD] HeRquL(8) => /god
21:59:35 | [CMD] TIRCI(10) => /hayatziplamasý
21:59:35 | Konyali42(14): iyi gidiyor
21:59:40 | Konyali42(14): su failler olmasa :D
21:59:42 | [CMD] Konyali42(14) => /asay Istek Sarki Için " /isteksarki <id>" Komutu Ile Bize Bildirebilirsiniz...
21:59:43 | [CMD] TIRCI(10) => /hayatzýplamasý
21:59:43 | [CMD] Konyali42(14) => /asay Forum Sayfamiz: trucksamp.com/forum
21:59:43 | [CMD] Konyali42(14) => /asay Ts3 adresimiz ts3.trucksamp.com
21:59:47 | [CMD] TIRCI(10) => /animlist
21:59:53 | HeRquL(8): alýþýr alýþýr
22:0:1 | TIRCI(10): gel hýc sený saplaklýcam 
22:0:3 | Hic(16): Relog
22:0:5 | [CMD] TIRCI(10) => /saplakat
22:0:6 | Hic(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:0:7 | [CMD] TIRCI(10) => /saplakat
22:0:21 | HeRquL(8): @10 þaplaklarsan 250 saniye mapus yatarsýn
22:0:27 | [CMD] CcCAtakan1907(12) => /pcc
22:0:36 | Hic(7) oyuna girdi [IP: 88.253.177.101]
22:0:41 | TIRCI(10): anýmde var
22:0:44 | [KAMYONCU] AleynaWitch, Lucifer Esya Deposu'den Blueberry Truck Terminal'e Pano tasidi. Kazanc: 5690$, 2 Skor ve 5 EXP Sure: 179 Saniye
22:0:46 | 
22:0:46 | HeRquL(8): he iyi
22:0:47 | [CMD] TIRCI(10) => /saplakat
22:0:49 | [CMD] AleynaWitch(6) => /work
22:0:49 | {FFCC00}Hic(7) {FFFFFF}Kamyoncu olarak spawn oldu.
22:0:50 | [CMD] AleynaWitch(6) => /kemer
22:0:53 | [CMD] AleynaWitch(6) => /kemer
22:0:53 | [CMD] Hic(7) => /sa
22:0:55 | [CMD] TIRCI(10) => /as
22:0:55 | [CMD] Konyali42(14) => /as
22:0:56 | [CMD] CcCAtakan1907(12) => /as
22:0:59 | Hic(7): Beyler
22:1:0 | TIRCI(10): hýc gel saplaklýcam 
22:1:4 | HeRquL(8): nasýl bi lagsa adama 1.2 dakika sora gitti mesaj bunuda 3 dakika sonra okur 
22:1:9 | Hic(7): Ben bi Taharete gidiyom
22:1:15 | [CMD] TIRCI(10) => /saplakat
22:1:16 | [CMD] Hic(7) => /afk
22:1:17 | [CMD] HeRquL(8) => /uyar 12 ters yön
22:1:18 | Konyali42(14): k.g :D
22:1:19 | [CMD] Hic(7) => /musait
22:1:23 | Hic(7): Eyw
22:1:25 | [CMD] Konyali42(14) => /d selcuk
22:1:28 | [CMD] HeRquL(8) => /d evet 
22:1:30 | [CMD] TIRCI(10) => /burakyilmaz
22:1:36 | [CMD] TIRCI(10) => /burakyýlmaz
22:1:37 | [CMD] CcCAtakan1907(12) => /work
22:1:39 | [CMD] Konyali42(14) => /d djler icin de musait degil varmi
22:1:42 | [CMD] HeRquL(8) => /atamir
22:1:46 | [CMD] TIRCI(10) => /burakyilmaz
22:1:47 | [CMD] HeRquL(8) => /d bilmiyorum ki
22:1:50 | [CMD] TIRCI(10) => /animlist
22:1:57 | [CMD] HeRquL(8) => /d /musait dene ib
22:1:57 | [CMD] Konyali42(14) => /d komut ney
22:2:0 | [CMD] Konyali42(14) => /musait
22:2:4 | [CMD] TIRCI(10) => /ise
22:2:5 | [CMD] Konyali42(14) => /d gecersiz
22:2:10 | [CMD] TIRCI(10) => /animkapat
22:2:14 | [CMD] TIRCI(10) => /animlist
22:2:14 | [CMD] HeRquL(8) => /d yokmuþ demek :/
22:2:20 | [CMD] Konyali42(14) => /musait
22:2:26 | [LOCAL]CcCAtakan1907(12): dalmýþým gidiyom :D
22:2:26 | [CMD] CcCAtakan1907(12) => /l dalmýþým gidiyom :D
22:2:28 | [CMD] Konyali42(14) => /asay Istek Sarki Için " /isteksarki <id>" Komutu Ile Bize Bildirebilirsiniz...
22:2:28 | [CMD] Konyali42(14) => /asay Forum Sayfamiz: trucksamp.com/forum
22:2:29 | [CMD] Konyali42(14) => /asay Ts3 adresimiz ts3.trucksamp.com
22:2:33 | [CMD] Hic(7) => /geldim
22:2:36 | [CMD] Hic(7) => /musait
22:2:37 | [CMD] TIRCI(10) => /yagmurduasý
22:2:39 | [CMD] Hic(7) => /goto 10
22:2:39 | [LOCAL]HeRquL(8): ups kargoda mý çalýþýyoz 
22:2:39 | [CMD] HeRquL(8) => /l ups kargoda mý çalýþýyoz 
22:2:43 | [CMD] TIRCI(10) => /yaðmurduasý
22:2:44 | [CMD] Hic(7) => /saat 4
22:2:47 | Hic(7): Alper
22:2:51 | [CMD] TIRCI(10) => /saplakat
22:2:56 | TIRCI(10): efm
