0:0:3 | [CMD] Jodor(16) => /vtamir
22:12:26 | [CMD] HeRquL(10) => /get 14
22:12:26 | [CMD] FurkanBey(9) => /pm 29 bilmiyom ki infernusu indirirken geld: d 
22:12:29 | ibrahimkk(14): suya dustum
22:12:29 | [eN]Overlord(13): Baþlatcanmý polismi çðrym
22:12:32 | [CMD] nik0tin(34) => /kemer 
22:12:32 | [CMD] HeRquL(10) => /get 14
22:12:32 | [LOCAL]Hic(24): Ama hala 1 lvl .d
22:12:32 | [CMD] Hic(24) => /l Ama hala 1 lvl .d
22:12:33 | [CMD] BOZKURT545(29) => /pm 9 :D
22:12:36 | FurkanBey(9): herqul þirkete alsana beni 
22:12:38 | [CMD] BOZKURT545(29) => /skapat
22:12:38 | [CMD] Lucifer(27) => /a herkul alma onu sonra artýk
22:12:38 | [CMD] [eN]Overlord(13) => /155
22:12:38 | HeRquL(10): ibrahim buglusun kardeþ
22:12:42 | [OTOBUSCU] aliturkak, San Fierro Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 1340 Saniye
22:12:44 | [LOCAL]Konyali42(15): 2 de suna :d a7 gelince alirsin :D
22:12:44 | [CMD] Konyali42(15) => /l 2 de suna :d a7 gelince alirsin :D
22:12:47 | ibrahimkk(14): suya dustum bakin bi
22:12:47 | [CMD] BOZKURT545(29) => /admins
22:12:50 | [CMD] Lucifer(27) => /a gel baslýyalým
22:12:50 | GSpor1991(18) oyuna girdi [IP: 176.217.134.54]
22:12:51 | [LOCAL]Hic(24): :D
22:12:51 | [CMD] Hic(24) => /l :D
22:12:51 | [CMD] nik0tin(34) => /a sayýyom 
22:12:53 | [eN]Overlord(13): yumruk atan ölüyomuydu lan
22:12:55 | ibrahimkk(14): ben napiyim
22:12:57 | [CMD] HeRquL(10) => /jail 14 1 bug
22:12:57 | [eN]Overlord(13): deneyebilirmyim
22:12:57 | Freezer3543(7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:12:57 | ibrahimkk(14): ceksene
22:12:59 | [CMD] Lucifer(27) => /a say
22:13:1 | [CMD] nik0tin(34) => /duyuru 1 
22:13:1 | [CMD] HusO1(20) => /düzelt
22:13:2 | [CMD] CcCAtakan1907(23) => /rescue
22:13:3 | [CMD] nik0tin(34) => /duyuru 1
22:13:4 | [CMD] aliturkak(31) => /work
22:13:5 | TIRCI(28): hadý baslat 
22:13:5 | HusO1(20): arac yan yattý
22:13:8 | 
22:13:8 | [CMD] nik0tin(34) => /duyuru 3
22:13:9 | Hic(24): Allahu Ekber
22:13:11 | [CMD] nik0tin(34) => /duyuru 2
22:13:11 | [CMD] CcCAtakan1907(23) => /araba
22:13:12 | [CMD] nik0tin(34) => /duyuru 1
22:13:13 | [CMD] HusO1(20) => /meslek
22:13:14 | [CMD] nik0tin(34) => /duyuru 0
22:13:14 | Ryder[Tr](6): id 8 vuruyor
22:13:15 | [eN]Overlord(13): Run
22:13:16 | [CMD] HusO1(20) => /work
22:13:17 | Hic(24): Allahu Ekbeerr
22:13:17 | [CMD] nik0tin(34) => /duyuru GO
22:13:19 | BeylerBeyi(12): 123 321 0 .SADA
22:13:19 | {FFCC00}GSpor1991(18) {FFFFFF}Kamyoncu olarak spawn oldu.
22:13:20 | ibrahimkk(14): la cekin
22:13:20 | [CMD] HusO1(20) => /goreviptal
22:13:22 | [CMD] HusO1(20) => /meslek
22:13:23 | FurkanBey(9): bozoka alýrmýsýnýz beni 
22:13:24 | ibrahimkk(14): la cekin
22:13:26 | HeRquL(10): @14 buglusun maalesef
22:13:28 | [CMD] cCc.Bayram.cCC(22) => /rescue
22:13:30 | [CMD] nik0tin(34) => /kemer 
22:13:30 | ibrahimkk(14): ne bugu
22:13:30 | [CMD] BOZKURT545(29) => /isteksarki 92
22:13:31 | [eN]Overlord(13): þöförler laglý
22:13:32 | nik0tin nefariouss'i öldürdü. Oldurme Sekli: 49
22:13:33 | FurkanBey(9):  /uyeal 10 
22:13:35 | [eN]Overlord(13): þöförler laglý
22:13:35 | [CMD] BeylerBeyi(12) => /d 1508-16-92-362
22:13:36 | [CMD] ozantr12345(8) => /araba
22:13:36 | FurkanBey(9):  /uyeal 9 
22:13:37 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarkýnýzý Sýraya Alýnmamýþtýr...
22:13:37 | {FFCC00}nefariouss(19) {FFFFFF}Kamyoncu olarak spawn oldu.
22:13:38 | [CMD] HusO1(20) => /uyeal 
22:13:39 | HeRquL(10): çekilmiyosun buga giriyosun canýn 1 e inmiyor
22:13:41 | Lucifer DOGUKAN67'i öldürdü. Oldurme Sekli: 49
22:13:42 | Lucifer Konyali42'i öldürdü. Oldurme Sekli: 49
22:13:44 | {FFCC00}HusO1(20) {FFFFFF}Kamyoncu olarak spawn oldu.
22:13:46 | {FFCC00}DOGUKAN67(30) Otobus Soforu olarak spawn oldu.
22:13:47 | [CMD] HusO1(20) => /meslek
22:13:47 | {FFCC00}Konyali42(15) {FFFFFF}Kamyoncu olarak spawn oldu.
22:13:49 | [CMD] HusO1(20) => /sac
22:13:50 | ibrahimkk(14): canim 1 de
22:13:50 | emre_cool(33): @14 relog at
22:13:51 | nik0tin ozantr12345'i öldürdü. Oldurme Sekli: 49
22:13:52 | ibrahimkk(14): sw bugu 
22:13:55 | ibrahimkk(14): ben naptim
22:13:56 | ibrahimkk(14): attim
22:13:56 | [CMD] HusO1(20) => /wprk
22:13:57 | ozantr12345(8): aa çok iyi
22:13:57 | HeRquL(10): sv bugu deðil
22:13:58 | [CMD] BOZKURT545(29) => /pm 12 reis neden alýnmýyo þarkým sýraya
22:13:58 | BeylerBeyi(12): Bozkurt
22:13:58 | [CMD] HusO1(20) => /worek
22:13:58 | emre_cool(33): @14 relog at  veya modem resle
22:13:59 | [CMD] FurkanBey(9) => /rescue
22:13:59 | ibrahimkk(14): duzeldi
22:13:59 | [CMD] DOGUKAN67(30) => /kemer
22:13:59 | aliturkak(31): @14 git gusül al gel
22:14:1 | [CMD] cCc.Bayram.cCC(22) => /istesksarki 25
22:14:2 | HusO1(20): y
22:14:4 | [CMD] FurkanBey(9) => /admins
22:14:5 | [CMD] BrownCute(25) => /rescue
22:14:6 | [CMD] HusO1(20) => /modifiye
22:14:7 | ibrahimkk(14):  @19 afk
22:14:8 | Lucifer [eN]Overlord'i öldürdü. Oldurme Sekli: 49
22:14:9 | [CMD] CcCAtakan1907(23) => /pm 0 hadi knk alýncak þimdi
22:14:10 | ibrahimkk(14):  @19 afk
22:14:10 | [CMD] BeylerBeyi(12) => /pm 29 aga zaten sýrada 92 :D
22:14:10 | [eN]Overlord(13): ula ula
22:14:11 | [CMD] CagatayBro(16) => /tamir
22:14:12 | {FFCC00}[eN]Overlord(13) {FFFFFF}Kamyoncu olarak spawn oldu.
22:14:16 | nik0tin Hic'i öldürdü. Oldurme Sekli: 49
22:14:18 | Hic(24): Püðð
22:14:18 | emre_cool(33): @14 /modemres yaz
22:14:20 | 
22:14:22 | [CMD] HusO1(20) => /kemer
22:14:22 | [CMD] ozantr12345(8) => /modemres
22:14:22 | [CMD] BOZKURT545(29) => /pm 12 tmmdýr reis
22:14:22 | BeylerBeyi(12): zaten sýrada þarký
22:14:23 | [eN]Overlord(13): 7gusulal
22:14:24 | {FFCC00}ibrahimkk(14) {FFFFFF}Kamyoncu olarak spawn oldu.
22:14:25 | ibrahimkk(14): ;a
22:14:26 | [CMD] HusO1(20) => /work
22:14:26 | Lucifer TIRCI'i öldürdü. Oldurme Sekli: 49
22:14:26 | ibrahimkk(14): la
22:14:26 | emre_cool(33): @14 /modemres yaz modem yenilensin
22:14:27 | [CMD] Hic(24) => /sac
22:14:28 | [CMD] BeylerBeyi(12) => /pm 29 :)
22:14:28 | HeRquL Ryder[Tr]'i öldürdü. Oldurme Sekli: 49
22:14:28 | ozantr12345(8):  /q yazýn 10 skor veriyor!
22:14:30 | ibrahimkk(14): kim isinladi beni
22:14:31 | ibrahimkk(14): kim isinladi beni
22:14:31 | Ryder[Tr](6): hadiya
22:14:32 | {FFCC00}Ryder[Tr](6) Otobus Soforu olarak spawn oldu.
22:14:33 | ibrahimkk(14): kim isinladi beni
22:14:34 | Ryder[Tr](6): birden çýktý :D:D:
22:14:34 | Lucifer bay.potiy'i öldürdü. Oldurme Sekli: 49
22:14:34 | Hic(24): User kandýrma
22:14:36 | emre_cool(33): @8 user kandýrma
22:14:38 | ibrahimkk(14): olmeden islaniyom
22:14:38 | {FFCC00}bay.potiy(17) {FFFFFF}Kamyoncu olarak spawn oldu.
22:14:39 | nik0tin(34) oyundan cIktI (Hata/Crash) (IP: 88.251.126.214)
22:14:39 | BeylerBeyi(12): @8 User kandýrma
22:14:40 | [CMD] Ryder[Tr](6) => /recue
22:14:41 | ozantr12345(8): @8 user yeme
22:14:42 | [CMD] Ryder[Tr](6) => /recue
22:14:42 | FurkanBey(9): herqul bozoka alsana beni :D 
22:14:43 | [CMD] BeylerBeyi(12) => /d 1508-16-92-362
22:14:44 | [CMD] cCc.Bayram.cCC(22) => /istesksarki 23
22:14:45 | [CMD] Ryder[Tr](6) => /rescue
22:14:46 | HeRquL sezzer'i öldürdü. Oldurme Sekli: 49
22:14:46 | [CMD] BrownCute(25) => /icerigir
22:14:46 | [eN]Overlord(13) oyundan cIktI (Hata/Crash) (IP: 95.13.68.144)
22:14:46 | ibrahimkk(14): olmeden islaniyom
22:14:47 | TIRCI(28) oyundan cIktI (Hata/Crash) (IP: 81.213.187.71)
22:14:47 | [CMD] cCc.Bayram.cCC(22) => /isteksarki 23
22:14:48 | [CMD] Ryder[Tr](6) => /rescue
22:14:50 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarkýnýz Çalýnýyor. Ýyi Oyunlar Dileriz...
22:14:50 | {FFCC00}sezzer(0) {FFFFFF}Kamyoncu olarak spawn oldu.
22:14:51 | [CMD] BrownCute(25) => /isyerimenu
22:14:51 | [CMD] Ryder[Tr](6) => /rescue
22:14:53 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarkýnýz Sýraya Alýnmýþtýr. Ýyi Oyunlar Dileriz...
22:14:54 | emre_cool(33):  /sac
22:14:54 | emre_cool(33):  /sac
22:14:55 | [CMD] HeRquL(10) => /odul sezzer
22:14:55 | [eN]Overlord(7) oyuna girdi [IP: 95.13.68.144]
22:14:55 | [CMD] Lucifer(27) => /a sezer
22:14:56 | ibrahimkk(14): sikicem ama
22:14:56 | [CMD] HeRquL(10) => /odul sezzer
22:14:57 | nik0tin(13) oyuna girdi [IP: 88.251.126.214]
22:14:57 | ibrahimkk(14) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:14:57 | [CMD] HeRquL(10) => /odul sezzer
22:14:57 | emre_cool(33):  /sac
22:14:58 | ozantr12345(8) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:14:58 | [CMD] HusO1(20) => /isteksarki 31
22:14:59 | [CMD] HeRquL(10) => /odul sezzer
22:14:59 | [CMD] BeylerBeyi(12) => /d 16-92-362-23
22:15:1 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarkýnýz Sýraya Alýnmýþtýr. Ýyi Oyunlar Dileriz...
22:15:2 | [CMD] BeylerBeyi(12) => /d 16-92-362-23-31
22:15:4 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarký Ýçin " /isteksarki <id>" Komutu Ýle Bize Bildirebilirsiniz...
22:15:5 | [CMD] Ryder[Tr](6) => /work
22:15:5 | [CMD] CagatayBro(16) => /tamir
22:15:5 | TIRCI(8) oyuna girdi [IP: 81.213.187.71]
22:15:5 | [CMD] HusO1(20) => /isur
22:15:6 | [CMD] Ryder[Tr](6) => /kemer
22:15:7 | [CMD] HusO1(20) => /fps
22:15:9 | FurkanBey(9): herqul bozoka alsana beni :D 
22:15:9 | [CMD] Konyali42(15) => /31
22:15:11 | [CMD] HusO1(20) => /fps
22:15:11 | Ryder[Tr](6): ETK ÝSTERÝZ <3 <3 
22:15:12 | 
22:15:13 | [CMD] Konyali42(15) => /animkapat
22:15:14 | [CMD] sezzer(0) => /pm 6 ben monster i kimseye kaptýrmam :D
22:15:15 | [CMD] Lucifer(27) => /cleanupcars
22:15:16 | [CMD] HeRquL(10) => /a niko oyundan mý düþtü
22:15:16 | [CMD] BeylerBeyi(12) => /tamir
22:15:17 | [CMD] BrownCute(25) => /isyerimenu
22:15:18 | nik0tin(13) Itfaiyeci olarak spawn oldu.
22:15:20 | [CMD] BOZKURT545(29) => /sac
22:15:20 | [CMD] Lucifer(27) => /a evet
22:15:23 | Hic(24): Beyler 12m ye Alýncak en iyi araç hangisi
22:15:25 | [CMD] nik0tin(13) => /admgiris 
22:15:25 | [CMD] Hic(24) => /kemer
22:15:26 | [LOCAL]Konyali42(15): convoy yapilacak gel
22:15:26 | [CMD] Konyali42(15) => /l convoy yapilacak gel
22:15:27 | [CMD] Lucifer(27) => /fly
22:15:27 | [CMD] Hic(24) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ?  
22:15:27 | [CMD] BrownCute(25) => /icerigir
22:15:27 | [CMD] Hic(24) => /asay Sorularýnýz var ise /sorusor komutu ile sorabilirsiniz...  
22:15:28 | BeylerBeyi(12): vip ödüllü etk yarýn yapýlsa güzel olur .D
22:15:29 | [CMD] Ryder[Tr](6) => /pm 0 ilk etk alýþýrým :d
22:15:29 | [CMD] Konyali42(15) => /convoy
22:15:30 | [CMD] BOZKURT545(29) => /skapat
22:15:31 | [CMD] BrownCute(25) => /isyerimenu
22:15:31 | [LOCAL]sezzer(0): tmm 
22:15:31 | [CMD] sezzer(0) => /l tmm 
22:15:32 | TIRCI(8) oyundan cIktI (Hata/Crash) (IP: 81.213.187.71)
22:15:32 | CagatayBro(16): 1m daha koy feltzer al
22:15:33 | [CMD] CcCAtakan1907(23) => /araba
22:15:36 | [CMD] DOGUKAN67(30) => /convoy
22:15:37 | [LOCAL]sezzer(0): nerden baþlýyo
22:15:37 | [CMD] sezzer(0) => /l nerden baþlýyo
22:15:38 | [CMD] nik0tin(13) => /meslek 
22:15:39 | FurkanBey(9): cagatay
22:15:39 | [CMD] BrownCute(25) => /isyerimenu
22:15:42 | {FFCC00}nik0tin(13) {FFFFFF}Kamyoncu olarak spawn oldu.
22:15:44 | FurkanBey(9): sen usta týrcýmýsýn 
22:15:46 | [CMD] Hic(24) => /tamir
22:15:46 | [CMD] HeRquL(10) => /meslek
22:15:47 | {FFCC00}[cCc]HulkHulk[cCc](21) {FFFFFF}Kamyoncu olarak spawn oldu.
22:15:48 | {FFCC00}HeRquL(10) {FFFFFF}Kamyoncu olarak spawn oldu.
22:15:49 | CagatayBro(16): he
22:15:50 | Ryder[Tr](6): baþka etk yokmu ?_?_
22:15:51 | [SirketCHT] cCc.Bayram.cCC(22): ! ne zaman olcak beylerbeyi
22:15:52 | [CMD] emre_cool(33) => /tamir
22:15:55 | FurkanBey(9): sen usta týrcýmýsýn bozokda
22:15:56 | [CMD] sezzer(0) => /convoy
22:15:56 | [CMD] Hic(24) => /tamir
22:15:57 | ozantr12345(8) oyuna girdi [IP: 78.170.173.51]
22:15:57 | [CMD] [cCc]HulkHulk[cCc](21) => /rescue
22:15:58 | [CMD] Hic(24) => /tamir
22:16:0 | [SirketCHT] emre_cool(33): ! ney olcak
22:16:1 | [CMD] HeRquL(10) => /duyuru ~w~simdilik bu kadar etk yeter
22:16:1 | [CMD] CagatayBro(16) => /convoy
22:16:2 | [CMD] BrownCute(25) => /rescue
22:16:4 | [SirketCHT] BeylerBeyi(12): ! bilmiyorum yarýn olsa güzel olur dedimsadece .d
22:16:4 | [CMD] Lucifer(27) => /meslek
22:16:5 | [LOCAL]sezzer(0): kimin konvoyu ?
22:16:5 | [CMD] sezzer(0) => /l kimin konvoyu ?
22:16:5 | [CMD] FurkanBey(9) => /adminol
22:16:6 | FurkanBey(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:16:7 | Hic(24): ßß
22:16:7 | {FFCC00}Lucifer(27) {FFFFFF}Kamyoncu olarak spawn oldu.
22:16:8 | [CMD] CagatayBro(16) => /convoysifre 167
22:16:8 | 
22:16:8 | [LOCAL]Konyali42(15): cagatay in kine gel
22:16:8 | [CMD] Konyali42(15) => /l cagatay in kine gel
22:16:9 | [SirketCHT] emre_cool(33): ! ney olcak
22:16:9 | [CMD] Konyali42(15) => /convoy
22:16:11 | [CMD] sezzer(0) => /convoy
22:16:13 | [eN]Overlord(7) oyundan cIktI (Hata/Crash) (IP: 95.13.68.144)
22:16:13 | {FFCC00}ozantr12345(8) {FFFFFF}Kamyoncu olarak spawn oldu.
22:16:13 | [SirketCHT] emre_cool(33): ! ney olcak ki ?
22:16:15 | [CMD] nefariouss(19) => /convoy
22:16:15 | [SirketCHT] cCc.Bayram.cCC(22): ! inþallah :D
22:16:15 | [SirketCHT] BeylerBeyi(12): ! vip ödüllü etk
22:16:16 | bay.potiy(17): son bitane be 
22:16:17 | ozantr12345(8): þirketine alan
22:16:18 | [LOCAL]Konyali42(15): 167 sifre
22:16:18 | [CMD] Konyali42(15) => /l 167 sifre
22:16:18 | ozantr12345(8): þirketine alan
22:16:18 | [CMD] Lucifer(27) => /dtemizle
22:16:20 | [CMD] sezzer(0) => /convoy
22:16:21 | Ryder[Tr](6): sv de yeniyim
22:16:21 | [CMD] nik0tin(13) => /araba 
22:16:21 | [CMD] BOZKURT545(29) => /kar
22:16:22 | [CMD] bay.potiy(17) => /rescue
22:16:23 | [CMD] BeylerBeyi(12) => /uyeal 8
22:16:24 | [CMD] [cCc]HulkHulk[cCc](21) => /convoy
22:16:24 | [CMD] sezzer(0) => /c sa
22:16:26 | Ryder[Tr](6): convoyda ne var n
22:16:27 | [CMD] nefariouss(19) => /rescue
22:16:29 | ozantr12345(8): ah
22:16:29 | [CMD] Konyali42(15) => /c harboura gelin
22:16:29 | [CMD] [cCc]HulkHulk[cCc](21) => /convoyayril
22:16:29 | Ryder[Tr](6): ne yapýyruz
22:16:30 | [CMD] CAKIR34(32) => /tamir
22:16:30 | [CMD] Konyali42(15) => /rescue
22:16:31 | [CMD] [cCc]HulkHulk[cCc](21) => /convoy
22:16:31 | [CMD] BeylerBeyi(12) => /uyeal 8
22:16:33 | [CMD] Theseus(11) => /yakýt
22:16:33 | [SirketCHT] emre_cool(33): ! kim etk yapcak vip ödüllü
22:16:35 | [CMD] sezzer(0) => /rescue
22:16:35 | ozantr12345(8): yanlýþlý
22:16:36 | [CMD] Lucifer(27) => /god
22:16:37 | [SirketCHT] ozantr12345(8): !sa
22:16:38 | [CMD] Theseus(11) => /tamir
22:16:38 | [CMD] BOZKURT545(29) => /benzin
22:16:39 | [CMD] ozantr12345(8) => /rescue
22:16:40 | [CMD] nik0tin(13) => /myskin 124 
22:16:40 | [SirketCHT] BeylerBeyi(12): ! yapýlmayacak
22:16:41 | aliturkak(31): biri hileli ama kim
22:16:41 | [SirketCHT] emre_cool(33): ! as
22:16:42 | [SirketCHT] BeylerBeyi(12): ! as
22:16:42 | [eN]Overlord(7) oyuna girdi [IP: 95.13.68.144]
22:16:43 | [CMD] CagatayBro(16) => /VTAMÝR
22:16:43 | aliturkak(31): göremedim tam
22:16:44 | [CMD] aliturkak(31) => /tamir
22:16:46 | [SirketCHT] emre_cool(33): ! neden
22:16:47 | [SirketCHT] cCc.Bayram.cCC(22): ! as
22:16:47 | [CMD] CagatayBro(16) => /kemer
22:16:49 | [CMD] CagatayBro(16) => /akilitle
22:16:51 | [CMD] nik0tin(13) => /pm 31 nick rengi ney 
22:16:51 | [CMD] HeRquL(10) => /musaþt
22:16:52 | [SirketCHT] BeylerBeyi(12): ! sadece dedim yarýn vip ödüllü etk yapýlsa güzel olur .d
22:16:52 | Hic(24): @6 Görev ama daha fazla kazanýyorsunuz.
22:16:52 | sezzer(0): araç res
22:16:54 | [CMD] HeRquL(10) => /musait
22:16:54 | 
22:16:57 | [CMD] nik0tin(13) => /asay Araç Res Geliyor ...    
22:16:58 | [CMD] aliturkak(31) => /pm 13 týrcý kanka
22:16:58 | [CMD] nik0tin(13) => /asay Araç Res Geliyor ...    
22:16:59 | [CMD] ozantr12345(8) => /araba
22:17:1 | [CMD] sezzer(0) => /akilitle
22:17:1 | {FFCC00}[eN]Overlord(7) {FFFFFF}Kamyoncu olarak spawn oldu.
22:17:4 | [CMD] nik0tin(13) => /respawncars 
22:17:4 | [CMD] nik0tin(13) => /cantazele 
22:17:4 | [CMD] [eN]Overlord(7) => /rescue
22:17:5 | [CMD] Hic(24) => /tamir
22:17:6 | emre_cool(33):  /sac
22:17:7 | [CMD] ozantr12345(8) => /araba
22:17:8 | [CMD] [eN]Overlord(7) => /rescue
22:17:8 | emre_cool(33):  /sac
22:17:10 | emre_cool(33):  /sac
22:17:13 | [eN]Overlord(7): Aðð
22:17:15 | [CMD] nik0tin(13) => /uyar 33 Spam 
22:17:16 | [eN]Overlord(7): Shot með
22:17:17 | [CMD] aliturkak(31) => /pm 13 sarý renk iþte
22:17:23 | [CMD] nik0tin(13) => /pm 31 bakcam 
22:17:24 | [CMD] [cCc]HulkHulk[cCc](21) => /rescue
22:17:25 | [CMD] Konyali42(15) => /c ben docks dan katilirim burda dorse yok
22:17:26 | [CMD] Hic(24) => /convoy
22:17:28 | [CMD] Konyali42(15) => /rescue
22:17:30 | [CMD] CcCAtakan1907(23) => /meslek
22:17:30 | [CMD] [eN]Overlord(7) => /isteksarki 1555
22:17:32 | {FFCC00}CcCAtakan1907(23) {FFFFFF}Kamyoncu olarak spawn oldu.
22:17:34 | [CMD] [eN]Overlord(7) => /kemer
22:17:35 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarkýnýz Sýraya Alýnmýþtýr. Ýyi Oyunlar Dileriz...
22:17:36 | [CMD] [eN]Overlord(7) => /motor
22:17:36 | [CMD] CcCAtakan1907(23) => /pm 0 hadi knk
22:17:37 | [CMD] Konyali42(15) => /convoyayril
22:17:37 | [CMD] Tuan_Tiniay(26) => /tamir
22:17:38 | [CMD] CcCAtakan1907(23) => /rescue
22:17:38 | [CMD] [eN]Overlord(7) => /modifiye
22:17:41 | [CMD] Hic(24) => /sac
22:17:43 | TIRCI(9) oyuna girdi [IP: 81.213.187.71]
22:17:43 | [CMD] emre_cool(33) => /c nerdesiniz konvoydakiler
22:17:43 | [CMD] Lucifer(27) => /sac
22:17:43 | [CMD] bay.potiy(17) => /convoy
22:17:44 | [eN]Overlord(7): bende hep aynýyý atýyom he
22:17:46 | [CMD] [cCc]HulkHulk[cCc](21) => /rescue
22:17:48 | [CMD] Hic(24) => /galeri
22:17:49 | [CMD] emre_cool(33) => /c nerdesiniz konvoydakiler
22:17:50 | [OTOBUSCU] aliturkak, Los Santos Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 1603 Saniye
22:17:53 | [CMD] aliturkak(31) => /work
22:17:56 | [CMD] Hic(24) => /galeri
22:17:56 | [CMD] Konyali42(15) => /kemer
22:17:56 | [CMD] BeylerBeyi(12) => /d 16-92-362-23-31-1555
22:17:57 | [CMD] CcCAtakan1907(23) => /meslek
22:17:59 | [CMD] [eN]Overlord(7) => /sac
22:17:59 | [CMD] [cCc]HulkHulk[cCc](21) => /rescue
22:18:0 | {FFCC00}CcCAtakan1907(23) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
22:18:3 | [CMD] CcCAtakan1907(23) => /rescue
22:18:4 | [CMD] emre_cool(33) => /tamir
22:18:5 | [CMD] BeylerBeyi(12) => /c sýkýþtým ben
22:18:6 | [CMD] Lucifer(27) => /sirketdorse
22:18:8 | [eN]Overlord(7): enaam Afrin op. çalýyomuþ
22:18:10 | [CMD] [eN]Overlord(7) => /work
22:18:11 | [CMD] BeylerBeyi(12) => /admins
22:18:12 | [CMD] emre_cool(33) => /c nerdesin
22:18:13 | [CMD] nik0tin(13) => /sac 
22:18:14 | [CMD] [cCc]HulkHulk[cCc](21) => /sirketdorse
22:18:19 | 
22:18:20 | [CMD] cCc.Bayram.cCC(22) => /rescue
22:18:22 | [CMD] BeylerBeyi(12) => /d nikotin iþin yoksa bi el  atsana dorse sýkýþtý .d
22:18:28 | [CMD] nik0tin(13) => /d id 
22:18:29 | [CMD] CagatayBro(16) => /vtamir
22:18:31 | [CMD] BrownCute(25) => /tamir
22:18:32 | bay.potiy(17): aracres týr yok 
22:18:34 | [CMD] DOGUKAN67(30) => /work
22:18:36 | [CMD] BeylerBeyi(12) => /d 188
22:18:40 | 
22:18:41 | [CMD] nik0tin(13) => /goto beyler 
22:18:42 | [CMD] TIRCI(9) => /sa
22:18:44 | [CMD] TIRCI(9) => /rescue
22:18:45 | [CMD] Lucifer(27) => /goto 12
22:18:45 | [CMD] emre_cool(33) => /as
22:18:46 | [CMD] [eN]Overlord(7) => /as
22:18:47 | [CMD] aliturkak(31) => /as
22:18:47 | sezzer(0) CcCAtakan1907(23)'a 2000000$ para gönderdi
22:18:47 | [CMD] sezzer(0) => /paragonder 23 2000000
22:18:50 | [CMD] nik0tin(13) => /dorseget 188 
22:18:50 | bay.potiy(17): arac ress
22:18:51 | [CMD] Lucifer(27) => /as
22:18:51 | [CMD] BeylerBeyi(12) => /as
22:18:52 | Hic(24): Aleyküm Selam
22:18:54 | [CMD] CcCAtakan1907(23) => /buybus
22:18:59 | HusO1(20): s
22:19:0 | [CMD] CcCAtakan1907(23) => /pm 0 eyv
22:19:1 | [CMD] Hic(24) => /adminol
22:19:2 | [CMD] Hic(24) => /adminol
22:19:3 | HusO1(20): selamun aleyküm
22:19:3 | [CMD] nefariouss(19) => /modifiye
22:19:3 | [CMD] CcCAtakan1907(23) => /gobus
22:19:3 | TIRCI(9): hýc sf deyým 
22:19:3 | [CMD] BeylerBeyi(12) => /d eyw saðolun
22:19:5 | [CMD] nik0tin(13) => /dorseget 689 
22:19:5 | emre_cool(33): by
22:19:5 | [CMD] TIRCI(9) => /as
22:19:6 | [CMD] sezzer(0) => /pm 23 akýttým knk geldi mi
22:19:6 | {FFCC00}GSpor1991(18) {FFFFFF}Kamyoncu olarak spawn oldu.
22:19:9 | [CMD] emre_cool(33) => /as
22:19:9 | [CMD] Lucifer(27) => /rescue
22:19:11 | [CMD] BeylerBeyi(12) => /c geliyorum
22:19:11 | [CMD] nik0tin(13) => /dorseget 698 
22:19:11 | [CMD] CcCAtakan1907(23) => /pm 0 geldi
22:19:12 | bay.potiy(17): aracres
22:19:14 | [CMD] ozantr12345(8) => /tamir
22:19:15 | Hic(24) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:19:15 | [CMD] nik0tin(13) => /asay Araç Res Geliyor ...    
22:19:16 | [CMD] nik0tin(13) => /asay Araç Res Geliyor ...    
22:19:16 | [CMD] nik0tin(13) => /asay Araç Res Geliyor ...    
22:19:18 | emre_cool(33):  /sa /as komutlarýný kullanabilirsiniz
22:19:20 | [CMD] nik0tin(13) => /atamir 
22:19:22 | Tuan_Tiniay(26) oyundan cIktI (Hata/Crash) (IP: 88.237.92.58)
22:19:23 | [CMD] DOGUKAN67(30) => /tamir
22:19:23 | [CMD] TIRCI(9) => /sac
22:19:24 | [CMD] nik0tin(13) => /respawncars 
22:19:24 | [CMD] nik0tin(13) => /cantazele 
22:19:25 | [CMD] HusO1(20) => /sa
22:19:27 | [CMD] Lucifer(27) => /admins
22:19:28 | [CMD] CcCAtakan1907(23) => /pm 0 11m birikti kumarhanelerde benim senin?
22:19:28 | [CMD] emre_cool(33) => /c ben býraktým görevi
22:19:30 | [CMD] emre_cool(33) => /as
22:19:30 | [CMD] nik0tin(13) => /as 
22:19:31 | [CMD] BeylerBeyi(12) => /asay Ýstek Þarkýnýz Çalýnýyor. Ýyi Oyunlar Dileriz...
