0:0:0 | [CMD] HeRquL(14) => /work
22:0:42 | Gazapizm_(7): konvoy açýnda gezek
22:0:42 | Jodor(33): keþke hepinizde olsa :)
22:0:45 | buyukustadbitti(11): :SDsa
22:0:46 | [CMD] huseyin(21) => /asay2 ~b~~h~~h~instagram hesabimizi takip etmeyi unutmayiniz trucksampp
22:0:48 | [CMD] Sahildeniz(17) => /rescue
22:0:49 | [CMD] cCc.Bayram.cCC(39) => /vipler
22:0:50 | [CMD] huseyin(21) => /asay2 ~r~~h~~h~instagram hesabimizi takip etmeyi unutmayiniz trucksampp
22:0:50 | TIRCI(32): .
22:0:52 | [CMD] Hic(27) => /asay Yardýma ihtiyacý olan,yolunu kaybeden varmý ? 
22:0:52 | [CMD] Sahildeniz(17) => /rescue
22:0:52 | [CMD] Hic(27) => /asay Sorunuz var ise /sorusor komutu ile iletiniz... 
22:0:54 | [CMD] Sahildeniz(17) => /rescue
22:0:54 | Jodor(33): huso hüseyin de var vip aslanbey
22:0:54 | [LOCAL]huseyin(21): .  
22:0:54 | [CMD] huseyin(21) => /l .  
22:0:55 | [LOCAL]huseyin(21): .  
22:0:55 | [CMD] huseyin(21) => /l .  
22:0:55 | ibrahimkk(38): huseyin abi
22:0:56 | [LOCAL]huseyin(21): .  
22:0:56 | [CMD] huseyin(21) => /l .  
22:0:56 | [CMD] Sahildeniz(17) => /rescue
22:0:57 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:0:57 | huseyin(21): Evet
22:0:58 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:0:58 | [CMD] Slipy16(23) => /yenilikler
22:0:58 | [LOCAL]Chilgin[byhack](8): ne vip gözlermiþ ya
22:0:58 | [CMD] Chilgin[byhack](8) => /l ne vip gözlermiþ ya
22:0:58 | [CMD] Sahildeniz(17) => /rescue
22:0:59 | ibrahimkk(38): cekermisin ?
22:1:0 | Gazapizm_(7): konvoy açýnda gezek
22:1:0 | TIRCI(32): doldu be bý nýtro takamadn 
22:1:1 | ASLANBEY(20): he :D
22:1:4 | [CMD] Slipy16(23) => /pm eren iþ yerlerim gitmiþ
22:1:6 | [CMD] Gazapizm_(7) => /rescue
22:1:6 | [CMD] huseyin(21) => /get 38 
22:1:6 | [SirketCHT] CagatayBro(26): ! En son 4500 
22:1:9 | [SirketCHT] CagatayBro(26): ! çýkamadýk
22:1:10 | [CMD] Slipy16(23) => /convot
22:1:11 | [LOCAL]ibrahimkk(38): saol
22:1:11 | [CMD] ibrahimkk(38) => /l saol
22:1:12 | Jodor(33): duyuruya bak
22:1:12 | [CMD] Slipy16(23) => /convoy
22:1:12 | [CMD] [UP]MUST@F@(14) => /work
22:1:12 | [LOCAL]huso608(12): ee baba yýlda bi kere oluyor
22:1:12 | [CMD] huso608(12) => /l ee baba yýlda bi kere oluyor
22:1:23 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:1:23 | [CMD] Sahildeniz(17) => /sirketdorse
22:1:23 | [CMD] [UP]MUST@F@(14) => /vtamir
22:1:23 | [CMD] Slipy16(23) => /araclarým
22:1:27 | [LOCAL]Hic(27): ben bi ara sw yi býrakmýþtým
22:1:27 | [CMD] Hic(27) => /l ben bi ara sw yi býrakmýþtým
22:1:28 | Fublary3003(25) oyuna girdi [IP: 78.169.204.102]
22:1:30 | [CMD] Slipy16(23) => /meslek
22:1:30 | [CMD] huso608(12) => /a matite baskan costu gece 
22:1:31 | [LOCAL]huseyin(21): hm 
22:1:31 | [CMD] huseyin(21) => /l hm 
22:1:32 | TIRCI(32): 11m kastým uh 1 gunde
22:1:34 | [CMD] Slipy16(23) => /meslek
22:1:36 | [LOCAL]Hic(27): sonra iyiki geri gelmiþim
22:1:36 | [CMD] Hic(27) => /l sonra iyiki geri gelmiþim
22:1:36 | CagatayBro(26): arac res atarmýsýnýz
22:1:37 | Gazapizm_(7): abi seri kasýlcak yokmu aranýzada
22:1:38 | Madness(29): az
22:1:38 | [CMD] huseyin(21) => /get 38 
22:1:39 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
22:1:39 | [CMD] CagatayBro(26) => /meslek
22:1:40 | 
22:1:41 | [CMD] huseyin(21) => /vtamir
22:1:41 | sezzer(19): çeviklik yoruyor adamý
22:1:42 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
22:1:44 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
22:1:46 | [CMD] huso608(12) => /respawncars
22:1:46 | [CMD] huso608(12) => /cantazele
22:1:46 | [CMD] TIRCI(32) => /balon
22:1:47 | [LOCAL]ibrahimkk(38): yaw ben niye dusuyom
22:1:47 | [CMD] ibrahimkk(38) => /l yaw ben niye dusuyom
22:1:47 | CagatayBro(26) Itfaiyeci olarak spawn oldu.
22:1:48 | [CMD] Sahildeniz(17) => /work
22:1:49 | [CMD] Jodor(33) => /pm 20 þirket alsam gelir misin bozokla ortak olacak ama :) 
22:1:49 | Gazapizm_(7): ben kasýlamýyom
22:1:54 | Slipy16(23): sol alttaki þeyi nasýl kapatýoz
22:1:55 | Fublary3003(25) Oduncu olarak spawn oldu.
22:1:55 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:1:56 | Slipy16(23): sol alttaki þeyi nasýl kapatýoz
22:1:56 | [LOCAL]Chilgin[byhack](8): benim key binimi kullanýyon hüsoo
22:1:56 | [CMD] Chilgin[byhack](8) => /l benim key binimi kullanýyon hüsoo
22:1:58 | [LOCAL]huso608(12): /otur
22:1:58 | [CMD] huso608(12) => /l /otur
22:1:58 | [CMD] huseyin(21) => /cevir
22:2:0 | [CMD] huseyin(21) => /dtemizle
22:2:1 | Gazapizm_(7): yollaro tam bilmiom
22:2:2 | ibrahimkk(38): la
22:2:2 | [CMD] huseyin(21) => /asay2 s 
22:2:2 | sezzer(19): kapatamýyoz
22:2:3 | [CMD] TIRCI(32) => /vtamir
22:2:6 | [CMD] Slipy16(23) => /meslke
22:2:7 | [CMD] ASLANBEY(20) => /pm 33 bi sen açarsan gelirim
22:2:8 | [CMD] Slipy16(23) => /meslek
22:2:9 | [CMD] huso608(12) => /ogorev 7
22:2:10 | [CMD] TIRCI(32) => /myskin 1
22:2:11 | ibrahimkk(38): dunyadan dustum
22:2:11 | [LOCAL]Chilgin[byhack](8): benim key binimi kullanýyon hüsoo
22:2:11 | [CMD] Chilgin[byhack](8) => /l benim key binimi kullanýyon hüsoo
22:2:13 | [CMD] cCc.Bayram.cCC(39) => /isteksarki 894
22:2:13 | BeylerBeyi(10): nitro basamýyorum nasýlda alýþmýþtm
22:2:15 | {FFCC00}Slipy16(23) {FFFFFF}Polis olarak spawn oldu.
22:2:15 | [CMD] Gazapizm_(7) => /rescue
22:2:17 | [LOCAL]Chilgin[byhack](8): gör be þuryý 
22:2:17 | [CMD] Chilgin[byhack](8) => /l gör be þuryý 
22:2:19 | [CMD] Fublary3003(25) => /work
22:2:19 | [CMD] ClipCamper20(6) => /work
22:2:19 | [CMD] Konyali42(18) => /convoy
22:2:21 | TIRCI(32): lag test
22:2:21 | [LOCAL]huso608(12): baskan llaptoptayým
22:2:21 | [CMD] huso608(12) => /l baskan llaptoptayým
22:2:22 | [CMD] Jodor(33) => /pm 20 batarsak hüseyin alýr bizi yine :D
22:2:22 | [CMD] Freezer3543(24) => /tamir
22:2:22 | [CMD] BeylerBeyi(10) => /asay Ýstek þarkýnýz sýraya alýnmýþtýr... 
22:2:23 | Slipy16(23): araçlarýma nerden bakýyom
22:2:23 | [LOCAL]Hic(27): beyler araba araba çaðýrýrsak eyýrbörek yiyoz demi ?
22:2:23 | [CMD] Hic(27) => /l beyler araba araba çaðýrýrsak eyýrbörek yiyoz demi ?
22:2:24 | [LOCAL]huseyin(21): hangisi 
22:2:24 | [CMD] huseyin(21) => /l hangisi 
22:2:26 | Gazapizm_(7): abi seri kasýlcak yokmu aranýzada
22:2:26 | [CMD] Fublary3003(25) => /work
22:2:27 | [SirketCHT] Konyali42(18): ! jodor harboura mi
22:2:27 | Karpuzlupasta(22): ilk defa bilet alarak sf den lv ye gidiyom :D
22:2:28 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:2:28 | ibrahimkk(38): cekermisin huseyin abi
22:2:28 | [CMD] Konyali42(18) => /rescue
22:2:29 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:2:29 | [LOCAL]huseyin(21): þey yaptým ufuk
22:2:29 | [CMD] huseyin(21) => /l þey yaptým ufuk
22:2:30 | TIRCI(32): .
22:2:31 | [SirketCHT] Jodor(33): ! evet 
22:2:32 | [CMD] ASLANBEY(20) => /pm 33 aynen
22:2:32 | [LOCAL]huseyin(21): keybinde 
22:2:32 | [CMD] huseyin(21) => /l keybinde 
22:2:34 | [CMD] Gazapizm_(7) => /convoy
22:2:35 | [CMD] Konyali42(18) => /geldim
22:2:35 | [CMD] Hic(27) => /araba
22:2:37 | [LOCAL]huseyin(21): /dtemizle ekledim .d
22:2:37 | [CMD] huseyin(21) => /l /dtemizle ekledim .d
22:2:40 | [LOCAL]huseyin(21): basýyom .d
22:2:40 | [CMD] huseyin(21) => /l basýyom .d
22:2:41 | [LOCAL]Chilgin[byhack](8): la hüseyin sana deðil hüso ya
22:2:41 | [CMD] Chilgin[byhack](8) => /l la hüseyin sana deðil hüso ya
22:2:41 | [LOCAL]huseyin(21): sonra 
22:2:41 | [CMD] huseyin(21) => /l sonra 
22:2:45 | [CMD] Gazapizm_(7) => /rescue
22:2:45 | [CMD] TIRCI(32) => /rescue
22:2:48 | [LOCAL]huseyin(21): /asay2 s boþluk yaptým t
22:2:48 | [CMD] huseyin(21) => /l /asay2 s boþluk yaptým t
22:2:49 | [CMD] eren1616(16) => /getid sli
22:2:49 | [LOCAL]huso608(12): bana attýgý var da
22:2:49 | [CMD] huso608(12) => /l bana attýgý var da
22:2:51 | [CMD] Jodor(33) => /pm 20 darkflowu da alacam
22:2:52 | [CMD] Slipy16(23) => /rescue
22:2:52 | [LOCAL]Chilgin[byhack](8): la hüseyin sana deðil hüso ya
22:2:52 | [CMD] Chilgin[byhack](8) => /l la hüseyin sana deðil hüso ya
22:2:52 | [CMD] Sahildeniz(17) => /sirketdorse
22:2:53 | [CMD] TIRCI(32) => /gobus
22:2:54 | [CMD] eren1616(16) => /pm 23 hooop
22:2:55 | [LOCAL]huseyin(21): boþluk býrakýnca ter temiz oluyor
22:2:55 | [CMD] huseyin(21) => /l boþluk býrakýnca ter temiz oluyor
22:2:57 | [CMD] Slipy16(23) => /pm  he
22:2:57 | [CMD] eren1616(16) => /goto 23
22:2:58 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:2:58 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:2:58 | [CMD] Gazapizm_(7) => /convoy
22:2:59 | [LOCAL]huseyin(21): tmm la bende yazam nolcak .d
22:2:59 | [CMD] huseyin(21) => /l tmm la bende yazam nolcak .d
22:3:0 | [CMD] Slipy16(23) => /pm 16 he
22:3:3 | [LOCAL]Chilgin[byhack](8): D:
22:3:3 | [CMD] Chilgin[byhack](8) => /l D:
22:3:3 | [CMD] TIRCI(32) => /icerigir
22:3:4 | ibrahimkk(38): yok
22:3:4 | [LOCAL]huso608(12): :)
22:3:4 | [CMD] huso608(12) => /l :)
22:3:5 | [LOCAL]huseyin(21): husolar fark etmez .d
22:3:5 | [CMD] huseyin(21) => /l husolar fark etmez .d
22:3:5 | [CMD] Freezer3543(24) => /rescue
22:3:6 | [CMD] ASLANBEY(20) => /pm 33 saðlam adam alýrýz
22:3:6 | [CMD] Jodor(33) => /pm 20 ikiniz þirketin patronu da olursunuz. 
22:3:8 | [CMD] TIRCI(32) => /isyerimenu
22:3:11 | BeylerBeyi(10): kargoculuða geri dönecekler yarýn :D
22:3:12 | ibrahimkk(38): bzk kargocu olcak var
22:3:12 | [CMD] huseyin(21) => /asay2 TEST
22:3:12 | [CMD] huso608(12) => /atamir
22:3:13 | [CMD] huso608(12) => /fuel
22:3:13 | [CMD] Konyali42(18) => /kemer
22:3:13 | [CMD] eren1616(16) => /araba
22:3:14 | [CMD] Sahildeniz(17) => /work
22:3:15 | [CMD] huseyin(21) => /asay2 s 
22:3:15 | [SirketCHT] ASLANBEY(20): !pm 33 sezer de iyi 
22:3:15 | [CMD] huseyin(21) => /asay2 s 
22:3:16 | [CMD] huseyin(21) => /dtemizle
22:3:16 | [CMD] Jodor(33) => /pm 20 slot zaten 20 olacak
22:3:16 | [LOCAL]Chilgin[byhack](8): D:
22:3:16 | [CMD] Chilgin[byhack](8) => /l D:
22:3:16 | [CMD] huseyin(21) => /asay2 s 
22:3:20 | [SirketCHT] ibrahimkk(38): ! gg :D
22:3:22 | [CMD] Gazapizm_(7) => /modifiye
22:3:25 | [CMD] ASLANBEY(20) => /pm 33 la :D
22:3:25 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:3:26 | [CMD] Slipy16(23) => /pm 16 clipcamper in yanýna götür beni
22:3:28 | [CMD] TIRCI(32) => /isyerimenu
22:3:30 | [LOCAL]huseyin(21): yavaþ
22:3:30 | [CMD] huseyin(21) => /l yavaþ
22:3:32 | [CMD] ASLANBEY(20) => /pm 33 lsezerde iyi
22:3:33 | [CMD] huseyin(21) => /car stra 0 0 
22:3:34 | [CMD] eren1616(16) => /pm 23 neyin
22:3:35 | [CMD] BOZKURT545(9) => /asiriyuk
22:3:35 | [CMD] Slipy16(23) => /pm 16 ýd 6
22:3:37 | [LOCAL]huseyin(21): nays
22:3:37 | [CMD] huseyin(21) => /l nays
22:3:38 | [CMD] Gazapizm_(7) => /convoy
22:3:38 | [LOCAL]Chilgin[byhack](8): Sexy Direy Money
22:3:38 | [CMD] Chilgin[byhack](8) => /l Sexy Direy Money
22:3:38 | [CMD] huseyin(21) => /modifiye
22:3:39 | {FFCC00}Sahildeniz(17) Otobus Soforu olarak spawn oldu.
22:3:42 | [CMD] Sahildeniz(17) => /meslek
22:3:45 | {FFCC00}Sahildeniz(17) {FFFFFF}Kamyoncu olarak spawn oldu.
22:3:51 | [LOCAL]huseyin(21): atla
22:3:51 | [CMD] huseyin(21) => /l atla
22:3:53 | [CMD] huseyin(21) => /cleanupcars
22:3:53 | [CMD] BeylerBeyi(10) => /asay Ýstek þarkýnýz çalýnýyor iyi oyunlar dileriz... 
22:3:54 | [CMD] Jodor(33) => /pm 20 sezzerde aklýmda berkayý da alayým diyorum da hüseyin býrakmaz :/
22:3:54 | [CMD] ClipCamper20(6) => /karakol
22:3:55 | [SirketCHT] sezzer(19): ! benden bahsediliyor :D
22:3:55 | [CMD] Sahildeniz(17) => /work
22:3:56 | [CMD] ibrahimkk(38) => /icerigit
22:3:57 | [CMD] huseyin(21) => /modifiye
22:3:57 | [CMD] ibrahimkk(38) => /icerigir
22:3:57 | [CMD] ClipCamper20(6) => /karakol
22:3:58 | [CMD] eren1616(16) => /pm 23 skype gelsene
22:3:59 | [CMD] Gazapizm_(7) => /sac
22:4:0 | [CMD] huseyin(21) => /kemer
22:4:0 | [CMD] huso608(12) => /a clean
22:4:2 | [CMD] Freezer3543(24) => /pm 9 Serbest býraktýk asýrý yukleri bitirdin la asldkösadösad
22:4:2 | [LOCAL]huseyin(21): /kemer
22:4:2 | [CMD] huseyin(21) => /l /kemer
22:4:4 | [CMD] huseyin(21) => /a cektim
22:4:4 | [CMD] TIRCI(32) => /icerigir
22:4:5 | [CMD] Sahildeniz(17) => /work
22:4:5 | [LOCAL]Chilgin[byhack](8): bu araba da güzel
22:4:5 | [CMD] Chilgin[byhack](8) => /l bu araba da güzel
22:4:5 | [CMD] ibrahimkk(38) => /isyerimenu
22:4:5 | [CMD] huso608(12) => /kemer
22:4:6 | [CMD] Fublary3003(25) => /work
22:4:6 | cCc.Bayram.cCC(39): seri kargocu olcak 
22:4:6 | BeylerBeyi(10): 15 Tane Gizli Dorse Taþýdým 15 Tane Kaldý
22:4:7 | [CMD] huseyin(21) => /cleanupcars
22:4:12 | [CMD] Hic(27) => /kemer
22:4:15 | [CMD] Freezer3543(24) => /kemer
22:4:15 | [CMD] Slipy16(23) => /gizli
22:4:17 | [LOCAL]huseyin(21): gusel
22:4:17 | [CMD] huseyin(21) => /l gusel
22:4:18 | [CMD] ASLANBEY(20) => /pm 33 aynen iyiler ama huseyýn býrakmayabilir
22:4:19 | ibrahimkk(38): ben 19 u nu tasidim
22:4:20 | [CMD] Freezer3543(24) => /modifiye
22:4:21 | [LOCAL]cCc.Bayram.cCC(39): s7dw7,
22:4:21 | [CMD] cCc.Bayram.cCC(39) => /l s7dw7,
22:4:23 | [CMD] Fublary3003(25) => /goreviptal
22:4:24 | [LOCAL]huso608(12): buna mod bulsak
22:4:24 | [CMD] huso608(12) => /l buna mod bulsak
22:4:24 | [CMD] Slipy16(23) => /bilgi
22:4:26 | BeylerBeyi(10): Kim Bilir Nerde 15 Tane
22:4:27 | [LOCAL]Hic(27): beyler uçak alýp kapýþakmý ?
22:4:27 | [CMD] Hic(27) => /l beyler uçak alýp kapýþakmý ?
22:4:27 | [CMD] Freezer3543(24) => /pm 9 Serbest býraktýk asýrý yukleri bitirdin la asldkösadösad
22:4:27 | ibrahimkk(38): tir kac m?
22:4:28 | [LOCAL]Chilgin[byhack](8): ama siyah olmamýþ
22:4:28 | [CMD] Chilgin[byhack](8) => /l ama siyah olmamýþ
22:4:28 | [CMD] BOZKURT545(9) => /pm 24 polis ceza kesiyor þimdide 50k attým yine kesti haram olsun
22:4:31 | [CMD] Jodor(33) => /pm 20 birini alýrýz hüseyin býrakýr :D
22:4:32 | [CMD] huseyin(21) => /dtemizle
22:4:32 | [CMD] huseyin(21) => /asay2 s 
22:4:33 | [CMD] Slipy16(23) => /pm 16 olm benim þirketlerim vardý gitmiþ
22:4:33 | TIRCI(32): kumar oynayýnca kaybedýyozmu 
22:4:34 | Karpuzlupasta(22): gizli dorse hiç bulmadým :D
22:4:34 | [LOCAL]huso608(12): ufuk
22:4:34 | [CMD] huso608(12) => /l ufuk
22:4:34 | [CMD] Konyali42(18) => /gizlidorse
22:4:34 | [CMD] huseyin(21) => /modifiye
22:4:35 | [LOCAL]Hic(27): bu bildiðin Kartal
22:4:35 | [CMD] Hic(27) => /l bu bildiðin Kartal
22:4:35 | Gazapizm_(7): beleþ
22:4:37 | [CMD] Konyali42(18) => /gdorse
22:4:39 | [CMD] Fublary3003(25) => /odunsat
22:4:39 | [LOCAL]huseyin(21): .d
22:4:39 | [CMD] huseyin(21) => /l .d
22:4:40 | [SirketCHT] ASLANBEY(20): !pm 33 olabilir
22:4:42 | BeylerBeyi(10): :D
22:4:42 | [CMD] eren1616(16) => /pm 23 skype
22:4:42 | [CMD] huseyin(21) => /modifiye
22:4:42 | ibrahimkk(38): yok galeride
22:4:42 | [CMD] ClipCamper20(6) => /rescue
22:4:42 | [CMD] Jodor(33) => /pm 20 deðil mi hüseyin :D
22:4:43 | sezzer(19): týr satýn alamýyoruz artýk ibo
22:4:43 | [LOCAL]Chilgin[byhack](8): hunter alýrým ha kapþýrsak D:
22:4:43 | [CMD] Chilgin[byhack](8) => /l hunter alýrým ha kapþýrsak D:
22:4:44 | [CMD] Freezer3543(24) => /pm 9 Atma aga adam zaten kesiyor
22:4:46 | [CMD] ClipCamper20(6) => /rescue
22:4:46 | sezzer(19): o eskidendi
22:4:47 | ibrahimkk(38): nasil
22:4:49 | [CMD] eren1616(16) => /pm 23 yada al sen sür
22:4:49 | [LOCAL]huso608(12): olabilir
22:4:49 | [CMD] huso608(12) => /l olabilir
22:4:50 | [SirketCHT] Jodor(33): ! tabii tabii
22:4:51 | [CMD] ASLANBEY(20) => /pm 33 :D
22:4:51 | [LOCAL]Hic(27): yok shamal ile
22:4:51 | [CMD] Hic(27) => /l yok shamal ile
22:4:51 | sezzer(19): kaldýrýldý
22:4:51 | ibrahimkk(38): benim tirim vardi ama
22:4:52 | [CMD] Fublary3003(25) => /meslek
22:4:52 | [CMD] buyukustadbitti(11) => /tamir
22:4:52 | [CMD] eren1616(16) => /pm 23 biraz afk
22:4:54 | [CMD] eren1616(16) => /araba
22:4:54 | {FFCC00}Fublary3003(25) {FFFFFF}Kamyoncu olarak spawn oldu.
22:4:55 | ClipCamper20(6): sezzer
22:4:55 | [CMD] Freezer3543(24) => /pm 9 Fazladan para kaybettin o ben gibi degil ki
22:4:57 | sezzer(19): silinmiþtir
22:4:58 | [CMD] Karpuzlupasta(22) => /vip
22:5:1 | ClipCamper20(6): beni seri sirketinden
22:5:3 | [CMD] Karpuzlupasta(22) => /market
22:5:3 | ibrahimkk(38): onla ben tasiyordum
22:5:3 | [CMD] ASLANBEY(20) => /pm 33 huseyýn selamlar
22:5:4 | [CMD] huseyin(21) => /giveweapon 21 heat 5000 
22:5:4 | ClipCamper20(6): ceza kesrmsn
22:5:5 | [CMD] eren1616(16) => /eject 23
22:5:6 | [LOCAL]Chilgin[byhack](8): evt hüso ufuk dedin 
22:5:6 | [CMD] Chilgin[byhack](8) => /l evt hüso ufuk dedin 
22:5:6 | [CMD] huseyin(21) => /yak 21 
22:5:10 | BOZKURT545(9): 7pm 24 haram olsun ama geri at kescksn madem deme 
22:5:11 | [LOCAL]Chilgin[byhack](8): arda kaynadý 
22:5:11 | [CMD] Chilgin[byhack](8) => /l arda kaynadý 
22:5:12 | sezzer(19): gelicem baþka suçl peþindeyim
22:5:14 | [CMD] huseyin(21) => /caroption
22:5:15 | [CMD] eren1616(16) => /eject 23
22:5:17 | [CMD] Fublary3003(25) => /work
22:5:18 | [CMD] Chilgin[byhack](8) => /kemer
22:5:18 | [CMD] Karpuzlupasta(22) => /market
22:5:19 | [LOCAL]huseyin(21): yanýyor motor
22:5:19 | [CMD] huseyin(21) => /l yanýyor motor
22:5:20 | [CMD] Gazapizm_(7) => /convoy
22:5:20 | [LOCAL]huso608(12): baskan buna bi mod bulmak lazým
22:5:20 | [CMD] huso608(12) => /l baskan buna bi mod bulmak lazým
22:5:21 | [CMD] Hic(27) => /adminol
22:5:21 | ClipCamper20(6): tmm bekl'yorm
22:5:21 | [CMD] Hic(27) => /adminol
22:5:22 | [CMD] huso608(12) => /atamir
22:5:23 | ibrahimkk(38): bb
22:5:23 | Freezer3543(24): Fail
22:5:24 | [LOCAL]eren1616(16): sür
22:5:24 | [CMD] eren1616(16) => /l sür
22:5:25 | [CMD] huso608(12) => /fuel
22:5:27 | [CMD] ibrahimkk(38) => /rescue
22:5:28 | [CMD] BeylerBeyi(10) => /rescue
22:5:29 | [CMD] BOZKURT545(9) => /pm 24 :D
22:5:30 | Hic(27) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
22:5:30 | [LOCAL]huseyin(21): kaput kapandý
22:5:30 | [CMD] huseyin(21) => /l kaput kapandý
22:5:31 | [CMD] eren1616(16) => /fly
22:5:32 | [CMD] huseyin(21) => /caroption
22:5:33 | [CMD] cCc.Bayram.cCC(39) => /cevir
22:5:35 | [LOCAL]Slipy16(23): l den konuþunda görüyolar mý
22:5:35 | [CMD] Slipy16(23) => /l l den konuþunda görüyolar mý
22:5:37 | [CMD] ibrahimkk(38) => /work
22:5:38 | [LOCAL]Chilgin[byhack](8): himm bakarým boþ zamanda
22:5:38 | [CMD] Chilgin[byhack](8) => /l himm bakarým boþ zamanda
22:5:39 | [CMD] huseyin(21) => /konus
22:5:40 | [LOCAL]Slipy16(23): /l
22:5:40 | [CMD] Slipy16(23) => /l /l
22:5:41 | [LOCAL]huso608(12): nasýl actýn lo
22:5:41 | [CMD] huso608(12) => /l nasýl actýn lo
22:5:41 | [CMD] Freezer3543(24) => /pm 9 :D
22:5:41 | [LOCAL]eren1616(16): +
22:5:41 | [CMD] eren1616(16) => /l +
22:5:42 | [CMD] BOZKURT545(9) => /pm 24 hay Allah 
22:5:42 | [CMD] ibrahimkk(38) => /tamir
22:5:43 | [CMD] huseyin(21) => /animkapat
22:5:45 | [LOCAL]huseyin(21): /caroption
22:5:45 | [CMD] huseyin(21) => /l /caroption
22:5:50 | [CMD] huseyin(21) => /yak 21 
22:5:50 | [CMD] Slipy16(23) => /pm 16 skype girmiyo
22:5:50 | [LOCAL]Chilgin[byhack](8): ama yok tur sende
22:5:50 | [CMD] Chilgin[byhack](8) => /l ama yok tur sende
22:5:54 | [CMD] cCc.Bayram.cCC(39) => /meslek
22:5:55 | [CMD] ibrahimkk(38) => /tamir
22:5:56 | [LOCAL]huseyin(21): vipde var 
22:5:56 | [CMD] huseyin(21) => /l vipde var 
22:5:58 | [CMD] eren1616(16) => /pm 23 tmm az afk
22:5:59 | [CMD] huso608(12) => /caraptýon
22:6:0 | [CMD] huseyin(21) => /vipgor 12 
22:6:0 | [SirketCHT] Konyali42(18): ! kac metre kaldi jodor
22:6:1 | [CMD] ibrahimkk(38) => /work
22:6:1 | {FFCC00}cCc.Bayram.cCC(39) {FFFFFF}Kamyoncu olarak spawn oldu.
22:6:3 | [CMD] huso608(12) => /caraption
22:6:3 | [CMD] huseyin(21) => /yak 21 
22:6:5 | [LOCAL]Chilgin[byhack](8): ve 5 lv de
22:6:5 | [CMD] Chilgin[byhack](8) => /l ve 5 lv de
22:6:6 | [CMD] huseyin(21) => /yak 21 
22:6:7 | [CMD] huseyin(21) => /yak 21 
22:6:8 | [CMD] huseyin(21) => /yak 21 
22:6:8 | [CMD] cCc.Bayram.cCC(39) => /rescue
22:6:10 | [CMD] huseyin(21) => /yak 21 
22:6:11 | [CMD] Konyali42(18) => /convoy
22:6:11 | [CMD] CagatayBro(26) => /basarimlar
22:6:13 | [CMD] huso608(12) => /caroption
22:6:13 | [CMD] huseyin(21) => /yak 21 
22:6:13 | [CMD] huseyin(21) => /yak 21 
22:6:19 | [CMD] Freezer3543(24) => /pm 9 Aga küfür yazma da pmleri goruyo adminler
22:6:20 | [LOCAL]Chilgin[byhack](8): pataldma la :D
22:6:20 | [CMD] Chilgin[byhack](8) => /l pataldma la :D
22:6:21 | [SirketCHT] Madness(29): !8000 :D
22:6:23 | [LOCAL]Chilgin[byhack](8): gebercez
22:6:23 | [CMD] Chilgin[byhack](8) => /l gebercez
22:6:24 | [CMD] Karpuzlupasta(22) => /bilet ls-sf
22:6:27 | [CMD] sezzer(19) => /araba
22:6:27 | [SirketCHT] Konyali42(18): ! yuh
22:6:34 | [CMD] BOZKURT545(9) => /pm 24 yazmam yazmm w
22:6:34 | [CMD] huseyin(21) => /a napýonuz la aracta
22:6:35 | [CMD] huseyin(21) => /god
22:6:36 | [CMD] BeylerBeyi(10) => /d Hüseyin o þirketin içindeki olan dorseyi alma þansýmýz yok deðilmi
22:6:39 | [CMD] ekmeksevenyiyen(15) => /tamir
22:6:41 | [CMD] Chilgin[byhack](8) => /a sex D:
22:6:44 | [CMD] huseyin(21) => /d hangisi
22:6:44 | [CMD] Karpuzlupasta(22) => /kener
22:6:44 | BOZKURT545(9): sezer gel kes 
22:6:45 | [SirketCHT] Madness(29): !9500 de azaltarak söledm :D
22:6:45 | [CMD] huseyin(21) => /a :D
22:6:46 | [CMD] Karpuzlupasta(22) => /kemer
22:6:47 | [CMD] huseyin(21) => /a D:
22:6:53 | [CMD] sezzer(19) => /rescue
22:6:55 | [CMD] BeylerBeyi(10) => /d bi þirketin içinde kalan gizli dorse varya
22:6:58 | [CMD] Chilgin[byhack](8) => /a hüso kaldý D:
22:7:0 | [CMD] huseyin(21) => /d alýrsýn
22:7:3 | [CMD] sezzer(19) => /araba
22:7:3 | [CMD] huseyin(21) => /goto beyler
22:7:4 | [CMD] BeylerBeyi(10) => /d iþin yoksa goto ol bak
22:7:10 | sezzer(19): geliyorum clip
22:7:10 | [CMD] Karpuzlupasta(22) => /rescue
22:7:11 | [CMD] huseyin(21) => /dorseget 629 
22:7:11 | [CMD] BeylerBeyi(10) => /d giriþ veya çýkýþý yokki
22:7:12 | sezzer(19): geliyorum clip
