0:0:0 | sezzer(6): 120 mi
21:30:44 | [CMD] BeylerBeyi(6) => /as
21:30:44 | [CMD] huseyin(12) => /as
21:30:44 | [CMD] TheS1LKENAdam(10) => /as
21:30:45 | sezzer(0): hb adaþþ
21:30:47 | [SirketCHT] huseyin(12): ! ne linki
21:30:48 | [LOCAL]DangerTr07(8): gezmek için cevik en iyi meslek
21:30:48 | [CMD] DangerTr07(8) => /l gezmek için cevik en iyi meslek
21:30:50 | [CMD] TheS1LKENAdam(10) => /goto 21
21:30:50 | [CMD] TheS1LKENAdam(10) => /goto 21
21:30:50 | [CMD] BeylerBeyi(6) => /work
21:30:51 | [CMD] TheS1LKENAdam(10) => /goto 21
21:30:52 | [CMD] TheS1LKENAdam(10) => /goto 21
21:30:52 | [SirketCHT] [eN]Overlord(9): ! forumla alakalý
21:30:53 | [CMD] Axefi(16) => /as
21:30:54 | [CMD] DangerTr07(8) => /Atamir
21:30:54 | [CMD] Muya(21) => /tamir
21:30:55 | [SirketCHT] vevampire(13): !forumdan konu
21:30:55 | [CMD] TheS1LKENAdam(10) => /tamir
21:30:56 | [SirketCHT] huseyin(12): ! tmm 
21:30:56 | [LOCAL]selimdemote(7): aynn
21:30:56 | [CMD] selimdemote(7) => /l aynn
21:30:59 | [CMD] Muya(21) => /rescue
21:30:59 | [SirketCHT] vevampire(13): !bekle
21:31:0 | TheS1LKENAdam(10): Bay bay
21:31:0 | [CMD] Muya(21) => /rescue
21:31:0 | sezzer(0): *8 amcýðýnýn sularýný içmeye geldim adaþýmm
21:31:3 | sezzer(0): lan
21:31:3 | Muya(21): ölmedim :D
21:31:4 | DangerTr07(8): jwejqejqjeqjejqe
21:31:5 | sezzer(0): hass
21:31:6 | DangerTr07(8): jqwjeqjeq
21:31:6 | [CMD] huseyin(12) => /uyar 0 uslup
21:31:8 | sezzer(0): cc
21:31:9 | [CMD] Muya(21) => /rescue
21:31:10 | [CMD] DangerTr07(8) => /A ÇQ:WEÇQQçEÇQe
21:31:11 | [CMD] BeylerBeyi(6) => /work
21:31:13 | [CMD] DangerTr07(8) => /A ulan ya :D 
21:31:14 | [CMD] TheS1LKENAdam(10) => /a ben mute atardum :D
21:31:15 | sezzer(0): bu nasýl fail
21:31:16 | Muya(21): arac res can res :D
21:31:19 | [LOCAL]selimdemote(7): þu sezeri yanýmýza çek
21:31:19 | [CMD] selimdemote(7) => /l þu sezeri yanýmýza çek
21:31:22 | TheS1LKENAdam(10): Araç Res Geliyor
21:31:24 | TheS1LKENAdam(10): Araç Res Geliyor
21:31:25 | [CMD] DangerTr07(8) => /Get 0 
21:31:26 | [CMD] huseyin(12) => /cantazele
21:31:28 | DangerTr07(8): atla adaþ :D
21:31:29 | [CMD] TheS1LKENAdam(10) => /respawncars
21:31:29 | Muya(21): silkele araclarý
21:31:30 | [CMD] DangerTr07(8) => /Atamir
21:31:30 | [CMD] BeylerBeyi(6) => /work
21:31:31 | [CMD] huseyin(12) => /goto 0 
21:31:35 | TheS1LKENAdam(10): Muya
21:31:35 | [SirketCHT] vevampire(13): !http://trucksamp.com/forum/index.php/topic,530.0.html
21:31:37 | TheS1LKENAdam(10): havadamýsýn
21:31:38 | [CMD] DangerTr07(8) => /A oglim bu sezzer benden fena D 
21:31:45 | [LOCAL]selimdemote(7): sezer taze biþey vercez sana
21:31:45 | [CMD] selimdemote(7) => /l sezer taze biþey vercez sana
21:31:47 | [CMD] DangerTr07(8) => /A atalimi ahýra hüseyin :D 
21:31:47 | Muya(21): dünyadayým
21:31:48 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:50 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:51 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:52 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:52 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:53 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:54 | [CMD] TheS1LKENAdam(10) => /goto 21
21:31:55 | [LOCAL]sezzer(0): ya ufff yine mi
21:31:55 | [CMD] sezzer(0) => /l ya ufff yine mi
21:31:58 | [CMD] TheS1LKENAdam(10) => /tamir
21:31:58 | [CMD] BeylerBeyi(6) => /work
21:31:59 | Muya(21): ögüs :d
21:32:0 | [CMD] TheS1LKENAdam(10) => /tamir
21:32:3 | [CMD] Muya(21) => /kemer
21:32:3 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:4 | [LOCAL]DangerTr07(8): ahýra atacaz seni QÇW:e 
21:32:4 | [CMD] DangerTr07(8) => /l ahýra atacaz seni QÇW:e 
21:32:4 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:4 | [ANTIHACK] Þüpheli TheS1LKENAdam(10) => Airbreak-hack
21:32:5 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:5 | [LOCAL]selimdemote(7): nam nam
21:32:5 | [CMD] selimdemote(7) => /l nam nam
21:32:5 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:6 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:6 | vevampire(13): :d
21:32:6 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:7 | [CMD] Muya(21) => /tamir
21:32:7 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:8 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:9 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:32:9 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:18 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:32:19 | [LOCAL]sezzer(0): beyler pc salonda ekran görünüyo yapmayýn
21:32:19 | [CMD] sezzer(0) => /l beyler pc salonda ekran görünüyo yapmayýn
21:32:22 | [LOCAL]DangerTr07(8): sularsýn he ben seni slarim þimdi 
21:32:22 | [CMD] DangerTr07(8) => /l sularsýn he ben seni slarim þimdi 
21:32:22 | [LOCAL]sezzer(0): herkes bakýyo
21:32:22 | [CMD] sezzer(0) => /l herkes bakýyo
21:32:23 | [CMD] TheS1LKENAdam(10) => /a muyayla ugrasýyom yaw
21:32:23 | [CMD] BeylerBeyi(6) => /work
21:32:28 | [LOCAL]selimdemote(7): danger sezer bizim iþ yaþ oldu hüso geldi
21:32:28 | [CMD] selimdemote(7) => /l danger sezer bizim iþ yaþ oldu hüso geldi
21:32:30 | [SirketCHT] vevampire(13): !baktýnmý
21:32:35 | [LOCAL]DangerTr07(8): olmaz qnq
21:32:35 | [CMD] DangerTr07(8) => /l olmaz qnq
21:32:37 | [LOCAL]huseyin(12): ayýp biþi deðil
21:32:37 | [CMD] huseyin(12) => /l ayýp biþi deðil
21:32:38 | [CMD] BeylerBeyi(6) => /d 2 dk afk
21:32:39 | [CMD] BeylerBeyi(6) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
21:32:40 | [CMD] TheS1LKENAdam(10) => /a seviyom gavatý
21:32:40 | [LOCAL]huseyin(12): ahýr ayýp mý
21:32:40 | [CMD] huseyin(12) => /l ahýr ayýp mý
21:32:41 | [CMD] huseyin(12) => /dtemizle 
21:32:41 | [CMD] huseyin(12) => /asay2 s  
21:32:42 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:43 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:44 | [CMD] BeylerBeyi(6) => /d hemen gelirim
21:32:44 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:45 | [CMD] TheS1LKENAdam(10) => /goto 21
21:32:46 | [CMD] TheS1LKENAdam(10) => /goto 21t
21:32:46 | TR_Berk_TR(11) oyuna girdi [IP: 81.213.222.11]
21:32:48 | [CMD] Muya(21) => /tamir
21:32:49 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:32:50 | [CMD] DangerTr07(8) => /D gelme açarim ben þarký xD
21:32:51 | [LOCAL]sezzer(0): tmm o zaman skin deðiþtirmeyin bari
21:32:51 | [CMD] sezzer(0) => /l tmm o zaman skin deðiþtirmeyin bari
21:32:53 | [CMD] BeylerBeyi(6) => /d :D
21:32:54 | 
21:32:56 | {FFCC00}TR_Berk_TR(11) {FFFFFF}Kamyoncu olarak spawn oldu.
21:32:57 | [LOCAL]sezzer(0): peder bu ne amk demesin
21:32:57 | [CMD] sezzer(0) => /l peder bu ne amk demesin
21:32:57 | {FFCC00}Axefi(16) {FFFFFF}Pilot olarak spawn oldu.
21:32:57 | [LOCAL]huseyin(12): o skin otomatik 
21:32:57 | [CMD] huseyin(12) => /l o skin otomatik 
21:32:58 | [LOCAL]DangerTr07(8): yok kaçamazsýn
21:32:58 | [CMD] DangerTr07(8) => /l yok kaçamazsýn
21:32:59 | TheS1LKENAdam(10): Muy
21:33:1 | TR_Berk_TR(11): beylerbeyi abi
21:33:2 | TheS1LKENAdam(10): Muya
21:33:4 | [LOCAL]huseyin(12): oto .d
21:33:4 | [CMD] huseyin(12) => /l oto .d
21:33:5 | Muya(21): nptýn la
21:33:6 | [LOCAL]selimdemote(7): yok hüseyin biz ahýrý yolun ortasýna getircektik
21:33:6 | [CMD] selimdemote(7) => /l yok hüseyin biz ahýrý yolun ortasýna getircektik
21:33:7 | [LOCAL]DangerTr07(8): hüseyin sen aledersin kanka :D 
21:33:7 | [CMD] DangerTr07(8) => /l hüseyin sen aledersin kanka :D 
21:33:7 | TR_Berk_TR(11): lufen ts ye bený kayýt edermisin
21:33:9 | [CMD] TheS1LKENAdam(10) => /pm 21 böyle yapýyom ama
21:33:11 | TR_Berk_TR(11): suan ts deyim
21:33:15 | huseyin(12): ederiz
21:33:15 | DangerTr07(8): tm
21:33:16 | [CMD] TheS1LKENAdam(10) => /pm 21 sýkýntý olur mu
21:33:17 | DangerTr07(8): ben ederim
21:33:21 | [CMD] Muya(21) => /pm 10 yok :D
21:33:22 | [LOCAL]selimdemote(7): yok hüseyin biz ahýrý yolun ortasýna getircektik
21:33:22 | [CMD] selimdemote(7) => /l yok hüseyin biz ahýrý yolun ortasýna getircektik
21:33:24 | [CMD] Muya(21) => /tamir
21:33:25 | [ANTIHACK] Þüpheli TheS1LKENAdam(10) => Airbreak-hack
21:33:25 | huseyin(12): ettim 
21:33:27 | [CMD] TheS1LKENAdam(10) => /pm 21 Gel bura
21:33:28 | {FFCC00}Axefi(16) {FFFFFF}Pilot olarak spawn oldu.
21:33:28 | [LOCAL]sezzer(0): adaþ bak üçünüzü üst üste koyucam zorlamayýn beni :D
21:33:28 | [CMD] sezzer(0) => /l adaþ bak üçünüzü üst üste koyucam zorlamayýn beni :D
21:33:28 | [CMD] TheS1LKENAdam(10) => /goto 21
21:33:30 | [CMD] TheS1LKENAdam(10) => /goto 21
21:33:30 | TR_Berk_TR(11): eyw abi
21:33:31 | TR_Berk_TR(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:33:32 | Muya(21): oha :D
21:33:32 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:33:34 | {FFCC00}Muya(21) {FFFFFF}Pilot olarak spawn oldu.
21:33:34 | Muya(21): nptýn :DSds
21:33:35 | [CMD] TheS1LKENAdam(10) => /goto 21
21:33:38 | [CMD] Muya(21) => /rescue
21:33:40 | [CMD] selimdemote(7) => /sezer in 
21:33:41 | [CMD] TheS1LKENAdam(10) => /goto 21
21:33:43 | DangerTr07(8): kayitlisin 
21:33:44 | alp1661(11) oyuna girdi [IP: 178.233.72.230]
21:33:45 | [CMD] huseyin(12) => /setskin 0 178 
21:33:45 | [CMD] BeylerBeyi(6) => /vtamir
21:33:48 | [CMD] BeylerBeyi(6) => /tamir
21:33:48 | Muya(21): silken :D
21:33:51 | BeylerBeyi(6): canres
21:33:52 | TheS1LKENAdam(10): Gel hele gel
21:33:52 | [CMD] huseyin(12) => /cantazele
21:33:52 | Muya(21): kafana shamal attýrma :D
21:33:53 | [LOCAL]DangerTr07(8): hüseyin seni üst üste koyar :D 
21:33:53 | [CMD] DangerTr07(8) => /l hüseyin seni üst üste koyar :D 
21:33:54 | [CMD] TheS1LKENAdam(10) => /cantazele
21:33:54 | [CMD] BeylerBeyi(6) => /work
21:33:57 | [CMD] DangerTr07(8) => /Fuel
21:33:59 | [CMD] huseyin(12) => /setskin 8 140 
21:34:4 | [CMD] huseyin(12) => /aractanat
21:34:6 | [LOCAL]sezzer(0): lan vermiþler bile skini
21:34:6 | [CMD] sezzer(0) => /l lan vermiþler bile skini
21:34:8 | [LOCAL]selimdemote(7): danger biz sezerle inek
21:34:8 | [CMD] selimdemote(7) => /l danger biz sezerle inek
21:34:15 | {FFCC00}alp1661(11) Otobus Soforu olarak spawn oldu.
21:34:19 | [LOCAL]DangerTr07(8): banada vermiþ q:WEQ
21:34:19 | [CMD] DangerTr07(8) => /l banada vermiþ q:WEQ
21:34:22 | [LOCAL]sezzer(0): olm ekrana bakýyolar diyorum
21:34:22 | [CMD] sezzer(0) => /l olm ekrana bakýyolar diyorum
21:34:22 | Axefi(16): muya yerinde dur bir kafana nevada atcam
21:34:24 | [LOCAL]sezzer(0): olm ekrana bakýyolar diyorum
21:34:24 | [CMD] sezzer(0) => /l olm ekrana bakýyolar diyorum
21:34:26 | [CMD] huseyin(12) => /setskin 0 120 
21:34:27 | selimdemote(7): uf hüseyin
21:34:29 | [LOCAL]sezzer(0): yapamam
21:34:29 | [CMD] sezzer(0) => /l yapamam
21:34:31 | [LOCAL]huseyin(12): al
21:34:31 | [CMD] huseyin(12) => /l al
21:34:33 | [LOCAL]huseyin(12): düzeldi
21:34:33 | [CMD] huseyin(12) => /l düzeldi
21:34:35 | selimdemote(7): uf hüseyin
21:34:36 | [LOCAL]sezzer(0): tmm 
21:34:36 | [CMD] sezzer(0) => /l tmm 
21:34:36 | [CMD] huseyin(12) => /setskin 0 285 
21:34:36 | [LOCAL]DangerTr07(8): benide düzelt qnq :D
21:34:36 | [CMD] DangerTr07(8) => /l benide düzelt qnq :D
21:34:37 | [SirketCHT] [eN]Overlord(9): ! AH ULAN
21:34:38 | huseyin(12): uf ne 
21:34:41 | [CMD] huseyin(12) => /cantazele
21:34:42 | Muya(21): la bu aralar herkez bna bisi atmak isto :D
21:34:45 | selimdemote(7): garýlara bak
21:34:47 | [CMD] TheS1LKENAdam(10) => /goto 21
21:34:48 | [CMD] TheS1LKENAdam(10) => /goto 21
21:34:49 | [SirketCHT] [eN]Overlord(9): ! od_gamers'in yaptýðý siber suçlara girmiyor mu
21:34:49 | [CMD] TheS1LKENAdam(10) => /goto 21
21:34:50 | [LOCAL]sezzer(0): skin karý skini olmasýn da naparsanýz yapýn D
21:34:50 | [CMD] sezzer(0) => /l skin karý skini olmasýn da naparsanýz yapýn D
21:34:50 | [CMD] Muya(21) => /tamir
21:34:55 | [CMD] [eN]Overlord(9) => /geldim
21:34:56 | [LOCAL]DangerTr07(8): ulan o lafý diyorsun görmüyorlar skinimi görüorlar :D
21:34:56 | [CMD] DangerTr07(8) => /l ulan o lafý diyorsun görmüyorlar skinimi görüorlar :D
21:34:59 | [CMD] Muya(21) => /tamir
21:34:59 | Muya(21): :D
21:35:0 | [CMD] huseyin(12) => /setskin 0 249 
21:35:1 | [CMD] DangerTr07(8) => /myskin 21
21:35:1 | [CMD] TheS1LKENAdam(10) => /goto 21
21:35:1 | [CMD] [eN]Overlord(9) => /geldim
21:35:3 | Muya(21): :D
21:35:4 | [CMD] [eN]Overlord(9) => /afk
21:35:4 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:35:4 | [CMD] huseyin(12) => /31
21:35:6 | [CMD] DangerTr07(8) => /kemer
21:35:6 | Muya(21): ula ögüs :D
21:35:6 | {FFCC00}Muya(21) {FFFFFF}Pilot olarak spawn oldu.
21:35:6 | [CMD] [eN]Overlord(9) => /geldim
21:35:7 | [CMD] TheS1LKENAdam(10) => /goto 21
21:35:9 | [CMD] Muya(21) => /rescýe
21:35:11 | [CMD] [eN]Overlord(9) => /geldim
21:35:11 | [CMD] Muya(21) => /rescue
21:35:15 | [CMD] TheS1LKENAdam(10) => /goto 21
21:35:16 | [CMD] DangerTr07(8) => /ATamir
21:35:21 | selimdemote(7): bmwyi ben sürcem 
21:35:21 | [eN]Overlord(9): la
21:35:22 | [CMD] huseyin(12) => /duskalk
21:35:25 | [CMD] BeylerBeyi(6) => /work
21:35:26 | [LOCAL]DangerTr07(8): qWÇ:EQÇE
21:35:26 | [CMD] DangerTr07(8) => /l qWÇ:EQÇE
21:35:29 | TheS1LKENAdam(10): :
21:35:29 | Axefi(16): :DD
21:35:30 | [CMD] DangerTr07(8) => /modifiye
21:35:30 | {FFCC00}Axefi(16) {FFFFFF}Pilot olarak spawn oldu.
21:35:32 | TheS1LKENAdam(10): :D
21:35:33 | Muya(21): vuramadý :D
21:35:34 | [CMD] BeylerBeyi(6) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
21:35:35 | selimdemote(7): hüseyin çok istiyo panpa
21:35:38 | [CMD] Muya(21) => /tamir
21:35:39 | [LOCAL]DangerTr07(8): al beyaz yptýn :D
21:35:39 | [CMD] DangerTr07(8) => /l al beyaz yptýn :D
21:35:41 | Axefi(16): yerden sekti uçak :D
21:35:44 | [CMD] alp1661(11) => /work7
21:35:44 | huseyin(12): .d
21:35:45 | [CMD] BeylerBeyi(6) => /basarimlar
21:35:45 | sezzer(0): hüseyin arabanýn üstünde nöbet geçiriyo la
21:35:47 | selimdemote(7): dur
21:35:49 | [CMD] alp1661(11) => /work
21:35:55 | [LOCAL]huseyin(12): ahýrr
21:35:55 | [CMD] huseyin(12) => /l ahýrr
21:35:57 | [CMD] BeylerBeyi(6) => /work
21:35:59 | [CMD] selimdemote(7) => /dus
21:36:1 | sezzer(0): tipime bak asjdghjkhgasd
21:36:1 | H.R.N.(14) oyuna girdi [IP: 46.2.101.253]
21:36:2 | [CMD] DangerTr07(8) => /Get 0 
21:36:4 | huseyin(12): :D
21:36:5 | selimdemote(7): gel hüsen
21:36:11 | [CMD] huseyin(12) => /ellerhavaya
21:36:13 | [CMD] huseyin(12) => /silahizni 12 
21:36:14 | [CMD] huseyin(12) => /silahizni 12 
21:36:17 | 
21:36:17 | [CMD] sezzer(0) => /elsalla
21:36:17 | [CMD] huseyin(12) => /giveweapon 12 knife 1 
21:36:24 | [CMD] selimdemote(7) => /dus
21:36:25 | {FFCC00}Muya(21) {FFFFFF}Pilot olarak spawn oldu.
21:36:25 | BeylerBeyi(6): ahahah: D
21:36:25 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:25 | [LOCAL]huseyin(12): hanginiz kurban
21:36:25 | [CMD] huseyin(12) => /l hanginiz kurban
21:36:26 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:27 | [CMD] huseyin(12) => /myskin 120
21:36:27 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:27 | [CMD] Muya(21) => /rescue
21:36:30 | {FFCC00}H.R.N.(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:36:30 | [LOCAL]DangerTr07(8): selim 
21:36:30 | [CMD] DangerTr07(8) => /l selim 
21:36:31 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:33 | [CMD] H.R.N.(14) => /sa
21:36:34 | [CMD] BeylerBeyi(6) => /work
21:36:34 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:36:35 | [LOCAL]DangerTr07(8): kurbanýn selim 
21:36:35 | [CMD] DangerTr07(8) => /l kurbanýn selim 
21:36:35 | [CMD] BeylerBeyi(6) => /as
21:36:35 | [CMD] TheS1LKENAdam(10) => /as
21:36:37 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:38 | selimdemote(7): layn
21:36:38 | DangerTr07(8): adaþ 
21:36:39 | Muya(21): silken :D
21:36:40 | DangerTr07(8): gidelim :D
21:36:42 | [CMD] H.R.N.(14) => /goto 8
21:36:43 | huseyin selimdemote'i öldürdü. Oldurme Sekli: 4
21:36:43 | DangerTr07(8): atla :D 
21:36:44 | Muya(21): yyer sallanýyo lo :D
21:36:45 | DangerTr07(8): kaç
21:36:47 | {FFCC00}selimdemote(7) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:36:51 | [CMD] DangerTr07(8) => /kemer
21:36:52 | [CMD] huseyin(12) => /get 7 
21:36:53 | selimdemote(7): yanýnýza çekin
21:36:54 | [CMD] sezzer(0) => /kemer
21:36:56 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:57 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:58 | Muya(21): danger
21:36:58 | [CMD] TheS1LKENAdam(10) => /goto 21
21:36:58 | [LOCAL]huseyin(12): muck
21:36:58 | [CMD] huseyin(12) => /l muck
21:36:59 | [CMD] DangerTr07(8) => /Get 7 
21:36:59 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:0 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:1 | sezzer(0): olley bee az kalsýn yapraðý yiyoum
21:37:1 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:2 | [CMD] DangerTr07(8) => /Get 21
21:37:2 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:2 | [CMD] Muya(21) => /tamir
21:37:4 | huseyin H.R.N.'i öldürdü. Oldurme Sekli: 4
21:37:5 | DangerTr07(8): za
21:37:5 | [ANTIHACK] Þüpheli Muya(21) => Can-Hilesi
21:37:6 | Muya(21): :SDSD
21:37:7 | DangerTr07(8): jqjwejqe
21:37:7 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:37:8 | TheS1LKENAdam(10): :D
21:37:8 | {FFCC00}H.R.N.(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:37:8 | {FFCC00}DangerTr07(8) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:37:8 | {FFCC00}Muya(21) {FFFFFF}Pilot olarak spawn oldu.
21:37:9 | [CMD] BeylerBeyi(6) => /tamir
21:37:11 | Berkay08(15) oyuna girdi [IP: 188.120.40.203]
21:37:12 | selimdemote(7): çüþ
21:37:12 | [CMD] H.R.N.(14) => /goto 12
21:37:13 | [CMD] BeylerBeyi(6) => /tamir
21:37:17 | huseyin sezzer'i öldürdü. Oldurme Sekli: 4
21:37:17 | Muya(21): silken ahýrý bombala
21:37:18 | sezzer(0): laaa
21:37:18 | DangerTr07(8): muya qnq sayende süpr patlama yaþadik :D 
21:37:19 | sezzer(0): ajsdghjhagd
21:37:20 | [CMD] BeylerBeyi(6) => /tamir
21:37:21 | {FFCC00}sezzer(0) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:37:21 | TheS1LKENAdam(10): Öyle yapcaz
21:37:21 | 
21:37:23 | [CMD] Muya(21) => /rescue
21:37:23 | [CMD] BeylerBeyi(6) => /work
21:37:24 | {FFCC00}Berkay08(15) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:37:25 | huseyin H.R.N.'i öldürdü. Oldurme Sekli: 4
21:37:27 | [CMD] TheS1LKENAdam(10) => /goto 10
21:37:28 | [CMD] Berkay08(15) => /sa
21:37:28 | {FFCC00}H.R.N.(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:37:29 | [CMD] huseyin(12) => /get 0 
21:37:30 | [CMD] H.R.N.(14) => /goto 12
21:37:30 | [CMD] BeylerBeyi(6) => /as
21:37:30 | [CMD] TheS1LKENAdam(10) => /goto 10
21:37:31 | [CMD] huseyin(12) => /as
21:37:31 | DangerTr07(8): ne patladi be :D 
21:37:32 | Muya(21): danger S:DSD
21:37:34 | [CMD] TheS1LKENAdam(10) => /goto 10
21:37:38 | DangerTr07(8): Muya <3 
21:37:41 | [CMD] BeylerBeyi(6) => /as
21:37:43 | [CMD] BeylerBeyi(6) => /work
21:37:43 | TheFlash02(17) oyuna girdi [IP: 78.190.194.0]
21:37:43 | [CMD] huseyin(12) => /ellerhavaya
21:37:44 | Axefi(16): :D
21:37:45 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:46 | [CMD] DangerTr07(8) => /pm 21 qnq bazen iþe yariyorum :D 
21:37:48 | [CMD] huseyin(12) => /ellerhavaya
21:37:48 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:51 | {FFCC00}TheS1LKENAdam(10) {FFFFFF}Pilot olarak spawn oldu.
21:37:51 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:52 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:55 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:55 | [CMD] Muya(21) => /pm 8 komediydi tyam :Da
21:37:56 | [CMD] huseyin(12) => /giveweapon 12 desert 5000 
21:37:56 | [CMD] Berkay08(15) => /araba
21:37:56 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:57 | [CMD] TheS1LKENAdam(10) => /goto 21
21:37:59 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:0 | 
21:38:2 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:3 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:4 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:4 | [CMD] selimdemote(7) => /dus
21:38:4 | [CMD] H.R.N.(14) => /sac
21:38:5 | [CMD] Berkay08(15) => /kemer
21:38:9 | {FFCC00}huseyin(12) {FFFFFF}Kamyoncu olarak spawn oldu.
21:38:9 | huseyin(12): öldüm
21:38:9 | [CMD] Muya(21) => /tamir
21:38:10 | {FFCC00}TheFlash02(17) {FFFFFF}Polis olarak spawn oldu.
21:38:11 | [CMD] selimdemote(7) => /animkapat
21:38:12 | [CMD] huseyin(12) => /goto sezz 
21:38:12 | Muya(21): :D
21:38:13 | [CMD] alp1661(11) => /goreviptal
21:38:13 | [CMD] sezzer(0) => /duskalk
21:38:14 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:15 | [CMD] DangerTr07(8) => /A þu adamýn akasinda SucuKamil 'i banla qnq sormak için girmiþti banýný :D 
21:38:16 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:16 | selimdemote(7): durun bende
21:38:17 | [CMD] alp1661(11) => /kill
21:38:17 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:17 | [CMD] huseyin(12) => /giveweapon 12 minigun 5000 
21:38:18 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:18 | [CMD] Berkay08(15) => /modifiye
21:38:19 | [CMD] sezzer(0) => /animkapat
21:38:19 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:21 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:24 | sezzer(0): ohaaa
21:38:24 | {FFCC00}Axefi(16) {FFFFFF}Pilot olarak spawn oldu.
21:38:24 | [CMD] alp1661(11) => /meslek
21:38:24 | [CMD] TheFlash02(17) => /sa
21:38:27 | [CMD] Berkay08(15) => /as
21:38:28 | [CMD] Muya(21) => /tamir
21:38:29 | [CMD] BeylerBeyi(6) => /work
21:38:30 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:30 | [CMD] huseyin(12) => /cantazele
21:38:30 | [CMD] Muya(21) => /tamirw
21:38:31 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:31 | Axefi(16): fena çakýldým lan :D
21:38:31 | {FFCC00}alp1661(11) {FFFFFF}Kamyoncu olarak spawn oldu.
21:38:32 | [CMD] TheS1LKENAdam(10) => /goto 21
21:38:34 | [LOCAL]DangerTr07(8): bas kanka 
21:38:34 | [CMD] DangerTr07(8) => /l bas kanka 
21:38:35 | Muya(21): pü
21:38:35 | [CMD] huseyin(12) => /dtemizle 
21:38:35 | [CMD] huseyin(12) => /asay2 s  
21:38:37 | Muya(21): minigun kullanma
