0:0:0 | [CMD] TIRCI(23) => /basarimlar
20:42:8 | testere151(7): püð
20:42:9 | [LOCAL]Jodor(18): yerimiz þahane ya
20:42:9 | [CMD] Jodor(18) => /l yerimiz þahane ya
20:42:12 | [CMD] HeRquL(11) => /vipneon
20:42:15 | iYasinBey(23): mermi laglýsýn 
20:42:16 | [CMD] HeRquL(11) => /god
20:42:18 | [CMD] HeRquL(11) => /kemer
20:42:18 | [CMD] testere151(7) => /cleanupcars
20:42:19 | iYasinBey(23): veya lag var
20:42:20 | [CMD] burak71(0) => /work
20:42:26 | iYasinBey(23): oyubndan çýk gir
20:42:27 | [CMD] BoykoXD(8) => /dtemizle
20:42:29 | iYasinBey(23): oyundan çýk gir
20:42:32 | [LOCAL]CcCAtakan1907(14): sne radara yakalanýyon dimi
20:42:32 | [CMD] CcCAtakan1907(14) => /l sne radara yakalanýyon dimi
20:42:37 | [LOCAL]DarkFlow(10): ayn 
20:42:37 | [CMD] DarkFlow(10) => /l ayn 
20:42:42 | MeRMi(17): bende pingmi var
20:42:45 | [LOCAL]BoykoXD(8): evet ama a3te radar yok
20:42:45 | [CMD] BoykoXD(8) => /l evet ama a3te radar yok
20:42:46 | [LOCAL]CcCAtakan1907(14): a bilmem kaçtan sonra yakalanýlmýyo galiba
20:42:46 | [CMD] CcCAtakan1907(14) => /l a bilmem kaçtan sonra yakalanýlmýyo galiba
20:42:48 | testere151(7): evet
20:42:48 | [CMD] HeRquL(11) => /a taze kanlar nasýlsýnýz
20:42:49 | Konyali42(22): yuh 500 ping
20:42:50 | DangerTr07(21): evet var 
20:42:51 | [CMD] eren1616(9) => /vipler
20:42:52 | iYasinBey(23): evet
20:43:1 | [CMD] testere151(7) => /a iyi sen qWE:
20:43:4 | Konyali42(22): ben 50 de cilidiriyorum adamda 500 var :D
20:43:5 | [CMD] HeRquL(11) => /a iyi
20:43:9 | [CMD] DangerTr07(21) => /asiriyuk
20:43:10 | [CMD] iYasinBey(23) => /admins
20:43:15 | [CMD] DangerTr07(21) => /Atamir
20:43:17 | [CMD] DangerTr07(21) => /fuel
20:43:17 | MeRMi(17): 500 ?
20:43:21 | Konyali42(22): dü
20:43:24 | MeRMi(17): 170 var
20:43:25 | iYasinBey(23): evet
20:43:28 | [CMD] selimdemote(12) => /tamir
20:43:28 | [CMD] CcCAtakan1907(14) => /asay2 ~g~ts 3 Adresimiz: ~y~ts3.trucksamp.com
20:43:31 | [CMD] CcCAtakan1907(14) => /asay Yolunu Bulamayan, Yardýma Ýhtiyacý Olan ? 
20:43:32 | [CMD] CcCAtakan1907(14) => /asay Sorularýnýzý /sorusor Komutu Ýle Bizlere Sorabilirsiniz. 
20:43:33 | [CMD] CcCAtakan1907(14) => /asay /kurallar Yazarak 30 K Para Ve 5 Skor Kazanabilirsiniz. 
20:43:34 | iYasinBey(23): oyundan çýk gir
20:43:35 | [CMD] DangerTr07(21) => /uyar 
20:43:40 | [CMD] DangerTr07(21) => /uyar  12 ters yön 
20:43:41 | Konyali42(22): aha cikti 65 e -.-
20:43:42 | MeRMi(17): kardeþ
20:43:43 | [CMD] DarkFlow(10) => /ise
20:43:45 | iYasinBey(23): efm
20:43:46 | MeRMi(17): ben skor kasýyorum
20:43:50 | [CMD] testere151(7) => /spec 8
20:43:50 | MeRMi(17): yazýk oalcakj
20:43:53 | CcCAtakan1907(14): adminin yanýna böle yapýlmaz :D
20:43:56 | iYasinBey(23): lag var oyundan çýk gir elimden bir þey gel mez
20:43:59 | MeRMi(17): dur oplsun çýkar girerim
20:44:2 | [LOCAL]testere151(7): nabýyonuz len 
20:44:2 | [CMD] testere151(7) => /l nabýyonuz len 
20:44:2 | [CMD] eren1616(9) => /atamir
20:44:5 | HeRquL(11): pingi 110 ve üstü ttnet kullanýyordur  . net
20:44:9 | MeRMi(17): pekala
20:44:13 | MeRMi(17) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:44:16 | DangerTr07(21): t
20:44:20 | Konyali42(22): 26 <3 :D
20:44:20 | [CMD] testere151(7) => /spec 9
20:44:25 | [CMD] BoykoXD(8) => /getdorse
20:44:25 | [CMD] eren1616(9) => /c görev almayan kim
20:44:27 | [CMD] testere151(7) => /sac
20:44:33 | [CMD] testere151(7) => /djler
20:44:33 | HeRquL(11): konyalý zaten vivacom 
20:44:37 | [CMD] Konyali42(22) => /c hepimiz aldik ?
20:44:37 | [CMD] DangerTr07(21) => /Convoykontrol
20:44:41 | [CMD] testere151(7) => /spec 10
20:44:42 | MeRMi(17) oyuna girdi [IP: 78.169.152.217]
20:44:47 | [CMD] eren1616(9) => /c he tmm
20:44:48 | [CMD] HeRquL(11) => /work
20:44:51 | [CMD] iYasinBey(23) => /goto 22
20:44:51 | [CMD] DangerTr07(21) => /c manyak bu baþladi harbour mor görmüyon mu xd
20:44:53 | [CMD] Strike(TR)(16) => /musait
20:44:54 | [CMD] DangerTr07(21) => /C püü fail 
20:44:54 | [CMD] Strike(TR)(16) => /admins
20:44:55 | [CMD] testere151(7) => /specoff
20:44:55 | {FFCC00}testere151(7) {FFFFFF}Kamyoncu olarak spawn oldu.
20:44:55 | 
20:44:56 | [CMD] HeRquL(11) => /goreviptal
20:44:56 | [CMD] eren1616(9) => /c yanlýþ gördüm :D
20:44:58 | [CMD] testere151(7) => /goto 18
20:44:58 | [CMD] iYasinBey(23) => /goto 11
20:44:59 | Konyali42(22): yasin really nigga
20:44:59 | MeRMi(17) Yol Iscisi olarak spawn oldu.
20:45:0 | [CMD] HeRquL(11) => /work
20:45:0 | [CMD] MeRMi(17) => /sa
20:45:4 | iYasinBey(23): buyur
20:45:4 | [CMD] eren1616(9) => /as
20:45:4 | [LOCAL]BoykoXD(8): kaç levelsin
20:45:4 | [CMD] BoykoXD(8) => /l kaç levelsin
20:45:6 | [CMD] iYasinBey(23) => /as
20:45:7 | [CMD] HeRquL(11) => /boat
20:45:7 | [CMD] testere151(7) => /goto 18
20:45:8 | [CMD] DarkFlow(10) => /as
20:45:8 | [LOCAL]CcCAtakan1907(14): 42
20:45:8 | [CMD] CcCAtakan1907(14) => /l 42
20:45:9 | [CMD] Strike(TR)(16) => /fly
20:45:9 | [CMD] ScrappeR(25) => /as
20:45:10 | [CMD] selimdemote(12) => /as
20:45:11 | CcCAtakan1907(14): 7l sn
20:45:13 | [LOCAL]CcCAtakan1907(14): sn
20:45:13 | [CMD] CcCAtakan1907(14) => /l sn
20:45:14 | Konyali42(22): yasin yaptigin ismi simdi
20:45:14 | [CMD] HeRquL(11) => /work
20:45:15 | [CMD] DangerTr07(21) => /C sabahtan beri kasiyorum len 
20:45:16 | [LOCAL]BoykoXD(8): 44
20:45:16 | [CMD] BoykoXD(8) => /l 44
20:45:19 | [CMD] DarkFlow(10) => /dus
20:45:21 | [CMD] HeRquL(11) => /boat
20:45:21 | [CMD] iYasinBey(23) => /goto 22
20:45:23 | [CMD] Strike(TR)(16) => /admins
20:45:23 | iYasinBey(23): ney
20:45:25 | [CMD] DangerTr07(21) => /Sirket
20:45:26 | Konyali42(22): nasil ney
20:45:27 | [CMD] HeRquL(11) => /work
20:45:27 | [CMD] eren1616(9) => /atamir
20:45:29 | [LOCAL]BoykoXD(8): skor 12419
20:45:29 | [CMD] BoykoXD(8) => /l skor 12419
20:45:30 | [LOCAL]CcCAtakan1907(14): ben 60 olunca herþeyi satýp inf alcam D:
20:45:30 | [CMD] CcCAtakan1907(14) => /l ben 60 olunca herþeyi satýp inf alcam D:
20:45:32 | MeRMi(17): admin
20:45:33 | [CMD] Strike(TR)(16) => /asilah
20:45:33 | iYasinBey(23): aa yanlýþýkla sanamý geldim ben az önce
20:45:33 | Konyali42(22): tp oldun dorse cikti suya düstüm
20:45:34 | iYasinBey(23): :D
20:45:36 | [CMD] Strike(TR)(16) => /asilah
20:45:36 | testere151(7): evet
20:45:37 | [CMD] iYasinBey(23) => /goto 17
20:45:39 | [SirketCHT] DangerTr07(21): ! patronlar þirket katkisini sýfýrlamasin . 
20:45:39 | [LOCAL]BoykoXD(8): skor 12419
20:45:39 | [CMD] BoykoXD(8) => /l skor 12419
20:45:41 | iYasinBey(23): buyur
20:45:43 | [CMD] Strike(TR)(16) => /vipler
20:45:45 | [LOCAL]BoykoXD(8): senin
20:45:45 | [CMD] BoykoXD(8) => /l senin
20:45:45 | MeRMi(17): her dakka baþý çýk gir diyorsunuz
20:45:46 | [SirketCHT] DangerTr07(21): ! ilerde görcem sizi ben :D 
20:45:49 | MeRMi(17): omaz böyle
20:45:52 | Konyali42(22): görev gg cok sagol
20:45:53 | iYasinBey(23) Konyali42(22)'a 100000$ para gönderdi
20:45:53 | [CMD] iYasinBey(23) => /paragonder 22 100000
20:45:55 | [LOCAL]CcCAtakan1907(14): 11285
20:45:55 | [CMD] CcCAtakan1907(14) => /l 11285
20:45:56 | MeRMi(17): sabahta dediler
20:45:57 | iYasinBey(23): attým paranýü
20:46:0 | [CMD] Konyali42(22) => /rescue
20:46:0 | [CMD] Strike(TR)(16) => /meslek
20:46:4 | MeRMi(17): gerek yok kardeþim :D
20:46:4 | [CMD] Konyali42(22) => /rescue
20:46:9 | iYasinBey(23): bikmiyorum mermi
20:46:12 | Strike(TR)(16) Balikci olarak spawn oldu.
20:46:17 | [CMD] MeRMi(17) => /kemer
20:46:19 | [SirketCHT] Jodor(18): ! gitti þirket parasý :/
20:46:21 | [CMD] MeRMi(17) => /work
20:46:23 | [CMD] Strike(TR)(16) => /god
20:46:23 | [CMD] MeRMi(17) => /sac
20:46:24 | [SirketCHT] DarkFlow(10): ! :D
20:46:29 | [CMD] HeRquL(11) => /a hüseyin þimdi hemen /para 9999999 yapmýþtýr :D
20:46:32 | [CMD] ScrappeR(25) => /basarimlar
20:46:32 | [SirketCHT] Konyali42(22): ! olurmu simdi bu ya düzeltmek de yok
20:46:33 | [CMD] eren1616(9) => /para
20:46:34 | [CMD] Strike(TR)(16) => /A :D
20:46:35 | [CMD] iYasinBey(23) => /a a:SDA:SD
20:46:36 | [CMD] testere151(7) => /a :D
20:46:36 | [CMD] ScrappeR(25) => /stats
20:46:36 | [CMD] HeRquL(11) => /a /apara 
20:46:37 | [CMD] Strike(TR)(16) => /a apara :D
20:46:37 | [CMD] BoykoXD(8) => /a beyler oyuna girerken tsyi aksatmayýn
20:46:37 | [CMD] iYasinBey(23) => /goto 11
20:46:38 | [CMD] eren1616(9) => /a :ASD
20:46:40 | [CMD] eren1616(9) => /apra
20:46:42 | [SirketCHT] aliturkak(15): ! noldu ki
20:46:43 | [CMD] iYasinBey(23) => /apara 123123123123123
20:46:45 | [CMD] ScrappeR(25) => /basarimlar
20:46:46 | [SirketCHT] Konyali42(22): ! adam yanima tp oluyor dorse cikiyor suya düsüyorum
20:46:47 | [SirketCHT] DarkFlow(10): ! olmas olmas olmas böyle :D
20:46:48 | [CMD] CcCAtakan1907(14) => /asay Yolunu Bulamayan, Yardýma Ýhtiyacý Olan ? 
20:46:48 | [CMD] CcCAtakan1907(14) => /asay Sorularýnýzý /sorusor Komutu Ýle Bizlere Sorabilirsiniz. 
20:46:49 | [CMD] eren1616(9) => /apara
20:46:49 | [CMD] CcCAtakan1907(14) => /asay /kurallar Yazarak 30 K Para Ve 5 Skor Kazanabilirsiniz. 
20:46:50 | [CMD] iYasinBey(23) => /goto 9
20:46:52 | ScrappeR(25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:46:53 | [CMD] BoykoXD(8) => /a oyuna girerken tsyi girin
20:46:53 | [CMD] Strike(TR)(16) => /admins
20:46:56 | [CMD] DangerTr07(21) => /A gerek yokki senden zengin o xD 
20:46:57 | [CMD] CcCAtakan1907(14) => /asay2 
20:46:57 | CcCAtakan1907(14): s 3 Adresimiz: 
20:46:58 | [KAMYONCU] aliturkak, Harbour Island Warehouse'den Longway Warehouse'e Degerli Esyalar tasidi. Kazanc: 169754$, 1 Skor ve 5 EXP Sure: 473 Saniye
20:46:59 | [SirketCHT] Konyali42(22): ! gönderdigide 100k
20:47:2 | selimdemote(12): atakan giþede arabaný verem
20:47:2 | [CMD] iYasinBey(23) => /goto 21
20:47:2 | [CMD] HeRquL(11) => /a boyko doðru diyor
20:47:2 | CcCAtakan1907(14): ytr gayr
20:47:3 | Jodor(18): hg testere
20:47:4 | ProxTR(19) oyuna girdi [IP: 31.206.9.86]
20:47:5 | aliturkak(15): danger
20:47:6 | Jodor(18): sulama yap
20:47:6 | testere151(7): hb
20:47:7 | DangerTr07(21): kadir hg 
20:47:8 | CcCAtakan1907(14): grk yok
20:47:9 | aliturkak(15): convoy baþladýmý
20:47:9 | DangerTr07(21): ? 
20:47:9 | [CMD] Konyali42(22) => /kemer
20:47:9 | [CMD] iYasinBey(23) => /spec 18
20:47:12 | DangerTr07(21): yes
20:47:13 | [CMD] aliturkak(15) => /tamir
20:47:13 | [CMD] testere151(7) => /ise
20:47:15 | DangerTr07(21): harboura gidiyoruz 
20:47:16 | [CMD] aliturkak(15) => /work
20:47:17 | [CMD] iYasinBey(23) => /specoff
20:47:17 | {FFCC00}iYasinBey(23) {FFFFFF}Kamyoncu olarak spawn oldu.
20:47:18 | {FFCC00}ProxTR(19) Otobus Soforu olarak spawn oldu.
20:47:20 | [CMD] iYasinBey(23) => /goto 7
20:47:20 | [CMD] Jodor(18) => /dus
20:47:21 | [CMD] eren1616(9) => /aka 0
20:47:22 | [CMD] Strike(TR)(16) => /work
20:47:23 | iYasinBey(23): of
20:47:24 | [CMD] BoykoXD(8) => /admins
20:47:24 | [CMD] iYasinBey(23) => /goto 7
20:47:25 | [CMD] Jodor(18) => /dus
20:47:25 | [CMD] eren1616(9) => /aka 19ü
20:47:27 | [CMD] eren1616(9) => /aka 19
20:47:28 | iYasinBey(23): oha durdum
20:47:29 | [LOCAL]DarkFlow(10): hg testere
20:47:29 | [CMD] DarkFlow(10) => /l hg testere
20:47:32 | [CMD] iYasinBey(23) => /fly
20:47:33 | Jodor(18): dus
20:47:34 | [CMD] iYasinBey(23) => /goto 7
20:47:36 | [CMD] CcCAtakan1907(14) => /goto 7
20:47:37 | [CMD] iYasinBey(23) => /fly
20:47:38 | testere151(7): he durdum QW:E
20:47:38 | [CMD] Jodor(18) => /dus
20:47:38 | [CMD] aliturkak(15) => /goreviptal
20:47:40 | [CMD] aliturkak(15) => /work
20:47:44 | testere151(7): he durdn
20:47:44 | [CMD] ProxTR(19) => /work
20:47:44 | DangerTr07(21): selim 
20:47:46 | [CMD] Jodor(18) => /animkapat
20:47:50 | [CMD] CcCAtakan1907(14) => /skapat
20:47:50 | DangerTr07(21): sende mafya yaziyor :D 
20:47:51 | MeRMi(17): Birisi açsýnm bir program pingimi düþürsün :D
20:47:52 | [CMD] eren1616(9) => /dtemizle
20:47:54 | iYasinBey(23): partiya bah be
20:47:54 | [CMD] CcCAtakan1907(14) => /goto 7
20:47:54 | [CMD] testere151(7) => /ise
20:47:54 | [CMD] BoykoXD(8) => /a yasin-strike-eren  tsyi girin beyler
20:47:59 | [CMD] DarkFlow(10) => /ise
20:48:0 | [CMD] DangerTr07(21) => /Atamir
20:48:0 | [CMD] CcCAtakan1907(14) => /goto 7
20:48:3 | selimdemote(12): bendede herþey yazýyo
20:48:4 | [CMD] eren1616(9) => /a görev bitsin giircem
20:48:6 | [CMD] testere151(7) => /r gelme len
20:48:6 | iYasinBey(23): atakan sen geldiðinde 1 ss aldým :D
20:48:7 | HeRquL(11): züpermarkette kola 2.5 lt ne ara 5 tl aþyý lo
20:48:11 | CcCAtakan1907(14): :D
20:48:15 | [CMD] BoykoXD(8) => /a bide kadir sende knk 
20:48:16 | selimdemote(12): a2 mafya D
20:48:18 | [CMD] Strike(TR)(16) => /asay Vip-Donator-Sirket-Giþe Vb Ürünlerden Almak Ýsteyenler www.trucksamp.com Dan Alabilirler 
20:48:21 | [CMD] CcCAtakan1907(14) => /goto 7
20:48:22 | [CMD] testere151(7) => /a tsdeyim ztn
20:48:22 | [CMD] DarkFlow(10) => /dus
20:48:23 | [CMD] Strike(TR)(16) => /admins
20:48:30 | [CMD] selimdemote(12) => /tamair
20:48:33 | [CMD] testere151(7) => /a yukardayým ben
20:48:37 | [CMD] selimdemote(12) => /tamir
20:48:38 | [CMD] BoykoXD(8) => /a ok
20:48:39 | [CMD] Jodor(18) => /emrah
20:48:45 | [CMD] DarkFlow(10) => /emrah
20:48:46 | [CMD] CcCAtakan1907(14) => /goto 23
20:48:48 | [CMD] testere151(7) => /ise
20:48:48 | [CMD] selimdemote(12) => /sigara2
20:48:49 | [CMD] iYasinBey(23) => /ise
20:48:49 | [CMD] eren1616(9) => /a boyko
20:48:51 | [CMD] CcCAtakan1907(14) => /skapat
20:48:53 | Furkangz(20) oyuna girdi [IP: 78.182.145.226]
20:48:53 | [CMD] CcCAtakan1907(14) => /goto 23
20:48:53 | [CMD] eren1616(9) => /a bi sonuç varmý karakoldan
20:48:55 | iYasinBey(23): korkma jodor azcýk su :D
20:48:56 | [CMD] Jodor(18) => /animkapat
20:48:57 | [CMD] testere151(7) => /jail 14 100 gelme 
20:48:59 | [LOCAL]DarkFlow(10): oooh iyi oldu valla :D
20:48:59 | [CMD] DarkFlow(10) => /l oooh iyi oldu valla :D
20:49:0 | 
20:49:1 | CcCAtakan1907(14): :D
20:49:2 | {FFCC00}Furkangz(20) {FFFFFF}Kamyoncu olarak spawn oldu.
20:49:2 | [CMD] iYasinBey(23) => /animkapat
20:49:2 | [CMD] Strike(TR)(16) => /work
20:49:4 | DangerTr07(21): jsjss
20:49:4 | [CMD] Furkangz(20) => /admgiris
20:49:6 | [CMD] BoykoXD(8) => /a knk mahkemeye çýkýcamz
20:49:6 | [CMD] Furkangz(20) => /sa
20:49:8 | [CMD] HeRquL(11) => /veh
20:49:8 | [CMD] Strike(TR)(16) => /as
20:49:9 | [CMD] testere151(7) => /as
20:49:9 | [CMD] Strike(TR)(16) => /admins
20:49:10 | [CMD] iYasinBey(23) => /ise
20:49:10 | ProxTR(19): A.s
20:49:10 | [CMD] BoykoXD(8) => /as
20:49:11 | [CMD] DarkFlow(10) => /as
20:49:11 | [CMD] selimdemote(12) => /as
20:49:12 | [CMD] testere151(7) => /a hg
20:49:12 | CcCAtakan1907(14): gördüm olaylarý hayýrdýr :D
20:49:12 | [CMD] DangerTr07(21) => /As
20:49:13 | [CMD] CcCAtakan1907(14) => /as
20:49:13 | [CMD] eren1616(9) => /a çýksanýzya
20:49:14 | [CMD] eren1616(9) => /as
20:49:14 | [CMD] HeRquL(11) => /boat
20:49:16 | [CMD] Furkangz(20) => /a hb
20:49:17 | [CMD] HeRquL(11) => /as
20:49:18 | [LOCAL]iYasinBey(23): denizi kirletmeyin kamu spotu
20:49:18 | [CMD] iYasinBey(23) => /l denizi kirletmeyin kamu spotu
20:49:20 | [CMD] DangerTr07(21) => /jail 14 1 bug 
20:49:20 | [CMD] MeRMi(17) => /as
20:49:20 | [CMD] Furkangz(20) => /a napýonuz
20:49:21 | [CMD] HeRquL(11) => /ld
20:49:22 | {FFCC00}CcCAtakan1907(14) {FFFFFF}Kamyoncu olarak spawn oldu.
20:49:23 | [CMD] testere151(7) => /31
20:49:27 | [CMD] Strike(TR)(16) => /a iyi sen
20:49:27 | [CMD] eren1616(9) => /a ayný
20:49:27 | [CMD] Furkangz(20) => /goto testere
20:49:28 | CcCAtakan1907(14): eyv sezercim
20:49:28 | [CMD] DangerTr07(21) => /a bunlar ahýr yapayi galiba 
20:49:29 | [CMD] Furkangz(20) => /goto testere
20:49:30 | [CMD] eren1616(9) => /admins
20:49:30 | [CMD] iYasinBey(23) => /ise
20:49:30 | [CMD] BoykoXD(8) => /a  knk 3 kiþi gözaltýna alýndý ztn
20:49:31 | [CMD] HeRquL(11) => /respawn 714
20:49:32 | [LOCAL]iYasinBey(23): denizi kirletmeyin kamu spotu
20:49:32 | [CMD] iYasinBey(23) => /l denizi kirletmeyin kamu spotu
20:49:33 | [CMD] testere151(7) => /a sex sen qW:E
20:49:33 | [LOCAL]iYasinBey(23): denizi kirletmeyin kamu spotu
20:49:33 | [CMD] iYasinBey(23) => /l denizi kirletmeyin kamu spotu
20:49:35 | [CMD] HeRquL(11) => /work
20:49:35 | CcCAtakan1907(14): görüyonuz mu gsli ama :D
20:49:39 | [CMD] Furkangz(20) => /a ders :(
20:49:42 | Konyali42(22): sezer
20:49:43 | [CMD] testere151(7) => /a :(
20:49:43 | [CMD] eren1616(9) => /yonetimn
20:49:44 | [CMD] HeRquL(11) => /vipneon
20:49:45 | [CMD] eren1616(9) => /yonetim
20:49:45 | DangerTr07(21): ? 
20:49:46 | [CMD] Jodor(18) => /boombox muzikac
20:49:46 | Furkangz(20): þarký çok jeneikli ow ye
20:49:47 | [CMD] BoykoXD(8) => /a sonra serbest kaldýlar eren
20:49:51 | Furkangz(20): þarký çok jeneikli ow ye
20:49:52 | [CMD] Jodor(18) => /boombox muzikac
20:49:53 | [CMD] Strike(TR)(16) => /a birazdan bende ders calýscam
20:49:55 | Konyali42(22): hafta sonu hamsi nasildi 
20:49:57 | DangerTr07(21): D
20:49:58 | selimdemote(12): furkan coþtu
20:49:58 | [CMD] Strike(TR)(16) => /asay Vip-Donator-Sirket-Giþe Vb Ürünlerden Almak Ýsteyenler www.trucksamp.com Dan Alabilirler 
20:49:58 | [LOCAL]iYasinBey(23): denizi kirletmeyin kamu spotu
20:49:58 | [CMD] iYasinBey(23) => /l denizi kirletmeyin kamu spotu
20:50:1 | Konyali42(22): lezzetliydi demi :D
20:50:1 | [LOCAL]iYasinBey(23): denizi kirletmeyin kamu spotu
20:50:1 | [CMD] iYasinBey(23) => /l denizi kirletmeyin kamu spotu
20:50:2 | [CMD] Furkangz(20) => /a olm yarýn mat sýnavý var dua edin
20:50:2 | sezzer(25) oyuna girdi [IP: 88.238.181.127]
20:50:5 | Furkangz(20): owyee
20:50:6 | [CMD] ProxTR(19) => /yardim
20:50:8 | [CMD] Furkangz(20) => /dans3
20:50:9 | [CMD] Strike(TR)(16) => /a hangi konular var
20:50:10 | [CMD] CcCAtakan1907(14) => /goto 10
20:50:12 | [CMD] Furkangz(20) => /dans 4
20:50:14 | [CMD] iYasinBey(23) => /a bizim bugündü 
20:50:14 | [CMD] CcCAtakan1907(14) => /skapat
20:50:20 | [CMD] iYasinBey(23) => /bira
20:50:20 | [CMD] Furkangz(20) => /a eðim felan
20:50:20 | [CMD] ProxTR(19) => /kuralkabul
20:50:22 | [CMD] BoykoXD(8) => /a olum varya babamýn yüzü 10 kiþiden fazla var eren göz altý mosmor
20:50:23 | [CMD] Furkangz(20) => /a denklem 
20:50:23 | 
20:50:23 | [CMD] Strike(TR)(16) => /a baska
20:50:25 | [CMD] ProxTR(19) => /kurallar
20:50:26 | {FFCC00}sezzer(25) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
20:50:28 | MeRMi(17): admin 2 skor 10000 k ve 6 Exp atarmýsýn az önce bugtan dolayý 2 kere vermedi
20:50:28 | [CMD] Strike(TR)(16) => /a 2.derecedenmi
20:50:29 | [CMD] Furkangz(20) => /a bilinmeyenli 1. derece 2. fln
20:50:30 | CcCAtakan1907(14): adaþýn geldi :D
20:50:31 | [CMD] sezzer(25) => /sa
20:50:32 | [CMD] CcCAtakan1907(14) => /as
20:50:33 | [CMD] Strike(TR)(16) => /work
20:50:34 | DangerTr07(21): yes
20:50:35 | iYasinBey(23): furkangz elime bak
20:50:35 | [CMD] BoykoXD(8) => /a dikiþ
20:50:36 | [CMD] CcCAtakan1907(14) => /goto 25
20:50:36 | [CMD] DangerTr07(21) => /As
20:50:36 | [CMD] iYasinBey(23) => /as
20:50:38 | [CMD] eren1616(9) => /a orospu çocuklarý
20:50:38 | [CMD] Konyali42(22) => /as
20:50:40 | Furkangz(20):  cokguzel
20:50:40 | [SirketCHT] DangerTr07(21): ! yi beni sez
20:50:40 | Konyali42(22): hg knk
20:50:42 | [CMD] MeRMi(17) => /as
20:50:42 | [SirketCHT] DangerTr07(21): ! yi beni sezzer 
20:50:44 | [CMD] selimdemote(12) => /as
20:50:49 | [CMD] HeRquL(11) => /a boyko baban taksici falan mý
20:50:52 | [CMD] DangerTr07(21) => /A xd
20:50:53 | [CMD] burak71(0) => /work
20:50:53 | [CMD] BoykoXD(8) => /a varya ne küfür varsa saydým
20:50:55 | Furkangz(20):  ýww ye
20:50:56 | MeRMi(17): beni ahýra atýn
20:50:57 | [CMD] BoykoXD(8) => /a yook ya
20:50:58 | [SirketCHT] sezzer(25): ! tuzluyarak mý yiyim tuzsuzyarak mýyiyim
20:51:0 | Furkangz(20): tamam yeter
20:51:0 | [SirketCHT] DangerTr07(21): ! qnq
20:51:1 | [CMD] selimdemote(12) => /bira
20:51:4 | Furkangz(20): allahuekber
20:51:6 | Konyali42(22): kac m kaldi sezer harboura
20:51:7 | iYasinBey(23): furkangz elime bak
20:51:10 | [CMD] HeRquL(11) => /g.o
20:51:11 | [CMD] iYasinBey(23) => /31
20:51:13 | [CMD] HeRquL(11) => /a g.o
20:51:15 | [CMD] Furkangz(20) => /goto strike
20:51:15 | [CMD] DangerTr07(21) => /A gelmiþlerin geçmiþlrini TSK Sikiyor Zaten. 
20:51:15 | [CMD] iYasinBey(23) => /animkapat
20:51:16 | [CMD] BoykoXD(8) => /a o.çler  durup dururken saldýrdýlar
20:51:17 | [CMD] iYasinBey(23) => /animkapat
20:51:17 | MeRMi(17): Ahýr meselesi nedir ?
20:51:18 | [CMD] iYasinBey(23) => /animkapat
20:51:19 | [CMD] testere151(7) => /hayatziplayisi
20:51:20 | [CMD] BoykoXD(8) => /a eyw
20:51:20 | [LOCAL]sezzer(25): :D
20:51:20 | [CMD] sezzer(25) => /l :D
20:51:22 | [CMD] HeRquL(11) => /a niye oyle yapmýþlar ki
20:51:23 | [CMD] eren1616(9) => /a amk anasý çýkarýyo 2 ay bakýyo götüne vuruyor piçlerin
20:51:24 | selimdemote(12): benle beraber içecek varmý
20:51:24 | [CMD] Furkangz(20) => /a noldu la
20:51:27 | [CMD] testere151(7) => /hayatatlamasi
20:51:29 | [CMD] Jodor(18) => /balon
20:51:29 | [CMD] iYasinBey(23) => /fly
20:51:32 | bareking(26) oyuna girdi [IP: 176.88.9.7]
20:51:33 | [CMD] iYasinBey(23) => /fly
20:51:34 | [CMD] MeRMi(17) => /meslek
20:51:35 | [CMD] CcCAtakan1907(14) => /otur
20:51:36 | [CMD] DangerTr07(21) => /A pkkcýklar saldirmiþ 
20:51:37 | [CMD] iYasinBey(23) => /balon
20:51:39 | [CMD] CcCAtakan1907(14) => /uzan
20:51:40 | [CMD] DangerTr07(21) => /a it'ler avlamýþ 
20:51:41 | [CMD] Konyali42(22) => /pm 25 knk
20:51:41 | [CMD] sezzer(25) => /duskalk
20:51:42 | MeRMi(17) Mafya olarak spawn oldu.
20:51:43 | [CMD] Furkangz(20) => /a Gencler Bu Chatte Kufur yaska unutmayýn
20:51:46 | MeRMi(17): Admin
20:51:48 | [CMD] BoykoXD(8) => /a biliyorum ya orospu çocuklarý dövmek için yer arýyorlar
20:51:48 | [CMD] Konyali42(22) => /pm 25 ikimiz convoy yapakmi
20:51:49 | Furkangz(20): Efendim
20:51:49 | [CMD] HeRquL(11) => /a iyide pkk ile babasýnýn ne alaka ki
20:51:49 | [CMD] sezzer(25) => /pm 22 he knk
20:51:53 | [CMD] sezzer(25) => /pm 22 olur knk
20:51:53 | MeRMi(17): ahýr nedir ?
20:51:55 | [CMD] DangerTr07(21) => /A furkan uza :( 
20:51:56 | [CMD] Konyali42(22) => /pm 25 kimse dogru dürüst yapmiyor
20:51:57 | [CMD] MeRMi(17) => /kemer
20:51:57 | [CMD] Strike(TR)(16) => /work
20:51:59 | Furkangz(20): Atlarýn bulundugu
