0:0:3 | [CMD] ScrappeR(7) => /gobus
21:4:4 | [CMD] .canskld.(25) => /asiriyuk
21:4:4 | [CMD] Gezegen(19) => /araba
21:4:4 | [CMD] .canskld.(25) => /asiriyuk
21:4:6 | [CMD] BULDOZER(06)(17) => /pm 27 banane istedi gibi atýssýnla
21:4:8 | [CMD] Fublary3003(6) => /goreviptal
21:4:9 | [CMD] Freezer3543(27) => /pm 15 Tamam reis :(
21:4:10 | [CMD] Fublary3003(6) => /work
21:4:10 | [LOCAL]RavlyCoder(9): yaptm lksdjfgldkfgj
21:4:10 | [CMD] RavlyCoder(9) => /l yaptm lksdjfgldkfgj
21:4:11 | [CMD] cCc.Bayram.cCC(12) => /tamir
21:4:11 | selimdemote(18): yok ya kebabçý töbe töbe
21:4:14 | [CMD] Fublary3003(6) => /goreviptal
21:4:15 | [CMD] Gezegen(19) => /modifiye
21:4:15 | [CMD] Fublary3003(6) => /work
21:4:16 | Brokoli(14): :D
21:4:18 | [CMD] Freezer3543(27) => /pm 17 Aga bana kusme bari
21:4:18 | [CMD] Fublary3003(6) => /work
21:4:19 | [SirketCHT] Muya(13): ! nponuz agýzlarýna eþek arýsý tükürdükleri
21:4:19 | [LOCAL]TheFireman(16): gel
21:4:19 | [CMD] TheFireman(16) => /l gel
21:4:20 | [CMD] Jodor(15) => /pm 27 la yine takýlýrsýnýz. ne olacak :D
21:4:23 | [LOCAL]TheFireman(16): geçiriyim giþeden
21:4:23 | [CMD] TheFireman(16) => /l geçiriyim giþeden
21:4:23 | [CMD] Fublary3003(6) => /goreviptal
21:4:24 | [CMD] Fublary3003(6) => /work
21:4:26 | [LOCAL]TheFireman(16): arkamdan gel
21:4:26 | [CMD] TheFireman(16) => /l arkamdan gel
21:4:27 | [SirketCHT] .canskld.(25): !iyi
21:4:27 | [CMD] OkanMutlu(24) => /work
21:4:28 | [SirketCHT] ubeydo(21): ! ewy
21:4:28 | [SirketCHT] Fublary3003(6): ! huseyin
21:4:28 | [LOCAL]TheFireman(16): aldýnmý görev
21:4:28 | [CMD] TheFireman(16) => /l aldýnmý görev
21:4:30 | TheMorgan(0): gecir
21:4:30 | [SirketCHT] ubeydo(21): ! sen
21:4:31 | [SirketCHT] huseyin(7): ! he
21:4:31 | [CMD] .canskld.(25) => /asiriyuk
21:4:32 | [CMD] BULDOZER(06)(17) => /pm 27 yok freezer 
21:4:33 | [CMD] .canskld.(25) => /asiriyuk
21:4:33 | [CMD] Freezer3543(27) => /pm 15 Reis takýlýrýz da ne bilim :D
21:4:34 | [LOCAL]RavlyCoder(9): otobüs þöförü yazýp pilot olman :d
21:4:34 | [CMD] RavlyCoder(9) => /l otobüs þöförü yazýp pilot olman :d
21:4:35 | [SirketCHT] Brokoli(14): !yük taþýyoz
21:4:37 | [SirketCHT] Muya(13): ! suan oyunda 4sirketmi var
21:4:37 | [SirketCHT] Hic(23): ! O nasýl bi selam vverme la
21:4:37 | [CMD] .canskld.(25) => /asiriyuk
21:4:37 | [SirketCHT] Fublary3003(6): ! maaþ ýmý atarmýsýn ?
21:4:38 | eren1616(11) oyuna girdi [IP: 95.10.186.38]
21:4:39 | [CMD] BeylerBeyi(10) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
21:4:40 | [CMD] ahmet55(22) => /sirket
21:4:42 | [CMD] Fublary3003(6) => /goreviptal
21:4:43 | [SirketCHT] Muya(13): ! suan oyunda 4sirketmi var
21:4:43 | TheMorgan(0): eywü
21:4:44 | [CMD] BULDOZER(06)(17) => /pm 27 jodorda yalvarsa girmem
21:4:44 | ubeydo(21): 
21:4:45 | [SirketCHT] huseyin(7): ! tmm
21:4:46 | [CMD] Fublary3003(6) => /work
21:4:46 | [CMD] ubeydo(21) => /meslke
21:4:46 | [CMD] huseyin(7) => /sirket
21:4:48 | 
21:4:48 | [CMD] ubeydo(21) => /meslek
21:4:49 | [CMD] Hic(23) => /asay Yeni gelen oyuncularýmýz /kurallar yazýp kabul ettikten sonra 30.000$ ve 5 skor kazanabilirler...  
21:4:49 | eren1616(11) Mafya olarak spawn oldu.
21:4:50 | RavlyCoder(9) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:4:51 | [CMD] Hic(23) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
21:4:53 | {FFCC00}ubeydo(21) {FFFFFF}Kamyoncu olarak spawn oldu.
21:4:54 | [CMD] cCc.Bayram.cCC(12) => /tamir
21:4:56 | [CMD] ubeydo(21) => /rescue
21:4:57 | [CMD] eren1616(11) => /goto 24
21:4:58 | [CMD] Freezer3543(27) => /pm 17 Tamam aga bana kusme de n'olursa olsun karar senin :)
21:5:0 | [CMD] eren1616(11) => /admgiris
21:5:3 | [CMD] Fublary3003(6) => /goreviptal
21:5:3 | [CMD] TheMorgan(0) => /pm 16 eyw kardeþim
21:5:5 | [SirketCHT] Muya(13): ! ? :d
21:5:5 | [CMD] Fublary3003(6) => /work
21:5:5 | [CMD] eren1616(11) => /goto 24
21:5:8 | selimdemote(18): akedeþler babamdan ehliyet aldým diye bu gezegen yani mesut bana trip atýyo
21:5:8 | [CMD] TheFireman(16) => /pm 0 öd
21:5:10 | [CMD] Fublary3003(6) => /goreviptal
21:5:12 | [CMD] Fublary3003(6) => /work
21:5:12 | [CMD] eren1616(11) => /pm 24 dur la
21:5:14 | [CMD] eren1616(11) => /goto 24
21:5:14 | [CMD] TheFireman(16) => /pm sana önerim yol iþçiligi ilk baþta
21:5:16 | [CMD] TIRCI(20) => /meslek
21:5:19 | Muya(13): kafanýza shamal attýrmayýn
21:5:19 | [CMD] BULDOZER(06)(17) => /pm 27 hadib
21:5:19 | [SirketCHT] Fublary3003(6): ! 1m mi ?
21:5:21 | Brokoli(14): hanzo kim
21:5:25 | [CMD] TheFireman(16) => /pm 0 bence yol iþciliði yap hýzlý kasarsýn hem
21:5:25 | Gezegen(19): knk senin baban kasap herhalde
21:5:27 | ubeydo(21): Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:5:27 | [CMD] OkanMutlu(24) => /pm 11 görevdeyim birþey yaparsan ss
21:5:27 | Gezegen(19): knk senin baban kasap herhalde:D
21:5:28 | ubeydo(21): Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:5:29 | [CMD] Jodor(15) => /odunsat
21:5:30 | [CMD] ubeydo(21) => /convoy
21:5:31 | [CMD] .canskld.(25) => /asiriyuk
21:5:31 | Hic(23): Püðð
21:5:32 | [SirketCHT] Fublary3003(6): ! ben 2m 200k kastým
21:5:33 | 
21:5:33 | [CMD] BULDOZER(06)(17) => /pm 27 hadi sen takýlrsýn
21:5:34 | Hic(23): Araç res
21:5:34 | HeRquL(9) oyuna girdi [IP: 91.93.111.21]
21:5:34 | [CMD] BeylerBeyi(10) => /convoy
21:5:34 | [CMD] eren1616(11) => /donudr 24 5 .
21:5:35 | [CMD] TheFireman(16) => /pm 0 100 skorda direk mafya ol
21:5:35 | [CMD] cCc.Bayram.cCC(12) => /tamir
21:5:36 | selimdemote(18): mesut topuklarýna sýkarým ha
21:5:37 | [CMD] eren1616(11) => /goto 24
21:5:37 | [CMD] Hic(23) => /rescue
21:5:38 | [SirketCHT] huseyin(7): ! yk
21:5:40 | selimdemote(18): yok ya kebabçý töbe töbe
21:5:40 | [CMD] Freezer3543(27) => /kemer
21:5:41 | [SirketCHT] huseyin(7): ! kastýn
21:5:42 | [CMD] BeylerBeyi(10) => /convoy
21:5:44 | [CMD] BeylerBeyi(10) => /convoy
21:5:44 | [CMD] eren1616(11) => /pm 24 dur la yanýna binem
21:5:46 | [CMD] eren1616(11) => /goto 24
21:5:46 | [SirketCHT] huseyin(7): ! öyle yazýyordu
21:5:48 | [CMD] TIRCI(20) => /rescue
21:5:49 | ubeydo(21): Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:5:49 | Gezegen(19): yok ksapçý :D
21:5:50 | [CMD] Freezer3543(27) => /ogorev 25
21:5:50 | ubeydo(21): Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:5:51 | [CMD] eren1616(11) => /pm 24 dur la yanýna binem
21:5:53 | [CMD] eren1616(11) => /goto 24
21:5:54 | [CMD] ubeydo(21) => /t Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:5:54 | [CMD] Gezegen(19) => /tamir
21:5:55 | [SirketCHT] huseyin(7): ! tam maaþ deðil
21:5:55 | [SirketCHT] Fublary3003(6): ! 1m 900 vercektim
21:5:56 | selimdemote(18): sie
21:5:57 | 
21:5:57 | [CMD] BeylerBeyi(10) => /convoy
21:5:57 | Hic(23): Çevvik
21:5:59 | 
21:6:2 | [CMD] HeRquL(9) => /admgiris
21:6:3 | Gezegen(19): bekle ben sana yapacaðýmý biliyorum :D
21:6:5 | [CMD] BeylerBeyi(10) => /dtemizle
21:6:6 | [CMD] OkanMutlu(24) => /pm 11 gel
21:6:6 | selimdemote(18): buyur 
21:6:6 | [SirketCHT] Fublary3003(6): ! 300k almýyonuzmu
21:6:7 | Hic(23): Çeviik
21:6:8 | [CMD] eren1616(11) => /goto 24
21:6:8 | [CMD] TIRCI(20) => /araba
21:6:9 | Muya(13): gezegen
21:6:10 | [CMD] HeRquL(9) => /sa
21:6:10 | [CMD] TheFireman(16) => /sorusor konvoy kaç skor getiriyor
21:6:11 | [CMD] .canskld.(25) => /as
21:6:11 | Hic(23): Sf havalaný gel
21:6:12 | Muya(13): sýkunutumu var
21:6:12 | Gezegen(19): selim bekle :d
21:6:13 | [CMD] Hic(23) => /sorular
21:6:14 | [SirketCHT] huseyin(7): ! np
21:6:15 | [CMD] BeylerBeyi(10) => /as
21:6:16 | [CMD] Jodor(15) => /as
21:6:16 | [KAMYONCU] Brokoli, Quarry Top'den Emkatu Constructions'e Cimento tasidi. Kazanc: 15887$, 1 Skor ve 5 EXP Sure: 273 Saniye
21:6:18 | Muya(13): gazoz
21:6:20 | [CMD] Hic(23) => /sorukabul 16
21:6:21 | Muya(13): sýkýntýmý var :D
21:6:22 | [LOCAL]eren1616(11): beni seviyonmu ?
21:6:22 | [CMD] eren1616(11) => /l beni seviyonmu ?
21:6:24 | [CMD] Hic(23) => /ypm Merhaba.
21:6:25 | selimdemote(18): mesut minigan almaya gitti ben kaçam
21:6:25 | [CMD] BeylerBeyi(10) => /sirket
21:6:26 | [CMD] Brokoli(14) => /rescue
21:6:28 | [CMD] Fublary3003(6) => /meslek
21:6:28 | Hic(23): Araç res
21:6:29 | Gezegen(19): :D
21:6:30 | [CMD] TheFireman(16) => /ypm mrb
21:6:30 | {FFCC00}Fublary3003(6) {FFFFFF}Polis olarak spawn oldu.
21:6:34 | [LOCAL]eren1616(11): beni seviyonmu ?
21:6:34 | [CMD] eren1616(11) => /l beni seviyonmu ?
21:6:36 | [CMD] CcCAtakan1907(8) => /rehberler
21:6:37 | [CMD] Gezegen(19) => /araba
21:6:39 | [CMD] BULDOZER(06)(17) => /pm 27 istedigi gibi yalvarsada jodor tüm sirketler yalvarsada girmem
21:6:41 | [CMD] Jodor(15) => /uyeal 25
21:6:41 | [CMD] CcCAtakan1907(8) => /geldim
21:6:43 | [CMD] CcCAtakan1907(8) => /musait
21:6:44 | ubeydo(21): Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:6:44 | ubeydo(21): Harbour da konvoy var gelmek ýsteyen -------->   convoy / ubeydo
21:6:45 | selimdemote(18): mesut nere kaçtýn kýz
21:6:46 | [CMD] TIRCI(20) => /modifiye
21:6:47 | [CMD] BeylerBeyi(10) => /araba
21:6:47 | [LOCAL]eren1616(11): beni seviyonmu caným ?
21:6:47 | [CMD] eren1616(11) => /l beni seviyonmu caným ?
21:6:47 | [CMD] BULDOZER(06)(17) => /pm 27 istedigi gibi yalvarsada jodor tüm sirketler batsada yalvarsada girmem
21:6:48 | [CMD] HeRquL(9) => /fly
21:6:50 | [CMD] Freezer3543(27) => /pm 17 Tamam knk
21:6:50 | [LOCAL]OkanMutlu(24): no
21:6:50 | [CMD] OkanMutlu(24) => /l no
21:6:51 | [CMD] Brokoli(14) => /kemer
21:6:52 | [CMD] BeylerBeyi(10) => /araba
21:6:52 | Muya(13): hüseyin
21:6:52 | [CMD] ahmet55(22) => /cevir
21:6:54 | [CMD] Hic(23) => /ypm Konvoydan gelecek skorlar konvoyýn kaç kiþi olduðuna bakar
21:6:55 | [CMD] BeylerBeyi(10) => /araba
21:6:57 | huseyin(7): ?
21:6:57 | [LOCAL]eren1616(11): peki sen bilirsin
21:6:57 | [CMD] eren1616(11) => /l peki sen bilirsin
21:6:58 | Gezegen(19): noluyo la
21:6:58 | [CMD] cCc.Bayram.cCC(12) => /tamir
21:6:59 | BeylerBeyi(10): :ASDSA
21:7:0 | Muya(13): sen bir ögüs olabilirsin
21:7:1 | selimdemote(18): ekibi topluyo herhal
21:7:4 | Gezegen(19): aracýmý ne çekiyon :D
21:7:7 | [CMD] Freezer3543(27) => /pm 17 Ama yeter ki küsme bana la kankamsýn sen benim
21:7:11 | [CMD] Jodor(15) => /balon
21:7:11 | BeylerBeyi(10): aracýmý çekiyorum seninki geliyor
21:7:11 | [CMD] BULDOZER(06)(17) => /pm 27 insallah batar sirketiniz emi
21:7:12 | [OTOBUSCU] TheFireman, Las Venturas Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 10574$ ve 2 Skor Sure: 1350 Saniye
21:7:13 | [CMD] BeylerBeyi(10) => /araba
21:7:14 | [CMD] TheFireman(16) => /work
21:7:17 | ubeydo(21): 
21:7:19 | Gezegen(19): la dur çekme :D
21:7:20 | BeylerBeyi(10): .ASDSADsa
21:7:21 | ubeydo(21): 
21:7:22 | [CMD] CcCAtakan1907(8) => /sa
21:7:23 | [CMD] HeRquL(9) => /aka 16 
21:7:24 | [CMD] Freezer3543(27) => /pm 15 Reis adam sirkete beddua ediyo la D
21:7:25 | [CMD] ubeydo(21) => /as
21:7:25 | selimdemote(18): mesut arabalarýn çok çekici galiba
21:7:26 | [CMD] TIRCI(20) => /kemer
21:7:26 | [CMD] Hic(23) => /ypm Ýyi oyunlar.
21:7:27 | [CMD] eren1616(11) => /dorseget 697
21:7:28 | [CMD] Hic(23) => /ybitir
21:7:28 | {FFCC00}Brokoli(14) {FFFFFF}Kamyoncu olarak spawn oldu.
21:7:28 | [CMD] .canskld.(25) => /as
21:7:29 | [CMD] selimdemote(18) => /as
21:7:29 | [CMD] CcCAtakan1907(8) => /myskin 29
21:7:29 | [CMD] eren1616(11) => /dorseget 697
21:7:29 | [CMD] ubeydo(21) => /convoyayril
21:7:30 | [CMD] Muya(13) => /yerbul 19
21:7:31 | [CMD] ubeydo(21) => /convoy
21:7:31 | Hic(23): Aleyküm Selam.
21:7:33 | [CMD] CcCAtakan1907(8) => /myskin 129
21:7:35 | [CMD] CcCAtakan1907(8) => /myskin 229
21:7:36 | Gezegen(19): hay yapacaðýn espiriye :D
21:7:37 | [CMD] Jodor(15) => /pm 27 sebep?
21:7:38 | [CMD] TheFireman(16) => /convoy
21:7:40 | [CMD] CcCAtakan1907(8) => /myskin 290
21:7:40 | [CMD] ahmet55(22) => /araba
21:7:41 | [CMD] HeRquL(9) => /goto 27 
21:7:43 | [CMD] CcCAtakan1907(8) => /myskin 290
21:7:44 | .canskld.(25):  f ye basan elimi ...
21:7:44 | Muya(13): selim 
21:7:45 | [CMD] Gezegen(19) => /araba
21:7:47 | [CMD] Jodor(15) => /pm 27 bizim þirkete mi :D
21:7:48 | Muya(13): kafana shamal atarým ypma :D
21:7:49 | [CMD] Brokoli(14) => /sirketdorse
21:7:49 | {FFCC00}Hic(23) {FFFFFF}Pilot olarak spawn oldu.
21:7:52 | Gezegen(19): :D
21:7:52 | [LOCAL]eren1616(11): peki sen bilirsin evet deseyedin 3m atýcaktým
21:7:52 | [CMD] eren1616(11) => /l peki sen bilirsin evet deseyedin 3m atýcaktým
21:7:52 | [CMD] Jodor(15) => /araaba
21:7:53 | [CMD] Hic(23) => /sac
21:7:55 | [CMD] Jodor(15) => /araba
21:7:56 | Gezegen(19): bunu hakketin :D
21:7:56 | [CMD] Freezer3543(27) => /pm 15 He ya :D
21:7:57 | [CMD] HeRquL(9) => /car sfpd 0 1"
21:7:58 | selimdemote(18): espirilerim çok güzeldir ben denize girdim
21:7:58 | Hic(23): Çevik nerdesin ?
21:7:58 | OkanMutlu(24) oyundan cIktI (Hata/Crash) (IP: 85.106.121.180)
21:8:2 | [CMD] CcCAtakan1907(8) => /myskin 269ü
21:8:2 | [CMD] eren1616(11) => /dorseget 697
21:8:2 | [CMD] huseyin(7) => /paketekle
21:8:4 | [CMD] CcCAtakan1907(8) => /myskin 269
21:8:6 | [CMD] huseyin(7) => /paketekle
21:8:6 | [CMD] .canskld.(25) => /kemer
21:8:7 | [CMD] HeRquL(9) => /kemer
21:8:8 | [CMD] Brokoli(14) => /asiriyük
21:8:9 | [CMD] huseyin(7) => /paketekle
21:8:11 | [CMD] Jodor(15) => /pm 27 neden. bizim þirketimiz ne yapmýþ ona :D
21:8:11 | Gezegen(19): arkandayým muya
21:8:11 | [CMD] huseyin(7) => /paketekle
21:8:11 | [CMD] eren1616(11) => /sac
21:8:12 | Hic(23): Olm bi polis veya çevik lv gelsin
21:8:13 | [CMD] Gezegen(19) => /araba
21:8:13 | [CMD] cCc.Bayram.cCC(12) => /modifiye
21:8:13 | [CMD] huseyin(7) => /paketekle
21:8:15 | [CMD] huseyin(7) => /paketekle
21:8:15 | selimdemote(18): seni bi yakalarsým
21:8:15 | [CMD] Brokoli(14) => /asýrýyuk
21:8:15 | [CMD] eren1616(11) => /gpbýs
21:8:16 | [CMD] huseyin(7) => /paketekle
21:8:18 | [CMD] eren1616(11) => /gobus
21:8:18 | [CMD] huseyin(7) => /paketekle
21:8:18 | [CMD] Brokoli(14) => /asýrýyük
21:8:19 | [CMD] huseyin(7) => /paketekle
21:8:27 | [CMD] Freezer3543(27) => /PM 15 Reis adam satmam diyor ins bu sirkete muhtac kalýrsýnýz diyor :D
21:8:27 | selimdemote(18): cibili
21:8:29 | [CMD] Jodor(15) => /modifiye
21:8:32 | [CMD] selimdemote(18) => /rescue
21:8:33 | [CMD] BeylerBeyi(10) => /asay Ýstek Þarký Olmadýðý Ýçin Rastgele Açýlmýþtýr...
21:8:34 | [CMD] CcCAtakan1907(8) => /myskin 249
21:8:34 | [CMD] ubeydo(21) => /meslek
21:8:36 | [CMD] huseyin(7) => /sac
21:8:37 | [CMD] CcCAtakan1907(8) => /myskin 239
21:8:38 | [CMD] selimdemote(18) => /rescue
21:8:38 | [CMD] CcCAtakan1907(8) => /myskin 229
21:8:39 | [CMD] Muya(13) => /kemer
21:8:39 | [CMD] Freezer3543(27) => /ogorev 25
21:8:41 | BeylerBeyi(10): tabi tabi
21:8:42 | [CMD] CcCAtakan1907(8) => /myskin 219
21:8:42 | [CMD] Fublary3003(6) => /meslek
21:8:44 | {FFCC00}ubeydo(21) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
21:8:45 | OkanMutlu(24) oyuna girdi [IP: 85.106.121.180]
21:8:46 | [CMD] CcCAtakan1907(8) => /myskin 129
21:8:48 | [CMD] BeylerBeyi(10) => /rescue
21:8:49 | [SirketCHT] Brokoli(14): !nasýl aðýr yük alcaktýk
21:8:51 | [CMD] ubeydo(21) => /araba
21:8:51 | {FFCC00}Fublary3003(6) {FFFFFF}Dolmuþ Soforu olarak spawn oldu.
21:8:51 | H.R.N.(26) oyuna girdi [IP: 46.2.110.92]
21:8:51 | [CMD] CcCAtakan1907(8) => /myskin 139
21:8:52 | Muya(13): denize atladý ögüs :D
21:8:52 | [CMD] BULDOZER(06)(17) => /pm 27 sen istedigin gibi takýl beni cok gerdin ve üzdün o adamýn tek bi lafýna girdin o sirkete
21:8:53 | [CMD] CcCAtakan1907(8) => /myskin 134
21:8:54 | [KAMYONCU] .canskld., Avery Construction'den LS Construction Site'e Insaat Malzemesi tasidi. Kazanc: 25597$, 2 Skor ve 5 EXP Sure: 227 Saniye
21:8:56 | [CMD] Jodor(15) => /pm 27 bizim þirket kimseye muhtaç olmaz :D 
21:8:57 | [CMD] CcCAtakan1907(8) => /myskin 149
21:8:57 | [SirketCHT] Hic(23): ! /asiriyuk
21:8:57 | [CMD] HeRquL(9) => /a hüseyin
21:8:58 | [CMD] Fublary3003(6) => /rescue
21:8:59 | [CMD] Gezegen(19) => /rescue
21:8:59 | [SirketCHT] .canskld.(25): !/asiriyuk
21:8:59 | [CMD] CcCAtakan1907(8) => /myskin 169
21:9:0 | [CMD] ahmet55(22) => /tamir
21:9:1 | [CMD] Gezegen(19) => /rescue
21:9:1 | [CMD] huseyin(7) => /asay2 ~g~~h~~h~doldur be meyhaneci bitti simdi tabi tabi basladi
21:9:2 | [CMD] CcCAtakan1907(8) => /myskin 159
21:9:3 | [CMD] huseyin(7) => /a he
21:9:3 | [CMD] Brokoli(14) => /asiriyuk
21:9:3 | 
21:9:5 | [CMD] BeylerBeyi(10) => /rescue
21:9:6 | [CMD] Freezer3543(27) => /pm 17 Aga adamýn kalbimde yeri ayrý
21:9:7 | [CMD] CcCAtakan1907(8) => /myskin 179
21:9:7 | [CMD] HeRquL(9) => /a açmýyonuz burdaki yere iþyeri
21:9:9 | [CMD] Brokoli(14) => /work
21:9:9 | H.R.N.(26) Gemici olarak spawn oldu.
21:9:9 | [CMD] CcCAtakan1907(8) => /myskin 189
21:9:12 | [CMD] huseyin(7) => /goto 9 
21:9:12 | [CMD] CcCAtakan1907(8) => /myskin 199
21:9:12 | [CMD] Gezegen(19) => /araba
21:9:12 | [CMD] Brokoli(14) => /asiriyuk
21:9:14 | [CMD] Fublary3003(6) => /work
21:9:14 | [CMD] H.R.N.(26) => /sa
21:9:15 | BeylerBeyi(10): :D
21:9:17 | [CMD] CcCAtakan1907(8) => /as
21:9:17 | [CMD] BeylerBeyi(10) => /as
21:9:18 | [CMD] huseyin(7) => /as
21:9:18 | selimdemote(18): ay kýyamm benim için denize atlamýþ
21:9:19 | [CMD] Fublary3003(6) => /work
21:9:19 | [CMD] Jodor(15) => /pm 27 görrevde misin senle modifiye yapmaya gidelim. 
21:9:19 | [CMD] ubeydo(21) => /as
21:9:19 | [CMD] Gezegen(19) => /tamir
21:9:21 | [CMD] huseyin(7) => /isyeriolustur
21:9:22 | Hic(23): Aleyküm Selam
21:9:27 | [CMD] Fublary3003(6) => /goreviptal
21:9:27 | TIRCI(20): ahmet
21:9:28 | [CMD] eren1616(11) => /car turismo 93 93
21:9:28 | [CMD] Freezer3543(27) => /pm 15 Degilim reis
21:9:28 | [CMD] CcCAtakan1907(8) => /myskin 293
21:9:29 | [CMD] Fublary3003(6) => /work
21:9:29 | [CMD] huseyin(7) => /isyeriolustur
21:9:30 | [CMD] CcCAtakan1907(8) => /myskin 292
21:9:31 | ahmet55(22): ?
21:9:31 | [CMD] CcCAtakan1907(8) => /myskin 291
21:9:32 | [CMD] BULDOZER(06)(17) => /pm 27 la banane adamdan knkandan önemlise bitti
21:9:33 | [CMD] CcCAtakan1907(8) => /myskin 290
21:9:34 | [CMD] Fublary3003(6) => /goreviptal
21:9:37 | [CMD] BeylerBeyi(10) => /pm 19 helidemisin
21:9:37 | [SirketCHT] BULDOZER(06)(17): !vay be
21:9:38 | [CMD] eren1616(11) => /modifiye
21:9:38 | selimdemote(18): dur bi
21:9:40 | [CMD] H.R.N.(26) => /sac
21:9:40 | [CMD] CcCAtakan1907(8) => /myskin 69
21:9:40 | ahmet55(22): alýrým anaktarýný :D
21:9:40 | [CMD] Jodor(15) => /pm 27 lv yerine ýþýnlan mafya
21:9:41 | [CMD] HeRquL(9) => /spec hus
21:9:43 | [CMD] CcCAtakan1907(8) => /myskin 29
21:9:43 | [CMD] huseyin(7) => /isyerisil
21:9:43 | TIRCI(20): gel yarýsak
21:9:45 | [SirketCHT] BULDOZER(06)(17): ! frezzerde sattý
21:9:45 | [CMD] Gezegen(19) => /pm 10 yok 
21:9:45 | [SirketCHT] BeylerBeyi(10): ! noldu
21:9:45 | [CMD] huseyin(7) => /isyerisil
21:9:46 | [CMD] Jodor(15) => /meslek
21:9:47 | [CMD] Freezer3543(27) => /pm 17 Degil kanka
21:9:48 | selimdemote(18): dur bi
21:9:48 | [CMD] huseyin(7) => /isyeriolustur
21:9:49 | [SirketCHT] BeylerBeyi(10): ! aynen
21:9:52 | [CMD] .canskld.(25) => /convoy
21:9:52 | Jodor(15) Mafya olarak spawn oldu.
21:9:52 | [CMD] BeylerBeyi(10) => /araba
21:9:55 | [SirketCHT] H.R.N.(26): ! dabi dabi
21:9:55 | [CMD] huseyin(7) => /isyeriolustur
21:9:55 | [CMD] Brokoli(14) => /cevir
21:9:56 | [CMD] cCc.Bayram.cCC(12) => /tamir
21:9:57 | [CMD] .canskld.(25) => /meslek
21:9:57 | [CMD] H.R.N.(26) => /araba
21:9:59 | [SirketCHT] BeylerBeyi(10): ! kendi bileceði birþey boþver
21:9:59 | [CMD] Fublary3003(6) => /work
21:9:59 | [SirketCHT] BULDOZER(06)(17): ! insallah batar
21:10:0 | [CMD] .canskld.(25) => /meslek
21:10:2 | [CMD] .canskld.(25) => /meslek
21:10:2 | [CMD] huseyin(7) => /isyerisil
21:10:2 | [CMD] eren1616(11) => /atamir
21:10:3 | [OTOBUSCU] TheFireman, Los Santos Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 10574$ ve 2 Skor Sure: 1495 Saniye
21:10:3 | [CMD] Fublary3003(6) => /goreviptal
21:10:4 | [CMD] Fublary3003(6) => /work
21:10:5 | [CMD] TheFireman(16) => /work
21:10:5 | [CMD] Muya(13) => /tamir
21:10:7 | [CMD] HeRquL(9) => /specoff
21:10:7 | 
21:10:7 | .canskld.(25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
21:10:7 | ahmet55(22): say
21:10:8 | OkanMutlu(24) oyundan cIktI (Hata/Crash) (IP: 85.106.121.180)
21:10:9 | [LOCAL]BeylerBeyi(10): yeni þirket yeri arýyorum
21:10:9 | [CMD] BeylerBeyi(10) => /l yeni þirket yeri arýyorum
21:10:9 | [CMD] Fublary3003(6) => /goreviptal
21:10:9 | [CMD] eren1616(11) => /caroption
21:10:10 | [CMD] Fublary3003(6) => /work
21:10:11 | [CMD] Freezer3543(27) => /rescue
21:10:11 | selimdemote(18): muyada arkamýzda oynaþýyo napsýn yavrucak
21:10:11 | [SirketCHT] Jodor(15): ! mafya lv yeri
21:10:12 | Gezegen(19): muya gel
21:10:14 | [SirketCHT] huseyin(7): ! Dabi Dabi
21:10:16 | [CMD] Fublary3003(6) => /goreviptal
21:10:16 | [CMD] Jodor(15) => /myskin 292
21:10:17 | [CMD] Fublary3003(6) => /work
21:10:19 | [CMD] Jodor(15) => /araba
21:10:20 | [SirketCHT] BULDOZER(06)(17): !sirketleri batsýnda
21:10:20 | Hic(23): Polis cezaa
21:10:22 | [CMD] Fublary3003(6) => /goreviptal
21:10:23 | Brokoli(14): admin tplen
21:10:24 | [CMD] Fublary3003(6) => /work
21:10:25 | Brokoli(14): admin tplen
21:10:26 | [SirketCHT] BULDOZER(06)(17): ! bize muhtac kalsýnlar
21:10:27 | OkanMutlu(24) oyuna girdi [IP: 85.106.121.180]
21:10:27 | [CMD] Freezer3543(27) => /araba
21:10:28 | [CMD] Fublary3003(6) => /goreviptal
21:10:28 | [CMD] Muya(13) => /tamir
21:10:29 | [CMD] Fublary3003(6) => /Work
21:10:30 | [SirketCHT] BeylerBeyi(10): ! aman boþver ne oluyorsa olsun
21:10:30 | Hic(23): Eyw
21:10:31 | [CMD] Jodor(15) => /kemer
21:10:31 | [LOCAL]Freezer3543(27): :D
