0:0:2 | TunlordBeyWT(6): neyse biter þimdi
21:17:56 | ozantr12345(32) Mafya olarak spawn oldu.
21:17:57 | [CMD] Fublary3003(7) => /saat 1
21:17:58 | [CMD] ClipCamper20(6) => /stats
21:17:59 | [CMD] Fublary3003(7) => /hava 5
21:17:59 | [CMD] luplup67(17) => /rescue
21:18:0 | [CMD] SakarYALI.(28) => /c sa
21:18:0 | [CMD] Hic(12) => /musait
21:18:1 | VIPTRUCKS(22): konyalý ibrahimkk berkay ts3 den ses gelmiyomu ?
21:18:1 | aytunc213122(20): niçin mail adresi isteniyor
21:18:2 | [CMD] batu.123(16) => /convoy
21:18:5 | [CMD] Hic(12) => /afk
21:18:9 | [CMD] Strike(TR)(18) => /A hazirana kadar A6 olurmuyum
21:18:9 | [CMD] eduardo666(13) => /c as harbour gel
21:18:11 | [CMD] luplup67(17) => /rescue
21:18:11 | [CMD] Strike(TR)(18) => /A yada A7
21:18:13 | [eN]Overlord(34): hbesap güvenliði galiba.
21:18:15 | [CMD] testere151(26) => /a bilemem
21:18:20 | [CMD] SakarYALI.(28) => /c yanýndayým birader :)
21:18:23 | [CMD] H.R.N.(15) => /asay Ehliyet alarak mesleðinizde istediðiniz yerde görev yapabilirsiniz
21:18:23 | ibrahimkk(8): ortak
21:18:23 | Tek[I](35) oyuna girdi [IP: 92.86.37.95]
21:18:24 | VIPTRUCKS(22): þifreni unuttuðunda & çalýndýðýnda yollanmasý için
21:18:25 | [CMD] luplup67(17) => /rescue
21:18:26 | [CMD] irem_60(11) => /pmoff
21:18:26 | [CMD] Strike(TR)(18) => /a sancak gec veriyor ya 
21:18:26 | VarTolu(36) oyuna girdi [IP: 78.190.237.101]
21:18:27 | ibrahimkk(8): ben gelmiyom
21:18:28 | [CMD] ClipCamper20(6) => /meslek
21:18:30 | ibrahimkk(8): admin yardim
21:18:31 | Hic(12): Beyler bana ucuz bi mic önersenize
21:18:34 | [CMD] testere151(26) => /a olabilir
21:18:34 | [CMD] luplup67(17) => /araba
21:18:35 | {FFCC00}ClipCamper20(6) {FFFFFF}Kamyoncu olarak spawn oldu.
21:18:35 | [CMD] Hic(12) => /geldim
21:18:35 | [CMD] GSLIMERT(14) => /convoy
21:18:38 | ozantr12345(32): qnq
21:18:38 | [LOCAL]eduardo666(13): sa
21:18:38 | [CMD] eduardo666(13) => /l sa
21:18:40 | [CMD] GSLIMERT(14) => /meslek
21:18:41 | [eN]Overlord(34): @12 Razor al
21:18:42 | [CMD] ClipCamper20(6) => /stats
21:18:43 | {FFCC00}GSLIMERT(14) {FFFFFF}Kamyoncu olarak spawn oldu.
21:18:43 | alperentar(30): en iyi para hangi meslekte
21:18:45 | [LOCAL][cCc]HulkHulk[cCc](9): a.s
21:18:45 | [CMD] [cCc]HulkHulk[cCc](9) => /l a.s
21:18:45 | [CMD] Konyali42(10) => /work
21:18:46 | VarTolu(36) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:18:46 | Hic(12): Ucuz diyoz 
21:18:46 | VIPTRUCKS(22): ts3 de aktif olan varmý þimdi ?
21:18:47 | ibrahimkk(8): admin yardim dondum
21:18:47 | [CMD] GSLIMERT(14) => /convoy
21:18:48 | H.R.N.(15): pilot
21:18:48 | ozantr12345(32): philipsin kulaklýðý var benim kullandýðým
21:18:49 | [LOCAL]eduardo666(13): naislsiniz gelin yýkaru convoy açtim
21:18:49 | [CMD] eduardo666(13) => /l naislsiniz gelin yýkaru convoy açtim
21:18:49 | aliturkak(33): 12k
21:18:49 | [CMD] ibrahimkk(8) => /admins
21:18:52 | [CMD] GSLIMERT(14) => /c nerdesýnýz
21:18:52 | aliturkak(33): maþallah
21:18:54 | [CMD] eduardo666(13) => /modifiye
21:18:54 | {FFCC00}Tek[I](35) {FFFFFF}Kamyoncu olarak spawn oldu.
21:18:54 | [CMD] Fublary3003(7) => /work
21:18:55 | VIPTRUCKS(22): 17 tlye trust var bimde
21:18:55 | [CMD] H.R.N.(15) => /work
21:18:56 | Hic(12): Knk Mikrofon
21:18:57 | DarkFlow(25): :D
21:19:0 | [LOCAL][cCc]HulkHulk[cCc](9): eyw saolasýn bizim var
21:19:0 | [CMD] [cCc]HulkHulk[cCc](9) => /l eyw saolasýn bizim var
21:19:1 | Tek[I](35) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:19:2 | [CMD] SakarYALI.(28) => /c aga hadi
21:19:2 | [LOCAL]H.R.N.(15): konvoy yapakmý
21:19:2 | [CMD] H.R.N.(15) => /l konvoy yapakmý
21:19:3 | [CMD] Konyali42(10) => /asiriyuk
21:19:6 | [CMD] GSLIMERT(14) => /convoyayril
21:19:6 | ozantr12345(32): qnq philipsin kulaklýðý var benim kullandýðým70-80 lira ses kalitesi oldukça iyi ve mici iyi
21:19:9 | [CMD] GSLIMERT(14) => /rescue
21:19:10 | [CMD] H.R.N.(15) => /work
21:19:12 | [CMD] ClipCamper20(6) => /sirketdorse
21:19:14 | VIPTRUCKS(22): hic
21:19:15 | [CMD] testere151(26) => /dondur 8 1 .
21:19:15 | [CMD] Strike(TR)(18) => /Asay Vip-Donator-Sirket-Giþe Vb Ürünlerimizden Almak Ýsteyenler www.trucksamp.com Dan Alabilirler 
21:19:17 | [CMD] Strike(TR)(18) => /admins
21:19:19 | ozantr12345(32): micide var
21:19:20 | Hic(12): Knk Ucuz dedik 80 ucuzmu ?
21:19:21 | xUmutPvo(31): @13 Skypede Arkadaþýz peþinden gelmeme izin veriyor gidebilirmiyim peþinden
21:19:22 | {FFCC00}PENEZ(23) Otobus Soforu olarak spawn oldu.
21:19:22 | VIPTRUCKS(22): ts3den müzik dinlettiriyom gelmiyomu olm
21:19:24 | Hic(12): Efendim ?
21:19:24 | [CMD] testere151(26) => /dondur 8 1 .
21:19:25 | eduardo666(13): beyler harbour büyük convoy war
21:19:25 | [CMD] aytunc213122(20) => /work
21:19:25 | [CMD] [eN]Overlord(34) => /tamir
21:19:26 | [CMD] H.R.N.(15) => /asiriyuk
21:19:30 | eduardo666(13): evt gelebilrisn
21:19:30 | [CMD] ClipCamper20(6) => /work
21:19:30 | Hic(12): Olum senin sesin yok bende
21:19:32 | [CMD] GSLIMERT(14) => /convoy
21:19:32 | ozantr12345(32): vatanda 21 liraya mic var
21:19:33 | (BANKA) ReisErAyTR(19) 2180 nolu banka hesabina 328000$ yatirdi.
21:19:36 | eduardo666(13): beyler harbour büyük convoy war kpþþþ kapalý dorse al gel
21:19:37 | ahmet55(24): kulaklýkta mýc yokmu
21:19:40 | alperentar(30): beyler en iyi para hangi meslekte
21:19:40 | [cCc]HulkHulk[cCc](9): iyimi 
21:19:40 | [CMD] GSLIMERT(14) => /rescue
21:19:42 | ozantr12345(32): bende var
21:19:43 | Hic(12): Yok
21:19:45 | [CMD] ReisErAyTR(19) => /rescue
21:19:46 | ARDAPROYTBAss(35) oyuna girdi [IP: 176.88.32.181]
21:19:50 | [CMD] ReisErAyTR(19) => /meslek
21:19:51 | H.R.N.(15):  @30 pilot
21:19:51 | PENEZ(23): beyler mesela týrcý oldun otobüscü nasýl olacaz
21:19:52 | VIPTRUCKS(22): týrcý & pilot en iyi para
21:19:54 | [CMD] ibrahimkk(8) => /rescue
21:19:56 | [CMD] ibrahimkk(8) => /rescue
21:19:59 | VIPTRUCKS(22):  /meslek
21:19:59 | ClipCamper20(6): -/meslek
21:20:0 | [CMD] testere151(26) => /etk baslat Monsterdan Kaç 
21:20:1 | Hic(12): Kargoda eyü
21:20:2 | ReisErAyTR(19) Cöpcü olarak spawn oldu.
21:20:3 | [CMD] ibrahimkk(8) => /etkgit
21:20:3 | [CMD] Hic(12) => /etkgit
21:20:4 | [CMD] VIPTRUCKS(22) => /etkgit
21:20:5 | [CMD] PENEZ(23) => /meslek
21:20:5 | [CMD] ClipCamper20(6) => /goreviptal
21:20:5 | [CMD] aliturkak(33) => /meslek
21:20:6 | [CMD] bera_315(29) => /etkgit
21:20:6 | [CMD] [eN]Overlord(34) => /tamir
21:20:6 | [CMD] [UP]MUST@F@(21) => /etkgit
21:20:6 | [CMD] ahmet55(24) => /etkgit
21:20:6 | [CMD] Hic(12) => /asay Vip-donator-þirket vb. almak isteyenler forum ----> www.trucksamp.com/forum 
21:20:7 | [CMD] GSLIMERT(14) => /etkgit
21:20:8 | [CMD] ClipCamper20(6) => /etkgit
21:20:8 | ARDAPROYTBAss(35) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:20:8 | {FFCC00}aliturkak(33) {FFFFFF}Pilot olarak spawn oldu.
21:20:10 | [CMD] PENEZ(23) => /meslek
21:20:10 | [CMD] ozantr12345(32) => /tamir
21:20:11 | [CMD] aliturkak(33) => /etkgit
21:20:11 | [CMD] [cCc]HulkHulk[cCc](9) => /modifiye
21:20:12 | [CMD] luplup67(17) => /etkgit
21:20:12 | [eN]Overlord(34): admin bekle göreivm bitsin gelyim
21:20:12 | [CMD] aytunc213122(20) => /komutlar
21:20:17 | [CMD] Fublary3003(7) => /etkgit
21:20:17 | [CMD] Konyali42(10) => /goreviptal
21:20:18 | VIPTRUCKS(22): aynen 1250 skor olduðunda kargocu ol 50-100k para veriyor
21:20:18 | [CMD] ReisErAyTR(19) => /kemer
21:20:21 | [CMD] testere151(26) => /etk baslat Monsterdan Kaç 
21:20:21 | [CMD] Konyali42(10) => /etkgit
21:20:25 | [CMD] ReisErAyTR(19) => /etkgit
21:20:26 | luplup67(17): knk büyükkustad
21:20:26 | {FFCC00}PENEZ(23) {FFFFFF}Kamyoncu olarak spawn oldu.
21:20:28 | [OTOBUSCU] [eN]Overlord, Las Venturas Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 306 Saniye
21:20:31 | ozantr12345(32): f
21:20:32 | [CMD] H.R.N.(15) => /asay /etkgit
21:20:33 | [CMD] [eN]Overlord(34) => /etkgit
21:20:34 | [CMD] aytunc213122(20) => /manuelvites
21:20:34 | [CMD] ozantr12345(32) => /etkgit
21:20:35 | [CMD] ReisErAyTR(19) => /meslek
21:20:38 | [CMD] aytunc213122(20) => /manuelvites,
21:20:38 | bera_315(29): admin
21:20:39 | [CMD] ReisErAyTR(19) => /meslek
21:20:39 | luplup67(17): Büyükustadd
21:20:39 | [CMD] aytunc213122(20) => /manuelvites
21:20:41 | osas(35) oyuna girdi [IP: 176.88.32.181]
21:20:42 | [CMD] testere151(26) => /etk baslat Monsterdan Kaç 
21:20:43 | [CMD] SakarYALI.(28) => /tamir
21:20:43 | bera_315(29): bende alzaymýr var ona göre
21:20:44 | [CMD] Hic(12) => /asay Etkinlik baþlamýþtýr /etkgit
21:20:45 | [CMD] PENEZ(23) => /Kemer
21:20:47 | [CMD] eduardo666(13) => /c adm çaggýr 
21:20:48 | [CMD] Hic(12) => /asay Etkinlik baþlamýþtýr /etkgit
21:20:49 | luplup67(17): büyükustad kardeþim
21:20:49 | [CMD] [eN]Overlord(34) => /basarimlar
21:20:51 | bera_315(29): ne diyodum ben
21:20:52 | ibrahimkk(8):  /etkgit
21:20:53 | [KAMYONCU] alperentar, PasPas Rafinery'den Solarin Industries'e Ham Petrol tasidi. Kazanc: 6992$, 2 Skor ve 5 EXP Sure: 123 Saniye
21:20:55 | [CMD] PENEZ(23) => /modifiye
21:20:56 | osas(35) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:20:58 | [CMD] batu.123(16) => /modifiye
21:20:58 | ReisErAyTR(19): en çok score veren meslek ne
21:20:58 | [CMD] VIPTRUCKS(22) => /r hic rehber odasý gel
21:20:59 | eduardo666(13): beyler harbour büüyk convoy koþþþ týr+kapalý dorse
21:21:1 | H.R.N.(15): Etkinliði kazan ödülü kap > /etkgit
21:21:2 | VIPTRUCKS(22): kargocu
21:21:2 | [CMD] ahmet55(24) => /stats
21:21:3 | ozantr12345(32): cnm o alzeihmer
21:21:5 | ozantr12345(32): :D
21:21:5 | [CMD] DarkFlow(25) => /convoy
21:21:6 | VIPTRUCKS(22): kargocu - 10 skor
21:21:10 | bera_315(29): abi o ne
21:21:10 | Hic(12): Geldim knk
21:21:11 | [CMD] testere151(26) => /etk baslat Monsterdan Kaç 
21:21:13 | [CMD] irem_60(11) => /meslek
21:21:15 | [CMD] alperentar(30) => /etkgit
21:21:18 | ClipCamper20(6): illa ortaklamý yapýlýyor
21:21:20 | ClipCamper20(6): kargoculuk
21:21:22 | [CMD] VIPTRUCKS(22) => /asay Etkinliðe katýlmak için ----> /etkgit 
21:21:26 | [CMD] H.R.N.(15) => /asay /etkgit
21:21:26 | Hic(12): La çiþim durmadý
21:21:27 | VIPTRUCKS(22): hayýr kendinde yapabilirsin
21:21:27 | ozantr12345(32): yoo
21:21:27 | [KAMYONCU] DarkFlow, Longway Docks'den Harbour Island Warehouse'e Silah tasidi. Kazanc: 281352$, 1 Skor ve 5 EXP Sure: 518 Saniye
21:21:28 | [CMD] Hic(12) => /asay Etkinlik baþlamýþtýr /etkgit
21:21:29 | [CMD] DarkFlow(25) => /convoy
21:21:29 | [CMD] testere151(26) => /etk baslat Monsterdan Kaç SON!
21:21:31 | [ANTIHACK] Þüpheli irem_60(11) => Airbreak-hack
21:21:31 | [CMD] irem_60(11) => /kemer
21:21:31 | ClipCamper20(6): tamam tþk
21:21:34 | [CMD] irem_60(11) => /work
21:21:35 | [CMD] Hic(12) => /asay Etkinlik baþlamýþtýr /etkgit SON SON !
21:21:35 | alperentar(30): meslek nasýl deðiþtiriyoruz
21:21:37 | [CMD] DarkFlow(25) => /c Sa
21:21:37 | bera_315(29): irem 60 60mamýþ
21:21:38 | [CMD] aytunc213122(20) => /yardim
21:21:38 | VIPTRUCKS(22): hayýr kendinde yapabilirsin kendin yaparsan 5 skor ortaðýnla yaparsan 10 skor verir
21:21:38 | [CMD] eduardo666(13) => /c belyer ip gibi dizilin
21:21:41 | VIPTRUCKS(22):  /meslek
21:21:43 | [CMD] testere151(26) => /a dýþarda olaný ç.çeksene
21:21:44 | [CMD] irem_60(11) => /saat 14 
21:21:44 | ClipCamper20(6): oke
21:21:45 | bera_315(29): :D
21:21:46 | [CMD] alperentar(30) => /meslek
21:21:47 | [CMD] irem_60(11) => /hava 14 
21:21:51 | [CMD] PENEZ(23) => /MODÝFÝYE
21:21:57 | [CMD] testere151(26) => /etk dondur
21:21:57 | [CMD] Strike(TR)(18) => /get 17
21:21:58 | [CMD] PENEZ(23) => /modifiye
21:21:58 | Hic(12): knk mic yok :D
21:22:1 | bera_315(29): admin biþey sorcam
21:22:3 | VIPTRUCKS(22): geliyo dimi ses
21:22:4 | [CMD] aytunc213122(20) => /komutlar
21:22:4 | Hic(12): Ses konuþ ben dinliyom seni
21:22:5 | [CMD] aliturkak(33) => /saril
21:22:5 | alperentar(30) Yol Iscisi olarak spawn oldu.
21:22:5 | [CMD] testere151(26) => /etk dondur
21:22:7 | Hic(12): Geliyo
21:22:7 | [CMD] aliturkak(33) => /sarýl
21:22:11 | [CMD] Strike(TR)(18) => /get 7
21:22:11 | VIPTRUCKS(22): sen beni duy yeter
21:22:12 | [CMD] eduardo666(13) => /convoyat 14
21:22:13 | [LOCAL][eN]Overlord(34): hade
21:22:13 | [CMD] [eN]Overlord(34) => /l hade
21:22:14 | [CMD] aytunc213122(20) => /otomatikvites
21:22:14 | bera_315(29): bu ne zman baþlýcak
21:22:14 | Hic(12): :D
21:22:17 | [CMD] Strike(TR)(18) => /etk dondur
21:22:17 | [CMD] alperentar(30) => /kemer
21:22:18 | [LOCAL]ozantr12345(32): lo
21:22:18 | [CMD] ozantr12345(32) => /l lo
21:22:19 | [CMD] Strike(TR)(18) => /etk dondur
21:22:20 | ibrahimkk(8): simdi
21:22:21 | [CMD] alperentar(30) => /work
21:22:22 | [CMD] testere151(26) => /etk can 0.5
21:22:23 | [LOCAL]DarkFlow(25): konvoy beklemek yasak
21:22:23 | [CMD] DarkFlow(25) => /l konvoy beklemek yasak
21:22:23 | Hic(12): Ne diyon lo ?
21:22:26 | eduardo666(13): efm
21:22:26 | [CMD] testere151(26) => /etk can 1
21:22:27 | [CMD] xUmutPvo(31) => /convoyayril
21:22:28 | GSLIMERT(14): nýye attýn
21:22:28 | ASLANBEY(35) oyuna girdi [IP: 176.232.229.205]
21:22:29 | bera_315(29): hadi la altýma yapacam
21:22:29 | Hic(12): Anlamadým
21:22:30 | [CMD] SakarYALI.(28) => /tamir
21:22:30 | [CMD] xUmutPvo(31) => /convoy
21:22:32 | VIPTRUCKS(22): etk geldinmi diyom :D
21:22:33 | [CMD] testere151(26) => /etk can 1
21:22:35 | [CMD] ReisErAyTR(19) => /work
21:22:35 | eduardo666(13): gelmiyon afksin
21:22:35 | VIPTRUCKS(22): cýzýrtýlýmý geliyor
21:22:36 | [CMD] SakarYALI.(28) => /c aga al görev artýk hadi da
21:22:37 | Hic(12): Geldim knk
21:22:38 | [CMD] Strike(TR)(18) => /Etk can t/Asay Vip-Donator-Sirket-Giþe Vb Ürünlerimizden Almak Ýsteyenler www.trucksamp.com Dan Alabilirler 
21:22:40 | [CMD] testere151(26) => /etk can 1
21:22:40 | 
21:22:41 | Hic(12): Yok yok
21:22:42 | [CMD] GSLIMERT(14) => /pm 13 afk deýlým
21:22:42 | {FFCC00}ASLANBEY(35) {FFFFFF}Kamyoncu olarak spawn oldu.
21:22:44 | [CMD] Strike(TR)(18) => /god
21:22:45 | [CMD] testere151(26) => /etk coz
21:22:46 | [CMD] GSLIMERT(14) => /pm 13 etk yým
21:22:48 | [CMD] VIPTRUCKS(22) => /asay Yeni gelen oyuncularýmýz /kurallar kabul ederek 30.000$ ve 5 skor kazanabilirler. 
21:22:50 | Hic(12): Kesik geldi
21:22:51 | [CMD] Strike(TR)(18) => /fly
21:22:52 | [CMD] DarkFlow(25) => /convoy
21:22:53 | [CMD] testere151(26) => /etk coz
21:22:54 | eduardo666(13): beyler büüyk convoy -/rescue harbour secin týr+kapalý dorse alin
21:22:54 | [CMD] bera_315(29) => /work
21:22:55 | ozantr12345(32): t,ü
21:22:57 | eduardo666(13): beyler büüyk convoy -/rescue harbour secin týr+kapalý dorse alin
21:22:58 | [CMD] testere151(26) => /etk coz
21:23:0 | [CMD] aytunc213122(20) => /kurallar
21:23:0 | [CMD] DarkFlow(25) => /c baþlat gelen yok
21:23:0 | Hic(12): Kadir çözcenmi ?
21:23:4 | [CMD] SakarYALI.(28) => /c ya kardesým 3 kýsý yeter haydi
21:23:6 | [CMD] ReisErAyTR(19) => /convoy
21:23:6 | [CMD] Strike(TR)(18) => /etk coz
21:23:10 | [CMD] Strike(TR)(18) => /fly
21:23:11 | testere151(26): yumruk atmak yasak!!
21:23:11 | testere151(26): yumruk atmak yasak!!
21:23:13 | Hic(12): ben 1.shobet odasýndayým qnq
21:23:17 | [CMD] H.R.N.(15) => /asay Merak ettikleriniz /sorusor ile sorabilirsiniz
21:23:17 | VIPTRUCKS(22): oq
21:23:20 | [CMD] eduardo666(13) => /c 21:25 baþlar
21:23:20 | [CMD] DarkFlow(25) => /c etk çogu
21:23:20 | Fublary3003(7): sa :D
21:23:22 | aliturkak(33): @9 yumrukluyo
21:23:24 | [CMD] batu.123(16) => /modifiye
21:23:24 | [CMD] eduardo666(13) => /c arkama dizilin
21:23:25 | [CMD] eduardo666(13) => /c arkama dizilin
21:23:25 | [CMD] testere151(26) => /jail 8 1 bug
21:23:25 | [CMD] aytunc213122(20) => /komutlar
21:23:26 | [LOCAL]GSLIMERT(14): as
21:23:26 | [CMD] GSLIMERT(14) => /l as
21:23:26 | Hic(12): Aleyküm Selam Hoþgeldiniz,Ýyi Oyunlar... 
21:23:27 | [CMD] VIPTRUCKS(22) => /as
21:23:28 | 
21:23:28 | Hic(12):  /sa /as
21:23:31 | [CMD] ReisErAyTR(19) => /as
21:23:31 | [CMD] testere151(26) => /fly
21:23:32 | [CMD] aytunc213122(20) => /rescue
21:23:34 | [CMD] aytunc213122(20) => /rescue
21:23:36 | [CMD] testere151(26) => /get 8
21:23:38 | [CMD] aytunc213122(20) => /goreviptal
21:23:40 | [CMD] aytunc213122(20) => /rescue
21:23:42 | [CMD] eduardo666(13) => /sa
21:23:42 | [CMD] bera_315(29) => /sa
21:23:42 | [CMD] DarkFlow(25) => /c etk adamlar kimi bekliyon
21:23:44 | [CMD] PENEZ(23) => /WORK
21:23:44 | [CMD] SakarYALI.(28) => /c 2 dakýka var .
21:23:44 | [CMD] aytunc213122(20) => /rescue
21:23:44 | [CMD] ibrahimkk(8) => /as
21:23:45 | [CMD] bera_315(29) => /mal
21:23:47 | [CMD] PENEZ(23) => /worf
21:23:49 | [eN]Overlord(34): sal monsteri
21:23:53 | [eN]Overlord(34): hayda
21:23:54 | [CMD] eduardo666(13) => /c bekleyek 2 dk 2 dk dýr
21:23:54 | [CMD] PENEZ(23) => /work
21:23:55 | [CMD] SakarYALI.(28) => /c kaldý 1
21:23:57 | [CMD] testere151(26) => /duyuru 3
21:23:57 | [eN]Overlord(34): .d
21:23:58 | VIPTRUCKS(22): daha monsterler aþaðý inmedi heyecanlanmayýn
21:23:58 | [CMD] testere151(26) => /duyuru 2
21:23:59 | [CMD] testere151(26) => /duyuru 1
21:24:1 | [CMD] aytunc213122(20) => /work
21:24:1 | [CMD] ASLANBEY(35) => /etkgit
21:24:1 | [CMD] SakarYALI.(28) => /modifiye
21:24:2 | [CMD] testere151(26) => /duyuru basla
21:24:2 | VIPTRUCKS(22): hemen ts3 gel hic
21:24:4 | Hic(12): Baþladý go go go
21:24:9 | [CMD] eduardo666(13) => /c arkama dizilkin
21:24:10 | [CMD] eduardo666(13) => /c arkama dizilkin
21:24:10 | [CMD] eduardo666(13) => /c arkama dizilkin
21:24:11 | [CMD] eduardo666(13) => /c arkama dizilkin
21:24:12 | [CMD] xUmutPvo(31) => /kemer
21:24:15 | testere151 GSLIMERT'i öldürdü. Oldurme Sekli: 49
21:24:17 | [CMD] xUmutPvo(31) => /kemer
21:24:19 | {FFCC00}GSLIMERT(14) {FFFFFF}Kamyoncu olarak spawn oldu.
21:24:21 | [CMD] SakarYALI.(28) => /c görev al 
21:24:23 | testere151 VIPTRUCKS'i öldürdü. Oldurme Sekli: 49
21:24:23 | [CMD] SakarYALI.(28) => /c görev al
21:24:23 | [CMD] GSLIMERT(14) => /convoy
21:24:23 | [CMD] PENEZ(23) => /work
21:24:23 | Hic(12): knk 1 sohbetteyim
21:24:24 | [CMD] aytunc213122(20) => /goreviptal
21:24:25 | [CMD] eduardo666(13) => /work
21:24:26 | [CMD] SakarYALI.(28) => /c görev al
21:24:26 | [CMD] aytunc213122(20) => /work
21:24:27 | VIPTRUCKS(22): ya öldüm :D
21:24:28 | VIPTRUCKS(22) Bankaci olarak spawn oldu.
21:24:29 | [CMD] GSLIMERT(14) => /rescue
21:24:29 | Strike(TR) [eN]Overlord'i öldürdü. Oldurme Sekli: 49
21:24:32 | testere151 Fublary3003'i öldürdü. Oldurme Sekli: 49
21:24:32 | VIPTRUCKS(22): 1 etk de bile kazanamadým
21:24:33 | [CMD] SakarYALI.(28) => /kemer
21:24:33 | sabbah(37) oyuna girdi [IP: 85.109.75.196]
21:24:35 | {FFCC00}[eN]Overlord(34) Otobus Soforu olarak spawn oldu.
21:24:36 | [eN]Overlord(34): lag oldu
21:24:37 | Fublary3003(7) Balikci olarak spawn oldu.
21:24:39 | [CMD] [eN]Overlord(34) => /rescue
21:24:42 | [CMD] GSLIMERT(14) => /c nerdesýnýz
21:24:45 | VIPTRUCKS(22): hic adýn neydi knka unuttum
21:24:47 | [CMD] eduardo666(13) => /c harbour
21:24:49 | Hic(12): aVNÝ
21:24:49 | [CMD] DarkFlow(25) => /c harbour
21:24:49 | [CMD] VIPTRUCKS(22) => /work
21:24:51 | [CMD] GSLIMERT(14) => /c bende ordayým
21:24:53 | {FFCC00}sabbah(37) {FFFFFF}Kamyoncu olarak spawn oldu.
21:24:54 | VIPTRUCKS(22): :D
21:24:54 | [CMD] eduardo666(13) => /c kopruyu geç
21:24:55 | testere151 ozantr12345'i öldürdü. Oldurme Sekli: 49
21:24:55 | [CMD] GSLIMERT(14) => /c dock mu
21:24:57 | testere151 luplup67'i öldürdü. Oldurme Sekli: 49
21:24:57 | ozantr12345(32): oh
21:24:58 | [CMD] DarkFlow(25) => /c yukarý çýk
21:25:1 | luplup67(17) Gemici olarak spawn oldu.
21:25:3 | [CMD] DarkFlow(25) => /c harbour
21:25:3 | [CMD] SakarYALI.(28) => /tamir
21:25:4 | bera_315(29): çay kahve
21:25:8 | Strike(TR) Hic'i öldürdü. Oldurme Sekli: 49
21:25:10 | [CMD] eduardo666(13) => /c bekeylein ip gibi gidek
21:25:12 | [CMD] DarkFlow(25) => /asiriyuk
21:25:12 | 
21:25:15 | [CMD] luplup67(17) => /rescue
21:25:17 | eduardo666(13): -/c modifiyeden siyah yapýn
21:25:18 | [eN]Overlord(34): bana bi latte
21:25:18 | [CMD] GSLIMERT(14) => /kemer
21:25:21 | METEHAN(36) oyuna girdi [IP: 78.167.30.224]
21:25:23 | Strike(TR) ahmet55'i öldürdü. Oldurme Sekli: 49
21:25:23 | [CMD] eduardo666(13) => /c modifiyeden siyah yapýn
21:25:23 | [CMD] aytunc213122(20) => /c
21:25:23 | Hic(12): Resmen arabaya kafa attým
21:25:27 | Strike(TR) Konyali42'i öldürdü. Oldurme Sekli: 49
21:25:28 | {FFCC00}ahmet55(24) {FFFFFF}Dolmuþ Soforu olarak spawn oldu.
21:25:28 | [CMD] VIPTRUCKS(22) => /cevir
21:25:28 | [CMD] [eN]Overlord(34) => /work
21:25:30 | VIPTRUCKS(22): öldünmü
21:25:31 | {FFCC00}Konyali42(10) {FFFFFF}Kamyoncu olarak spawn oldu.
21:25:33 | [CMD] Hic(12) => /goto 22
21:25:36 | [CMD] [eN]Overlord(34) => /kemer
21:25:39 | Hic(12): Öldüm knk
21:25:40 | [CMD] Konyali42(10) => /rescue
21:25:41 | [CMD] eduardo666(13) => /c /3tiryazi Bozok geldi 
21:25:42 | [CMD] eduardo666(13) => /c /3tiryazi Bozok geldi 
21:25:44 | sabbah(37): t,
21:25:45 | [CMD] ahmet55(24) => /rescue
21:25:46 | eduardo666(13): tiryazi Bozok geldi 
21:25:46 | [CMD] Konyali42(10) => /karakol
21:25:48 | Hic(12): Ama bu ilk ölüþüm deðil.....
21:25:49 | [CMD] eduardo666(13) => /tiryazi Bozok geldi 
21:25:49 | METEHAN(36) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
21:25:50 | VIPTRUCKS(22): art nakliyat ne ya :D
21:25:50 | bay.potiy(36) oyuna girdi [IP: 37.130.113.106]
21:25:54 | Strike(TR) [UP]MUST@F@'i öldürdü. Oldurme Sekli: 49
21:25:58 | Hic(12): Sanat Nakliyat.
21:25:58 | {FFCC00}[UP]MUST@F@(21) {FFFFFF}Kamyoncu olarak spawn oldu.
21:26:1 | Strike(TR) ibrahimkk'i öldürdü. Oldurme Sekli: 49
21:26:4 | bera_315(29): focuslanma
21:26:4 | [CMD] Strike(TR)(18) => /atamir
21:26:5 | 
21:26:7 | ibrahimkk(8): yaw
21:26:8 | 
21:26:9 | [eN]Overlord(34): dingiliz
21:26:11 | {FFCC00}bay.potiy(36) {FFFFFF}Kamyoncu olarak spawn oldu.
21:26:12 | [CMD] GSLIMERT(14) => /c nbekleyýn bený 
21:26:13 | [CMD] GSLIMERT(14) => /c nbekleyýn bený 
21:26:15 | [CMD] ahmet55(24) => /modifiue
21:26:17 | Hic(12): Ben Straykýn monsterine kafa attým
21:26:19 | [CMD] SakarYALI.(28) => /tiryazi SakarYALI
21:26:21 | [CMD] [eN]Overlord(34) => /tamir
21:26:21 | testere151 aliturkak'i öldürdü. Oldurme Sekli: 49
