0:0:16 | [CMD] TIRCI(16) => /araba
20:0:30 | [CMD] Jodor(15) => /vtamir
20:0:33 | [CMD] Jodor(15) => /vbenzin
20:0:37 | [CMD] Hic(17) => /work
20:0:39 | aliturkak(6): convoy sayesinde 5k olrum la
20:0:39 | [CMD] hotlig(22) => /modifye
20:0:39 | buyukustadbitti(13): ali bnada kes meslek deiþtiremiom
20:0:40 | [CMD] Sparta298(8) => /spec 17
20:0:41 | Hic(17): geldimi _
20:0:43 | aliturkak(6): nerdesn
20:0:44 | [CMD] hotlig(22) => /modifiye
20:0:45 | [CMD] Hic(17) => /goreviptal
20:0:46 | testere151(10): no :/
20:0:47 | [CMD] Konyali42(7) => /tamir
20:0:47 | [CMD] Hic(17) => /work
20:0:51 | {FFCC00}buyukustadbitti(13) Otobus Soforu olarak spawn oldu.
20:0:56 | [CMD] Sparta298(8) => /spec 12
20:0:58 | buyukustadbitti(13): sf
20:1:2 | aliturkak(6): otogar da mý
20:1:5 | [CMD] aliturkak(6) => /rescue
20:1:5 | thelastsamurai(9) oyuna girdi [IP: 88.230.128.104]
20:1:10 | [CMD] Jodor(15) => /c sað salim gidersek iyi para yaparýz
20:1:10 | aliturkak(6): relog atayým gelicem kardeþim
20:1:11 | aliturkak(6) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:1:15 | 
20:1:18 | CUKUR(6) oyuna girdi [IP: 149.140.252.34]
20:1:27 | [CMD] Sparta298(8) => /spec 7
20:1:27 | thelastsamurai(9) Mafya olarak spawn oldu.
20:1:27 | [CMD] DarkFlow(11) => /isyerimenu
20:1:27 | [CMD] Konyali42(7) => /c aynen
20:1:31 | buyukustadbitti(13): aynn
20:1:34 | Hic(17): @13 senin bitmemiþ olanýn nerde ?
20:1:35 | [CMD] thelastsamurai(9) => /sa
20:1:35 | aliturkak(14) oyuna girdi [IP: 176.43.145.201]
20:1:36 | {FFCC00}CUKUR(6) {FFFFFF}Kamyoncu olarak spawn oldu.
20:1:37 | [CMD] BoykoXD(0) => /as
20:1:38 | [CMD] Hic(17) => /as
20:1:40 | [CMD] Sparta298(8) => /spec 6
20:1:40 | [CMD] ibrahimkk(12) => /as
20:1:41 | 
20:1:42 | Sparta298(8): Aleyküm Selam.
20:1:42 | CUKUR(6): sa
20:1:43 | [LOCAL]Younapo.(21): KRALSIN
20:1:43 | [CMD] Younapo.(21) => /L KRALSIN
20:1:44 | {FFCC00}aliturkak(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
20:1:45 | [CMD] Emirbaba3373(16) => /as
20:1:45 | [CMD] Hic(17) => /as
20:1:46 | [CMD] aliturkak(14) => /sa
20:1:49 | [CMD] thelastsamurai(9) => /as
20:1:50 | [CMD] Hic(17) => /as
20:1:50 | [CMD] ibrahimkk(12) => /as
20:1:50 | [CMD] CUKUR(6) => /work
20:1:51 | [CMD] aliturkak(14) => /rescue
20:1:52 | [CMD] DarkFlow(11) => /as
20:1:54 | [CMD] hotlig(22) => /rescue
20:1:54 | [CMD] Jodor(15) => /akilitle 
20:1:55 | Hic(17):  /as yaðmuru .d
20:1:56 | [SirketCHT] Konyali42(7): ! apo benden yasiyon :d
20:1:58 | BoykoXD(0): @9 Hoþgeldiniz
20:2:1 | [SirketCHT] Younapo.(21): ! D:
20:2:6 | Jodor(15): dark harboura gel convoy var
20:2:10 | [CMD] hotlig(22) => /modifiye
20:2:23 | DarkFlow(11): týrmý
20:2:23 | [CMD] CUKUR(6) => /engine
20:2:27 | Jodor(15): evet
20:2:29 | [CMD] CUKUR(6) => /motor
20:2:31 | [CMD] CUKUR(6) => /motor
20:2:33 | Konyali42(7): ucak :d
20:2:33 | [CMD] Sparta298(8) => /a @6 yý izliyom
20:2:34 | Jodor(15): paralý convoy :)
20:2:35 | [CMD] hotlig(22) => /tamir
20:2:36 | [CMD] CUKUR(6) => /modifiye
20:2:39 | [CMD] BoykoXD(0) => /a neden
20:2:39 | [CMD] testere151(10) => /a tm
20:2:40 | Hic(17): yok tren konvoyu QW:Eq:Qw:eq
20:2:41 | DarkFlow(11): 1 el atak bakalým
20:2:42 | [CMD] BoykoXD(0) => /spec 6
20:2:43 | [CMD] Younapo.(21) => /stamir
20:2:44 | [CMD] DarkFlow(11) => /meslek
20:2:44 | [CMD] Sparta298(8) => /a Belki biþey vardýr
20:2:46 | [CMD] testere151(10) => /a hile kontrol :QWe
20:2:47 | {FFCC00}DarkFlow(11) {FFFFFF}Kamyoncu olarak spawn oldu.
20:2:51 | [CMD] DarkFlow(11) => /rescue
20:2:53 | [CMD] hotlig(22) => /tamir
20:2:55 | Jodor(15): konyalý arkadaþla exp convoyu da yapýyoruz 
20:2:56 | [CMD] BoykoXD(0) => /a lag var heralde
20:2:56 | [CMD] DarkFlow(11) => /convoy
20:2:59 | Emirbaba3373(16): dorse kayboldu a....
20:3:0 | [CMD] BoykoXD(0) => /specoff
20:3:0 | {FFCC00}BoykoXD(0) {FFFFFF}Kamyoncu olarak spawn oldu.
20:3:0 | [CMD] Sparta298(8) => /a hem o hemde hata
20:3:2 | Jodor(15): ne demek istediðini ben anladým
20:3:3 | Younapo.(21): aldýn mý
20:3:4 | Jodor(15): :)
20:3:4 | [CMD] aliturkak(14) => /rescue
20:3:8 | Konyali42(7): ula ap
20:3:9 | Younapo.(21): taktýn ý konyalý
20:3:10 | Konyali42(7): apo
20:3:12 | Younapo.(21): bekle
20:3:13 | [CMD] thelastsamurai(9) => /kemer
20:3:13 | Konyali42(7): itekle :d
20:3:15 | [CMD] BoykoXD(0) => /kemer
20:3:17 | [CMD] Sparta298(8) => /modifiye
20:3:19 | [CMD] CUKUR(6) => /work
20:3:20 | [CMD] Emirbaba3373(16) => /rescue
20:3:21 | [CMD] buyukustadbitti(13) => /meslek
20:3:22 | [CMD] BoykoXD(0) => /atamir
20:3:24 | [CMD] BoykoXD(0) => /fuel
20:3:24 | {FFCC00}buyukustadbitti(13) {FFFFFF}Kamyoncu olarak spawn oldu.
20:3:26 | [CMD] DarkFlow(11) => /kemer
20:3:27 | [CMD] aliturkak(14) => /cevir
20:3:27 | [CMD] Hic(17) => /tamir
20:3:28 | [CMD] hotlig(22) => /tamir
20:3:28 | [CMD] buyukustadbitti(13) => /convoy
20:3:28 | [CMD] DarkFlow(11) => /motor
20:3:30 | [CMD] Hic(17) => /work
20:3:34 | [CMD] CUKUR(6) => /work
20:3:37 | [LOCAL]Hic(17): geldimi ?
20:3:37 | [CMD] Hic(17) => /l geldimi ?
20:3:38 | [CMD] Emirbaba3373(16) => /goreviptal
20:3:42 | [LOCAL]testere151(10): ayn
20:3:42 | [CMD] testere151(10) => /l ayn
20:3:44 | [CMD] hotlig(22) => /tamir
20:3:45 | [CMD] Emirbaba3373(16) => /rescue
20:3:47 | [CMD] Sparta298(8) => /a Adamda biþey oyk
20:3:48 | Konyali42(7): eyv
20:3:54 | [CMD] Sparta298(8) => /spec 7
20:3:54 | [CMD] buyukustadbitti(13) => /convoy
20:3:56 | Younapo.(21): önemli deðil zaten benim yüzümden oldu :D
20:3:56 | [CMD] thelastsamurai(9) => /modifiye
20:3:59 | Konyali42(7): :D
20:4:0 | [CMD] testere151(10) => /a tmm 
20:4:5 | Emirbaba3373(16): boyko
20:4:7 | [CMD] ASLANBEY(20) => /basarimlar
20:4:7 | Emirbaba3373(16): al beni
20:4:9 | buyukustadbitti(13): jodor nezaman açýlýr konvoy
20:4:9 | BoykoXD(0): Evet
20:4:16 | Jodor(15): birazdan
20:4:32 | aliturkak(14): sayenizde bugün 5k olurum
20:4:33 | [CMD] Sparta298(8) => /admins
20:4:39 | ASLANBEY(20): konvoy katýlacaklar harboura gelsin 5 dk sonra jodorun konvoyu açýlacaktýr
20:4:58 | BeyazKedi(18) oyuna girdi [IP: 95.10.184.226]
20:4:58 | [CMD] Sparta298(8) => /admins
20:4:58 | buyukustadbitti(13): 1 yýldýz aranan suçlu kaç skor
20:5:2 | [CMD] Jodor(15) => /vtamir
20:5:6 | Emirbaba3373(16): saða çeksene 2 dk sen inme
20:5:11 | [CMD] BoykoXD(0) => /a bnde bi kalem var iðne gibi kalem .d
20:5:11 | buyukustadbitti(13): 5 yýldýz
20:5:14 | {FFCC00}BeyazKedi(18) Otobus Soforu olarak spawn oldu.
20:5:14 | aliturkak(14): 1 skor 1k :D
20:5:17 | Emirbaba3373(16): saða çeksene 2 dk sen inme
20:5:17 | [CMD] Sparta298(8) => /a Afk komutu nasýl oluyor
20:5:18 | ASLANBEY(20): konvoy katýlacaklar harboura gelsin 5 dk sonra jodorun konvoyu açýlacaktýr
20:5:20 | [CMD] Hic(17) => /djler
20:5:22 | [CMD] BoykoXD(0) => /a /afk
20:5:25 | [CMD] Sparta298(8) => /a yok ya
20:5:25 | [CMD] hotlig(22) => /tamir
20:5:28 | [CMD] Sparta298(8) => /a admins de
20:5:31 | [CMD] DarkFlow(11) => /modifiye
20:5:31 | [CMD] CUKUR(6) => /isteksarki Gazapizm heyecaný yok
20:5:35 | [CMD] Sparta298(8) => /specoff
20:5:35 | {FFCC00}Sparta298(8) {FFFFFF}Kamyoncu olarak spawn oldu.
20:5:37 | [CMD] buyukustadbitti(13) => /convoy
20:5:38 | [CMD] Hic(17) => /djler
20:5:38 | [CMD] Emirbaba3373(16) => /bira
20:5:40 | [CMD] BeyazKedi(18) => /kemer
20:5:42 | [CMD] BeyazKedi(18) => /motor
20:5:47 | [CMD] Sparta298(8) => /kar
20:5:48 | [CMD] BoykoXD(0) => /admins
20:5:49 | buyukustadbitti(13): jodor nereye gidionuz
20:5:50 | [CMD] Emirbaba3373(16) => /ellerhavaya
20:5:51 | [CMD] CUKUR(6) => /isteksarki 5
20:5:56 | [CMD] Emirbaba3373(16) => /animkapat
20:5:57 | [CMD] Sparta298(8) => /kar
20:5:59 | [CMD] Emirbaba3373(16) => /rescue
20:5:59 | [CMD] CUKUR(6) => /isteksarki 5
20:6:0 | [CMD] CUKUR(6) => /isteksarki 5
20:6:0 | Jodor(15): nereye gitmemi istiyorsun
20:6:2 | [CMD] CUKUR(6) => /isteksarki 5
20:6:6 | BeyazKedi(18): admin
20:6:6 | [CMD] buyukustadbitti(13) => /rescue
20:6:10 | Jodor(15): klasik týr convoyu
20:6:10 | [CMD] CUKUR(6) => /sav
20:6:10 | [CMD] Hic(17) => /sac
20:6:11 | [CMD] CUKUR(6) => /sac
20:6:16 | [CMD] Sparta298(8) => /uyar 6 Ýstek flood 
20:6:19 | BeyazKedi(18): vip verir misiniz
20:6:20 | Jodor(15): harbour-longway
20:6:21 | [CMD] CUKUR(6) => /isteksarki 5
20:6:21 | [CMD] CUKUR(6) => /isteksarki 5
20:6:22 | [CMD] CUKUR(6) => /isteksarki 5
20:6:23 | [CMD] CUKUR(6) => /isteksarki 5
20:6:23 | [CMD] CUKUR(6) => /isteksarki 5
20:6:23 | [CMD] CUKUR(6) => /isteksarki 5
20:6:24 | [CMD] CUKUR(6) => /isteksarki 5t
20:6:25 | xUmutPvo(19) oyuna girdi [IP: 78.162.11.255]
20:6:30 | [CMD] Sparta298(8) => /uyar 6 Ýstek flood
20:6:30 | aliturkak(14): çabk görev alýn da
20:6:31 | [CMD] Emirbaba3373(16) => /kemer
20:6:36 | 
20:6:37 | [pG]aLcAtRaZ(23) oyuna girdi [IP: 2.186.131.120]
20:6:39 | aliturkak(14): börü var :D
20:6:39 | [CMD] CUKUR(6) => /kemer
20:6:40 | [CMD] Hic(17) => /work
20:6:45 | Denmix_Petrov(24) oyuna girdi [IP: 212.3.194.250]
20:6:46 | [CMD] Emirbaba3373(16) => /31
20:6:46 | [CMD] buyukustadbitti(13) => /convoy
20:6:47 | Younapo.(21): Eski harbouru özledim :D
20:6:48 | [CMD] Sparta298(8) => /rescue
20:6:48 | 
20:6:54 | BeyazKedi(18) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:6:54 | MAXIM_POPOV(18) oyuna girdi [IP: 178.19.255.24]
20:7:0 | [SirketCHT] Konyali42(7): ! telefon tam calacak zamani buldu :D
20:7:5 | [CMD] Konyali42(7) => /tamir
20:7:5 | [CMD] buyukustadbitti(13) => /convoy
20:7:8 | [CMD] Emirbaba3373(16) => /telefonac
20:7:10 | [SirketCHT] Konyali42(7): ! beyler
20:7:13 | testere151(10): :D
20:7:17 | [CMD] Emirbaba3373(16) => /telefonkapat
20:7:18 | [SirketCHT] Konyali42(7): ! 500k filan yazalim chate :D
20:7:18 | [CMD] ASLANBEY(20) => /c kim kaldý
20:7:19 | Jodor(15): eski harbourda tepe yoktu galiba
20:7:22 | [CMD] Sparta298(8) => /kemer
20:7:22 | [CMD] buyukustadbitti(13) => /convoy
20:7:23 | [CMD] DarkFlow(11) => /convoy
20:7:24 | Younapo.(21): dümdüz
20:7:25 | [CMD] Konyali42(7) => /convoykontrol
20:7:25 | Younapo.(21): yoldu
20:7:26 | Jodor(15): dümdüzdü
20:7:27 | 
20:7:28 | [CMD] Konyali42(7) => /convoykontrol
20:7:29 | ibrahimkk(12): ayn
20:7:33 | [CMD] Konyali42(7) => /convoykontrol
20:7:33 | ibrahimkk(12): eski docks guzeldi
20:7:34 | 
20:7:37 | [CMD] ASLANBEY(20) => /c kim kaldý
20:7:38 | BoykoXD(0): @6 Lütfen flood yapmayalým
20:7:41 | Younapo.(21): ondan önce diver longway yapýyorduk :D
20:7:41 | [CMD] ibrahimkk(12) => /cuyeler
20:7:45 | [CMD] ibrahimkk(12) => /c kim kaldi
20:7:45 | CUKUR(6): tan
20:7:45 | MAXIM_POPOV(18) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:7:46 | [CMD] Jodor(15) => /c emirbaba
20:7:47 | Younapo.(21): harbour yoktu :D
20:7:48 | eduardo666(18) oyuna girdi [IP: 95.10.179.28]
20:7:51 | [CMD] Jodor(15) => /c 1m
20:7:54 | [CMD] Sparta298(8) => /atamir
20:7:55 | [CMD] BoykoXD(0) => /tamir
20:7:55 | Emirbaba3373(16): benim gorev iptal oldu beyler
20:7:58 | [CMD] ibrahimkk(12) => /tarmir
20:7:58 | aliturkak(14): diver longway iyi mi veriyo la
20:8:1 | [CMD] ibrahimkk(12) => /tamir
20:8:1 | 
20:8:4 | [CMD] [pG]aLcAtRaZ(23) => /kemer
20:8:5 | Younapo.(21): nerdeyse ayný mesafe
20:8:6 | {FFCC00}eduardo666(18) {FFFFFF}Kamyoncu olarak spawn oldu.
20:8:6 | reko(25) oyuna girdi [IP: 41.39.41.55]
20:8:9 | {FFCC00}xUmutPvo(19) {FFFFFF}Kamyoncu olarak spawn oldu.
20:8:10 | Denmix_Petrov(24) 60 saniye içinde giriþ yapmadýðý için tekmelendi
20:8:11 | [CMD] Konyali42(7) => /komutlar
20:8:11 | Denmix_Petrov(24) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:8:12 | [CMD] [pG]aLcAtRaZ(23) => /sa
20:8:14 | [CMD] BoykoXD(0) => /as
20:8:14 | [CMD] Hic(17) => /as
20:8:15 | [CMD] testere151(10) => /as
20:8:15 | [CMD] Younapo.(21) => /as
20:8:16 | [CMD] DarkFlow(11) => /as
20:8:16 | eduardo666(18): arac res
20:8:17 | [CMD] aliturkak(14) => /as
20:8:18 | [CMD] Emirbaba3373(16) => /as
20:8:18 | [CMD] hotlig(22) => /tamir
20:8:19 | [CMD] ibrahimkk(12) => /c gelsene 
20:8:23 | {FFCC00}reko(25) {FFFFFF}Kamyoncu olarak spawn oldu.
20:8:24 | [CMD] buyukustadbitti(13) => /convoy
20:8:28 | [CMD] ASLANBEY(20) => /c jodor emir i at
20:8:30 | BoykoXD(0): Arac res geliyor!!!
20:8:30 | [CMD] Konyali42(7) => /convoykontrol
20:8:31 | BoykoXD(0): Arac res geliyor!!!
20:8:32 | BoykoXD(0): Arac res geliyor!!!
20:8:32 | [CMD] eduardo666(18) => /kemer
20:8:32 | [CMD] [pG]aLcAtRaZ(23) => /pm 17 bu meslek iki nafarimi ?
20:8:33 | [CMD] xUmutPvo(19) => /kemer
20:8:34 | [CMD] BoykoXD(0) => /respawncars
20:8:34 | reko(25) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:8:34 | [CMD] BoykoXD(0) => /cantazele
20:8:35 | [CMD] ASLANBEY(20) => /c görevi gg olmus
20:8:36 | Emirbaba3373(16): nerdesiniz
20:8:36 | [CMD] Sparta298(8) => /a Küçük kuzenlerime gta oynamayý öðretiyom :d
20:8:39 | [CMD] Konyali42(7) => /convoyuye
20:8:39 | [CMD] Hic(17) => /pm 23 ?
20:8:39 | [CMD] Younapo.(21) => /convoyue 10
20:8:40 | [CMD] BoykoXD(0) => /a .d
20:8:42 | [CMD] Younapo.(21) => /convouye 10
20:8:43 | [CMD] hotlig(22) => /tamir
20:8:44 | [CMD] Younapo.(21) => /convoy
20:8:50 | thelastsamurai(9) oyundan cIktI (Hata/Crash) (IP: 88.230.128.104)
20:8:51 | [CMD] Jodor(15) => /c atýyorum
20:8:53 | [CMD] BoykoXD(0) => /atamir
20:8:54 | [CMD] Konyali42(7) => /c kac m
20:8:55 | Emirbaba3373(16): at
20:8:55 | ixd(9) oyuna girdi [IP: 41.46.77.210]
20:8:56 | [CMD] BoykoXD(0) => /fuel
20:8:57 | [CMD] Konyali42(7) => /c emir
20:8:57 | [CMD] [pG]aLcAtRaZ(23) => /pm 17 karpoculuk
20:8:58 | [CMD] xUmutPvo(19) => /sirketdorse
20:8:59 | GreatTeam(25) oyuna girdi [IP: 176.41.119.176]
20:9:0 | [CMD] Jodor(15) => /convoyat 16
20:9:3 | Olesya_Doker(26) oyuna girdi [IP: 178.57.98.6]
20:9:5 | Emirbaba3373(16): atýn sonra gene gelcem
20:9:5 | [CMD] eduardo666(18) => /c
20:9:6 | [CMD] DarkFlow(11) => /convoy
20:9:8 | Konyali42(7): oha 500k
20:9:12 | [CMD] eduardo666(18) => /sirketdorse
20:9:12 | Emirbaba3373(16): nerdesiniz
20:9:13 | ibrahimkk(12): 400k
20:9:13 | DreppeR.(24) oyuna girdi [IP: 92.81.0.89]
20:9:14 | [CMD] xUmutPvo(19) => /convoy
20:9:15 | [CMD] Hic(17) => /pm 23 tekte oluyo iki kiþide tek 5 skor çift 10 skor veriyo
20:9:17 | [CMD] Emirbaba3373(16) => /rescue
20:9:17 | [CMD] Sparta298(8) => /atamir
20:9:18 | Younapo.(21): 418 iyidir
20:9:18 | [CMD] buyukustadbitti(13) => /convoy
20:9:20 | [CMD] Jodor(15) => /work
20:9:25 | [CMD] buyukustadbitti(13) => /convoyiptal
20:9:26 | [CMD] ibrahimkk(12) => /c basla
20:9:27 | [CMD] [pG]aLcAtRaZ(23) => /pm 17 tm saol
20:9:27 | {FFCC00}DreppeR.(24) {FFFFFF}Kamyoncu olarak spawn oldu.
20:9:28 | [CMD] buyukustadbitti(13) => /convoy
20:9:29 | [CMD] [pG]aLcAtRaZ(23) => /work
20:9:29 | {FFCC00}GreatTeam(25) Otobus Soforu olarak spawn oldu.
20:9:29 | [SirketCHT] Konyali42(7): ! ibrahim saka yapiyoruz :D
20:9:31 | [CMD] Emirbaba3373(16) => /convoy
20:9:32 | 
20:9:37 | [CMD] Konyali42(7) => /asiriyuk
20:9:38 | Emirbaba3373(16): jador
20:9:39 | buyukustadbitti(13): jodor geliodum be
20:9:39 | [CMD] eduardo666(18) => /convo/convoy
20:9:40 | [CMD] ibrahimkk(12) => /asiriyuk
20:9:40 | [CMD] Jodor(15) => /vtamir
20:9:42 | [CMD] Younapo.(21) => /asiriyuk
20:9:43 | [CMD] Jodor(15) => /vbenzin
20:9:44 | {FFCC00}xUmutPvo(19) {FFFFFF}Kamyoncu olarak spawn oldu.
20:9:46 | Big_Wiliams(28) oyuna girdi [IP: 93.177.157.170]
20:9:50 | {FFCC00}GreatTeam(25) Otobus Soforu olarak spawn oldu.
20:9:50 | {FFCC00}ixd(9) Otobus Soforu olarak spawn oldu.
20:9:50 | [LOCAL]testere151(10): oraya nasýl çýktým qWE:
20:9:50 | [CMD] testere151(10) => /l oraya nasýl çýktým qWE:
20:9:53 | Emirbaba3373(16): jador
20:9:53 | Hic(17): eve girdi QW:Eq:Qw:eq
20:9:57 | [CMD] Sparta298(8) => /d
20:9:57 | [CMD] Jodor(15) => /asiriyuk
20:9:58 | [CMD] buyukustadbitti(13) => /convoy,
20:9:59 | Sparta298(8): amir
20:10:0 | [CMD] DarkFlow(11) => /asiriyuk
20:10:0 | 
20:10:0 | ixd(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:10:1 | [CMD] xUmutPvo(19) => /convoy
20:10:2 | [CMD] buyukustadbitti(13) => /convoy
20:10:2 | testere151(10): Q:WE
20:10:4 | Big_Wiliams(28) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:10:7 | [CMD] xUmutPvo(19) => /kemer
20:10:9 | [CMD] ASLANBEY(20) => /asiriyuk
20:10:9 | ibrahimkk(12): ceza kes
20:10:11 | Olesya_Doker(26) Yol Iscisi olarak spawn oldu.
20:10:11 | sefer(9) oyuna girdi [IP: 79.126.228.49]
20:10:11 | Jodor(15): jador kim?
20:10:12 | [CMD] ASLANBEY(20) => /asiriyuk
20:10:12 | Younapo.(21): makass
20:10:12 | Emirbaba3373(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:10:14 | Konyali42(7): magsus uyariyor
20:10:14 | [CMD] eduardo666(18) => /cýonvýy
20:10:15 | Olesya_Doker(26) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:10:15 | buyukustadbitti(13): umut nerdesin
20:10:17 | [ANTIHACK] Þüpheli DreppeR.(24) => Airbreak-hack
20:10:18 | [CMD] eduardo666(18) => /convoy
20:10:19 | [CMD] CUKUR(6) => /iptal
20:10:20 | [CMD] hotlig(22) => /tamir
20:10:22 | [CMD] CUKUR(6) => /yardim
20:10:22 | Younapo.(21): makasý gören vra mý
20:10:22 | [CMD] testere151(10) => /a bakýn 
20:10:22 | [ANTIHACK] Þüpheli xUmutPvo(19) => Airbreak-hack
20:10:24 | Konyali42(7): hadi aliiii
20:10:25 | [CMD] BoykoXD(0) => /spec 19
20:10:31 | [CMD] Sparta298(8) => /spec 24
20:10:33 | [CMD] testere151(10) => /a id 24 
20:10:35 | sefer(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:10:36 | [CMD] BoykoXD(0) => /spec 24
20:10:37 | [CMD] xUmutPvo(19) => /sirketdorse
20:10:38 | [CMD] aliturkak(14) => /rescue
20:10:38 | [CMD] Sparta298(8) => /a troll hack var
20:10:39 | [CMD] Konyali42(7) => /convoy
20:10:42 | [CMD] testere151(10) => /a ss al
20:10:43 | [CMD] BoykoXD(0) => /id 24 
20:10:46 | ixd(9) oyuna girdi [IP: 41.46.77.210]
20:10:46 | aliturkak(14): kanka görmedm seni kb
20:10:48 | Big_Wiliams(16) oyuna girdi [IP: 93.177.157.170]
20:10:48 | [CMD] CUKUR(6) => /goreviptal
20:10:49 | [CMD] Sparta298(8) => /aa specden bak yaqw
20:10:50 | [CMD] Hic(17) => /tamir
20:10:53 | [CMD] Sparta298(8) => /a specden bak
20:10:54 | [CMD] CUKUR(6) => /mkapat
20:10:55 | [CMD] xUmutPvo(19) => /sirketdorse
20:10:56 | [CMD] CUKUR(6) => /yardim
20:10:57 | [CMD] Sparta298(8) => /spec 24
20:10:58 | 
20:10:58 | 
20:10:59 | [CMD] testere151(10) => /spec 24
20:11:4 | Jodor(15): ali ne yapýyon
20:11:5 | [CMD] testere151(10) => /specoff
20:11:6 | 
20:11:7 | [CMD] BoykoXD(0) => /a /kick 24 Troll hacktabn atýyorum
20:11:10 | Hic(17): Nere gittin testo ?
20:11:11 | aliturkak(14): hamdolsun kardeþim sen
20:11:12 | [CMD] testere151(10) => /a hyr
20:11:13 | Jodor(15): aracýný almýþ yolun ortasýna býrakmýþsýn
20:11:14 | aliturkak(14): biri hack la
20:11:15 | {FFCC00}ixd(9) Otobus Soforu olarak spawn oldu.
20:11:17 | aliturkak(14): uçtu oraya
20:11:18 | ixd(9) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:11:18 | xUmutPvo(19): Bozoka yetkili biri gelsin dorse var kendi dorsemi alamýyorum
20:11:22 | [CMD] Sparta298(8) => /spec 24
20:11:24 | [CMD] BoykoXD(0) => /specoff
20:11:24 | {FFCC00}BoykoXD(0) {FFFFFF}Kamyoncu olarak spawn oldu.
20:11:25 | {FFCC00}Big_Wiliams(16) {FFFFFF}Kamyoncu olarak spawn oldu.
20:11:27 | CUKUR(6) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:11:27 | Younapo.(21): bne makas attým orda
20:11:29 | Younapo.(21): kaçtým
20:11:30 | [ANTIHACK] Þüpheli DreppeR.(24) => Airbreak-hack
20:11:31 | [CMD] testere151(10) => /a lan kaç kere dicem ban atan admin varken kick atmýcaksýnm diye
20:11:31 | Younapo.(21): sen görmedin :D
20:11:33 | [CMD] Sparta298(8) => /spec 24
20:11:35 | [CMD] hotlig(22) => /tamir
20:11:35 | aliturkak(14): ee kaçtýn þimdi
20:11:35 | ibrahimkk(12): la
20:11:37 | [CMD] xUmutPvo(19) => /sirketdorse
20:11:40 | Jodor(15): dorselerin arasýndan zýplayýp durdun
20:11:41 | [CMD] BoykoXD(0) => /a tm knk ne kýzýyon .d
20:11:41 | Hic(17): Keleþ almýþ QW:Eq:Qw:eq
20:11:44 | [CMD] Sparta298(8) => /specoff
20:11:44 | {FFCC00}Sparta298(8) {FFFFFF}Kamyoncu olarak spawn oldu.
20:11:44 | [CMD] BoykoXD(0) => /kemer
20:11:45 | ASLANBEY(20): dorsenin id si ka.
20:11:47 | [CMD] Sparta298(8) => /afk
20:11:47 | aliturkak(14): :D
20:11:49 | [CMD] Sparta298(8) => /musait
20:11:50 | aliturkak(14): kb jodor
20:11:52 | ibrahimkk(12): admin
20:11:52 | [BAN] testere151(10) DreppeR.(24)'i 2 gün 0 saat banladý. Sebep: Hile Kýllanýmý
20:11:52 | [CMD] testere151(10) => /ban 24 2 0 Hile Kýllanýmý
20:11:52 | DreppeR.(24) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:11:57 | [CMD] xUmutPvo(19) => /convoy
20:11:57 | ibrahimkk(12): 232 idli dorse
20:11:58 | [CMD] Big_Wiliams(16) => /vork\
20:11:59 | ibrahimkk(12): dorsem gitti
20:12:2 | [CMD] testere151(10) => /goto 12
20:12:2 | [CMD] xUmutPvo(19) => /convoyuye
20:12:4 | [CMD] DarkFlow(11) => /c 1bo guzel lag var sende
20:12:4 | [CMD] Big_Wiliams(16) => /yaldim
20:12:6 | ibrahimkk(12): 232 idli dorse
20:12:8 | [CMD] ibrahimkk(12) => /c laa
20:12:9 | [CMD] hotlig(22) => /rescue
20:12:9 | aliturkak(14): bunun da hep dorsesi gidiyo la
20:12:11 | [CMD] ibrahimkk(12) => /c sen carptin
20:12:11 | [CMD] xUmutPvo(19) => /convoyat buyukustadbitti
20:12:12 | [CMD] testere151(10) => /dorseget 232
20:12:13 | [CMD] hotlig(22) => /rescue
20:12:14 | [CMD] xUmutPvo(19) => /work
20:12:17 | [CMD] Big_Wiliams(16) => /yardim
20:12:19 | aliturkak(14): aa you selam
20:12:19 | [CMD] DarkFlow(11) => /c laggersin
20:12:19 | ibrahimkk(12): saol
20:12:20 | aliturkak(14): :D
20:12:21 | [CMD] ASLANBEY(20) => /c testereye soyle
20:12:30 | [CMD] testere151(10) => /goto 17
20:12:36 | [CMD] testere151(10) => /goto 17
20:12:43 | Younapo.(21): :D
20:12:46 | Younapo.(21): gel hadi :D
20:12:50 | aliturkak(14): geldm
20:13:3 | aliturkak(14): olum beni zengin ettinz la
