0:0:0 | Kraply(13): -_-
23:8:46 | [CMD] Moskova_Kurdu(20) => /odul 25
23:8:46 | RavlyCoder(7): abi
23:8:46 | [CMD] Moskova_Kurdu(20) => /odul 25
23:8:47 | [CMD] emre_cool(28) => /t nerdesiniz
23:8:54 | [CMD] emre_cool(28) => /kemer
23:8:55 | [CMD] theazrail(15) => /gobus
23:8:56 | [CMD] emre_cool(28) => /modifiye
23:8:56 | EvoturK(11): 2. yi de yapak mý
23:8:56 | [CMD] huso608(12) => /etk spawnn
23:8:57 | {FFCC00}vevampire(19) Otobus Soforu olarak spawn oldu.
23:8:57 | Fublary3003(17): over
23:8:59 | [CMD] ubeydo(9) => /t lv
23:9:1 | [CMD] huso608(12) => /etk spawnn
23:9:1 | BoykoXD(24) Cöpcü olarak spawn oldu.
23:9:1 | Fublary3003(17): gel knk 
23:9:2 | theazrail(15): yapalýmmm
23:9:2 | [CMD] xSamet(25) => /rescue
23:9:4 | [CMD] [eN]Overlord(0) => /t SF Polis spawný
23:9:4 | RavlyCoder(7): evet haksýzlýk oldu
23:9:5 | Fublary3003(17): lv
23:9:6 | [CMD] Moskova_Kurdu(20) => /a Onu TankBullet yapak
23:9:9 | [CMD] huso608(12) => /etk spawnn
23:9:9 | {FFCC00}EvoturK(11) {FFFFFF}Kamyoncu olarak spawn oldu.
23:9:9 | xSamet(25) Mafya olarak spawn oldu.
23:9:10 | [CMD] BoykoXD(24) => /meslek
23:9:10 | [CMD] EvoturK(11) => /a o nerede yapýlýyor
23:9:11 | [CMD] EvoturK(11) => /a
23:9:12 | RavlyCoder(7): adam 3 2 1 diye sayarken atladýlar
23:9:13 | [CMD] huso608(12) => /etk spawnn
23:9:13 | Moskova_Kurdu(20) Cöpcü olarak spawn oldu.
23:9:14 | EvoturK(11) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:9:14 | [CMD] emre_cool(28) => /t sf gel ubeydo
23:9:15 | [CMD] ByUgur(18) => /meslek
23:9:16 | RavlyCoder(7): ben saymýyom
23:9:16 | [CMD] emre_cool(28) => /kemer
23:9:17 | [CMD] ubeydo(9) => /rescue
23:9:17 | [CMD] Moskova_Kurdu(20) => /a /goetk de var
23:9:17 | [eN]Overlord(0): Relog
23:9:18 | [eN]Overlord(0) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:9:19 | [CMD] ubeydo(9) => /rescue
23:9:19 | [CMD] BoykoXD(24) => /goto 20
23:9:19 | [CMD] huso608(12) => /cleanupcars
23:9:21 | [CMD] Moskova_Kurdu(20) => /goetk
23:9:21 | Fublary3003(17): tm
23:9:21 | [CMD] vevampire(19) => /work
23:9:25 | [CMD] ubeydo(9) => /t lv gel
23:9:25 | [CMD] Moskova_Kurdu(20) => /goetk 4 
23:9:27 | [CMD] BoykoXD(24) => /goto 20
23:9:28 | ubeydo(9): araç res
23:9:30 | [CMD] vevampire(19) => /rehber
23:9:30 | [CMD] BoykoXD(24) => /goto 20
23:9:31 | [CMD] huso608(12) => /goto 20
23:9:33 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
23:9:34 | ubeydo(9): araç ress
23:9:34 | [CMD] vevampire(19) => /rehberler
23:9:36 | [CMD] BoykoXD(24) => /goto 20
23:9:36 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
23:9:38 | [CMD] Moskova_Kurdu(20) => /a gel goto at 
23:9:39 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
23:9:39 | BoykoXD(24): .
23:9:40 | EvoturK(0) oyuna girdi [IP: 94.54.16.230]
23:9:42 | [CMD] emre_cool(28) => /rescue
23:9:42 | [CMD] huso608(12) => /respawncars
23:9:43 | [CMD] huso608(12) => /cantazele
23:9:43 | [CMD] theazrail(15) => /araba
23:9:44 | [CMD] BoykoXD(24) => /dtemizle
23:9:47 | ByUgur(18) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:9:48 | [CMD] ubeydo(9) => /t lv geliin
23:9:49 | 
23:9:51 | {FFCC00}EvoturK(0) {FFFFFF}Kamyoncu olarak spawn oldu.
23:9:52 | [CMD] EvoturK(0) => /kemer
23:9:53 | [CMD] emre_cool(28) => /t ben sðrem
23:9:53 | vevampire(19): konya otogarýnýn yerýný býlen varmý
23:9:54 | [CMD] Gezegen(14) => /rescue
23:9:54 | RavlyCoder(7): gezegen sen beni dahha gece yarýsýna kadar yakalayamazdýn
23:9:55 | [LOCAL]ubeydo(9): sen sür
23:9:55 | [CMD] ubeydo(9) => /l sen sür
23:9:56 | [CMD] EvoturK(0) => /spanelsifregir
23:9:56 | EvoturK SPanel'e giriþ yaptý.
23:9:56 | [CMD] emre_cool(28) => /kemer
23:9:57 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1
23:9:57 | [eN]Overlord(11) oyuna girdi [IP: 85.101.116.247]
23:9:58 | EvoturK(0): oyun gg :D
23:10:0 | RavlyCoder(7): sirkete respawn olmayaydým
23:10:1 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1
23:10:1 | [CMD] Gezegen(14) => /araba
23:10:3 | huso608(12): @19 
23:10:3 | [CMD] emre_cool(28) => /modifiye
23:10:4 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1
23:10:6 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1
23:10:6 | [LOCAL]ubeydo(9): gezegen atla
23:10:6 | [CMD] ubeydo(9) => /l gezegen atla
23:10:7 | [CMD] Gezegen(14) => /araba
23:10:8 | [CMD] huso608(12) => /rehberler
23:10:8 | vevampire(19): efm
23:10:9 | Chawito(16) oyuna girdi [IP: 78.185.157.231]
23:10:9 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1
23:10:10 | 
23:10:12 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1 
23:10:14 | [CMD] huso608(12) => /goto 19
23:10:16 | Muya(26): evo
23:10:16 | [CMD] BoykoXD(24) => /a moski az kiþi var ya
23:10:17 | {FFCC00}[eN]Overlord(11) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
23:10:18 | huso608(12): beni takip et
23:10:19 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1 
23:10:20 | [CMD] BoykoXD(24) => /a yapmayak
23:10:21 | [CMD] [eN]Overlord(11) => /rescue
23:10:23 | 
23:10:23 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1 
23:10:24 | [CMD] emre_cool(28) => /pm 17 atla
23:10:24 | Muya(26): kumarhanemi ahýra tasýmak istiyorum :D
23:10:24 | [CMD] [eN]Overlord(11) => /t sf gelin
23:10:25 | [CMD] Moskova_Kurdu(20) => /admins
23:10:25 | {FFCC00}RavlyCoder(7) {FFFFFF}Kamyoncu olarak spawn oldu.
23:10:29 | [CMD] theazrail(15) => /sirket
23:10:29 | emre_cool(28): @17 atla
23:10:30 | vevampire(19): pardon
23:10:32 | [CMD] Moskova_Kurdu(20) => /a Gelen çok olur 
23:10:33 | [eN]Overlord(11): Fub
23:10:34 | [CMD] huso608(12) => /bike
23:10:36 | [CMD] Moskova_Kurdu(20) => /a 15 oyuncu var zaten 
23:10:37 | [eN]Overlord(11): knk beni SF karakolda bekle
23:10:37 | [LOCAL]RavlyCoder(7): beni parayla
23:10:37 | [CMD] RavlyCoder(7) => /l beni parayla
23:10:39 | [LOCAL]emre_cool(28): @17 atla
23:10:39 | [CMD] emre_cool(28) => /l @17 atla
23:10:39 | [CMD] BoykoXD(24) => /a iyi yap o zmana
23:10:40 | [SirketCHT] efepro0550(8): !sirket yetkilisii varmý
23:10:40 | [CMD] [eN]Overlord(11) => /kemer
23:10:41 | [LOCAL]RavlyCoder(7): ahira at
23:10:41 | [CMD] RavlyCoder(7) => /l ahira at
23:10:42 | [CMD] Moskova_Kurdu(20) => /car Bullet 1 1 
23:10:43 | {FFCC00}Chawito(16) {FFFFFF}Kamyoncu olarak spawn oldu.
23:10:45 | Chawito(16): sa
23:10:46 | vevampire(19): xszd
23:10:46 | [CMD] emre_cool(28) => /as
23:10:47 | [CMD] Moskova_Kurdu(20) => /a Evo 
23:10:47 | [CMD] Chawito(16) => /ranklar
23:10:48 | [CMD] huso608(12) => /as
23:10:48 | [LOCAL]Fublary3003(17): yok siz gidin
23:10:48 | [CMD] Fublary3003(17) => /l yok siz gidin
23:10:49 | [CMD] DarkFlow(10) => /as
23:10:49 | [CMD] [eN]Overlord(11) => /as
23:10:49 | [CMD] Mike_(13) => /as
23:10:49 | emre_cool(28):  /sa /as
23:10:51 | [CMD] ubeydo(9) => /t bas hadii
23:10:53 | [CMD] ubeydo(9) => /t bas
23:10:55 | Sancak(18) oyuna girdi [IP: 78.162.88.231]
23:10:57 | [CMD] Gezegen(14) => /rescue
23:10:57 | [CMD] Chawito(16) => /sirketler
23:10:57 | [CMD] Moskova_Kurdu(20) => /a Sence yapak mý .d 
23:10:57 | [LOCAL]RavlyCoder(7): beni parayla
23:10:57 | [CMD] RavlyCoder(7) => /l beni parayla
23:10:58 | [CMD] Gezegen(14) => /rescue
23:10:58 | [CMD] BoykoXD(24) => /a relog
23:10:59 | [CMD] Chawito(16) => /sirket
23:10:59 | BoykoXD(24) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:10:59 | [LOCAL]RavlyCoder(7): ahira at
23:10:59 | [CMD] RavlyCoder(7) => /l ahira at
23:11:2 | [LOCAL]RavlyCoder(7): sdklfgjdftghrwtoýh
23:11:2 | [CMD] RavlyCoder(7) => /l sdklfgjdftghrwtoýh
23:11:4 | 
23:11:5 | [CMD] ubeydo(9) => /t ahýrýn orda buluþak
23:11:6 | {FFCC00}Sancak(18) {FFFFFF}Kamyoncu olarak spawn oldu.
23:11:8 | Fublary3003(17): over
23:11:8 | [CMD] Moskova_Kurdu(20) => /cleanupcars
23:11:8 | [CMD] [eN]Overlord(11) => /t SF Polis karakolunda toplanalým
23:11:10 | [CMD] Sancak(18) => /admgiris
23:11:11 | [eN]Overlord(11): he
23:11:11 | [CMD] Sancak(18) => /sa
23:11:13 | [CMD] emre_cool(28) => /as
23:11:13 | [CMD] ubeydo(9) => /as
23:11:14 | [CMD] huso608(12) => /as
23:11:14 | [CMD] theazrail(15) => /as
23:11:14 | Fublary3003(17): hade da
23:11:15 | [CMD] DarkFlow(10) => /as
23:11:15 | [CMD] Fublary3003(17) => /as
23:11:16 | vevampire(19): yavaþþ
23:11:17 | [CMD] Sancak(18) => /a hüseyin burda mý
23:11:18 | [eN]Overlord(11): sf gelsen
23:11:18 | ubeydo(9): ahýrda toplanak
23:11:19 | [CMD] Mike_(13) => /as
23:11:20 | [CMD] Moskova_Kurdu(20) => /A yk 
23:11:21 | Fublary3003(17): tm
23:11:21 | [CMD] Sancak(18) => /admins
23:11:23 | [LOCAL]Gezegen(14): Mevlana hack .D
23:11:23 | [CMD] Gezegen(14) => /l Mevlana hack .D
23:11:24 | [CMD] huso608(12) => /a ben burdayým reis
23:11:24 | [CMD] Moskova_Kurdu(20) => /a hangi hüseyin 
23:11:25 | [CMD] Fublary3003(17) => /rescue
23:11:25 | [LOCAL]Gezegen(14): Mevlana hack .D
23:11:25 | [CMD] Gezegen(14) => /l Mevlana hack .D
23:11:26 | [CMD] Chawito(16) => /sirket
23:11:27 | Muya(26): sýkýldým cýksammý
23:11:27 | Chawito(16): s
23:11:30 | darklog61(21) oyuna girdi [IP: 78.185.157.231]
23:11:31 | [CMD] Chawito(16) => /sirket
23:11:33 | Fublary3003(17): nerdesni
23:11:34 | [CMD] Moskova_Kurdu(20) => /bangor Chawito
23:11:37 | [CMD] Chawito(16) => /yardim
23:11:38 | [eN]Overlord(11): bekle
23:11:38 | [CMD] RavlyCoder(7) => /dans 2
23:11:39 | [CMD] Sancak(18) => /a moski sana bi görev versem yapabillirmisin
23:11:41 | [CMD] efepro0550(8) => /rentcar
23:11:42 | [CMD] RavlyCoder(7) => /bira
23:11:42 | [CMD] Sancak(18) => /a forumla alakalý
23:11:44 | [LOCAL]ubeydo(9): bassana
23:11:44 | [CMD] ubeydo(9) => /l bassana
23:11:44 | [CMD] Chawito(16) => /yardim
23:11:46 | [LOCAL]ubeydo(9): knk??
23:11:46 | [CMD] ubeydo(9) => /L knk??
23:11:47 | theazrail(15): sancak bey
23:11:47 | [CMD] efepro0550(8) => /rescue
23:11:48 | [CMD] Moskova_Kurdu(20) => /a Göreve baðlý 
23:11:49 | [CMD] RavlyCoder(7) => /dans 1
23:11:51 | darklog61(21) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
23:11:52 | [LOCAL]emre_cool(28): deki chet'de polisler ve çevikler ahýra doðru gaza bassýn
23:11:52 | [CMD] emre_cool(28) => /l deki chet'de polisler ve çevikler ahýra doðru gaza bassýn
23:11:55 | [CMD] RavlyCoder(7) => /dans 3
23:12:1 | [CMD] Moskova_Kurdu(20) => /a Yapabileceðim biþeyse yaparým 
23:12:4 | [CMD] RavlyCoder(7) => /animkapat
23:12:5 | Chawito(16): þirket nasýl açýyoruz
23:12:7 | [LOCAL]huso608(12): nereye gidiyorduk
23:12:7 | [CMD] huso608(12) => /l nereye gidiyorduk
23:12:8 | Moskova_Kurdu(20): TL ile 
23:12:10 | [CMD] Sancak(18) => /a sana 23 nisan kampanyalarýný atýcam duyurular kýsmýna kampanyayý güzelce hazýrlýcaksýn
23:12:12 | [CMD] RavlyCoder(7) => /dus
23:12:13 | Chawito(16): ne kadar
23:12:16 | Muya(26): sovyetkurdu
23:12:16 | vevampire(19): konya otogar
23:12:19 | [CMD] RavlyCoder(7) => /otur
23:12:19 | huso608(12): gel 
23:12:21 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn
23:12:22 | [CMD] RavlyCoder(7) => /uzan
23:12:24 | BoykoXD(21) oyuna girdi [IP: 95.14.37.207]
23:12:25 | DarkFlow(10): yanlýþ gidiyon
23:12:26 | [CMD] RavlyCoder(7) => /otur
23:12:28 | ReDCraZy(22) oyuna girdi [IP: 78.185.157.231]
23:12:28 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:12:29 | [CMD] efepro0550(8) => /kemer
23:12:30 | [CMD] RavlyCoder(7) => /kalk
23:12:36 | [CMD] RavlyCoder(7) => /animkapat
23:12:36 | [CMD] huso608(12) => /get 19
23:12:38 | 
23:12:39 | 
23:12:39 | [CMD] Moskova_Kurdu(20) => /a Hmm 
23:12:42 | Muya(26): evo cýkdýmý la
23:12:42 | BoykoXD(21) Cöpcü olarak spawn oldu.
23:12:44 | EvoturK(0): ben az afk
23:12:44 | Fublary3003(17): nerdesnibas
23:12:45 | [CMD] BoykoXD(21) => /admgiris
23:12:45 | [CMD] Moskova_Kurdu(20) => /a Yolla 
23:12:46 | Fublary3003(17): bas
23:12:47 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:12:47 | [CMD] Sancak(18) => /a yapamazsan hüseyine yaptýrýcam
23:12:49 | [CMD] EvoturK(0) => /afk
23:12:49 | [CMD] Mike_(13) => /sac
23:12:50 | [CMD] Sancak(18) => /a güzel yap ama 
23:12:50 | [CMD] EvoturK(0) => /musait
23:12:50 | [LOCAL][eN]Overlord(11): atla ahýra gidiyoruz
23:12:50 | [CMD] [eN]Overlord(11) => /L atla ahýra gidiyoruz
23:12:51 | {FFCC00}ReDCraZy(22) {FFFFFF}Kamyoncu olarak spawn oldu.
23:12:52 | Muya(26): chat akmýyo :D
23:12:53 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:12:54 | [CMD] BoykoXD(21) => /sa
23:12:54 | [CMD] EvoturK(0) => /a sancak
23:12:56 | [CMD] BoykoXD(21) => /sac
23:12:56 | [CMD] emre_cool(28) => /as
23:12:57 | [CMD] ubeydo(9) => /as
23:12:58 | emre_cool(28):  /sa /as
23:12:58 | [CMD] Mike_(13) => /skapat
23:12:58 | [CMD] EvoturK(0) => /a okana ulaþtýn mý
23:12:59 | [CMD] Sancak(18) => /a evet
23:12:59 | [CMD] BoykoXD(21) => /goto 20
23:12:59 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:12:59 | [CMD] EvoturK(0) => /as
23:13:0 | [CMD] theazrail(15) => /as
23:13:1 | [CMD] vevampire(19) => /as
23:13:3 | [CMD] [eN]Overlord(11) => /t ahýra geliyorum!
23:13:4 | [CMD] Moskova_Kurdu(20) => /a Denerim. Kötü olduðunu anlarsam söylerim 
23:13:4 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:13:5 | [CMD] BoykoXD(21) => /goto 20
23:13:7 | [CMD] Sancak(18) => /a telefonu kapalý abi
23:13:7 | efepro0550(8): yardým
23:13:11 | [CMD] ReDCraZy(22) => /rescue
23:13:11 | [CMD] Chawito(16) => /rescue
23:13:12 | [CMD] EvoturK(0) => /a pü
23:13:13 | [CMD] ubeydo(9) => /t tamm bizde geliyoz
23:13:14 | [CMD] BoykoXD(21) => /admins
23:13:15 | huso608(12): @8 problem nedir
23:13:17 | [CMD] EvoturK(0) => /a inþ ahýra atmamýþlardýr
23:13:17 | [CMD] efepro0550(8) => /rescue
23:13:18 | emre_cool(28): tðm polisler ve çevikler ahýra doðru gaza bassýn
23:13:18 | [CMD] Sancak(18) => /a ulan napýcaz abi la
23:13:21 | [CMD] EvoturK(0) => /a gün geçiyor
23:13:22 | emre_cool(28): tüm polisler ve çevikler ahýra doðru gaza bassýn
23:13:26 | efepro0550(8): arac galerisi nerde
23:13:28 | [CMD] [eN]Overlord(11) => /tamir
23:13:29 | [CMD] Sancak(18) => /a millet vip bekliyor yarýn
23:13:31 | [CMD] EvoturK(0) => /a bazý includelarýn sürümleri deðiþti onlar da bende yok
23:13:31 | efepro0550(8): goturucek
23:13:39 | huso608(12): sf ls lv de beyaz ucak ýconlu yerlr
23:13:41 | [CMD] Chawito(16) => /modifiye
23:13:44 | [CMD] ReDCraZy(22) => /renk 0 0
23:13:46 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:13:47 | [CMD] ReDCraZy(22) => /modifiye
23:13:49 | [CMD] efepro0550(8) => /kemer
23:13:49 | [CMD] Fublary3003(17) => /modifiye
23:13:50 | theazrail(15): @8 ben götürebilirim
23:13:50 | [CMD] EvoturK(0) => /setlevel 0 7
23:13:51 | efepro0550(8): tm
23:13:53 | [CMD] Moskova_Kurdu(20) => /a Anaa Matite yoksa VIP de yok dimi :D 
23:13:54 | [CMD] Gezegen(14) => /meslek
23:13:55 | [CMD] xSamet(25) => /pm 0 bana 10m atrsýn alhýna
23:13:55 | {FFCC00}Gezegen(14) {FFFFFF}Kamyoncu olarak spawn oldu.
23:13:56 | [CMD] theazrail(15) => /tamir
23:13:56 | [CMD] EvoturK(0) => /uyar 25 Yetkiliden Para Ýstemek Yasaktýr
23:13:57 | [CMD] EvoturK(0) => /setlevel 0 0
23:13:58 | [CMD] Gezegen(14) => /meslek
23:14:0 | Muya(26): :D
23:14:2 | {FFCC00}Gezegen(14) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
23:14:2 | RavlyCoder(7): kaçtý dlkfjhgdfoký
23:14:3 | [CMD] [eN]Overlord(11) => /tamir
23:14:6 | [CMD] Gezegen(14) => /rescue
23:14:8 | [CMD] RavlyCoder(7) => /meslek
23:14:11 | emre_cool(28): evo beni admin yapsana
23:14:11 | theazrail(15): nerdesin
23:14:12 | {FFCC00}RavlyCoder(7) {FFFFFF}Polis olarak spawn oldu.
23:14:13 | [CMD] RavlyCoder(7) => /Sac
23:14:13 | [CMD] emre_cool(28) => /tamir
23:14:14 | [CMD] Muya(26) => /rescue
23:14:17 | xSamet(25) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:14:20 | RavlyCoder(7): ahir basak
23:14:21 | Fublary3003(17): knk gel gizli infi alak
23:14:22 | [CMD] RavlyCoder(7) => /kemer
23:14:22 | [LOCAL][eN]Overlord(11): hll
23:14:22 | [CMD] [eN]Overlord(11) => /l hll
23:14:23 | [CMD] theazrail(15) => /modifiye
23:14:24 | Fublary3003(17): la ajlnfgasljaglja
23:14:24 | [CMD] ReDCraZy(22) => /work
23:14:25 | [LOCAL]ubeydo(9): ben sürüyümmü
23:14:25 | [CMD] ubeydo(9) => /l ben sürüyümmü
23:14:27 | vevampire(19): 12 nyavaþ cigerimi söktün
23:14:28 | Mike_(13): lan
23:14:29 | RavlyCoder(7): yeter yeni þarký açýnð
23:14:30 | [CMD] BoykoXD(21) => /a yok knk yarýn girdiðin zmn otomatikmen oluyorsun moskava
23:14:31 | Gezegen(14): can ress
23:14:32 | Mike_(13): otobüsüm gitti
23:14:33 | [CMD] huso608(12) => /cantazele
23:14:33 | [LOCAL]emre_cool(28): geldik zaten
23:14:33 | [CMD] emre_cool(28) => /l geldik zaten
23:14:35 | Mike_(13): admi
23:14:37 | Mike_(13): adminn
23:14:39 | [CMD] Moskova_Kurdu(20) => /a Matite yapýcak onu Boyko 
23:14:39 | [LOCAL][eN]Overlord(11): sf karakolda bekle askdjsa
23:14:39 | [CMD] [eN]Overlord(11) => /l sf karakolda bekle askdjsa
23:14:40 | [CMD] BoykoXD(21) => /dtemizle
23:14:42 | [CMD] Fublary3003(17) => /rescue
23:14:42 | [CMD] theazrail(15) => /modifiye
23:14:42 | [CMD] [eN]Overlord(11) => /rescue
23:14:45 | BoykoXD(21): .
23:14:45 | [CMD] Moskova_Kurdu(20) => /a Ulaþamýyolarmýþ adama .d 
23:14:47 | [eN]Overlord(11): admin
23:14:48 | huso608(12): ýd sini biliyormusun
23:14:49 | theazrail(15): nerdesin
23:14:52 | Gezegen(14): araç ress
23:14:53 | huso608(12): buyrun
23:14:55 | [CMD] Fublary3003(17) => /modifiye
23:14:55 | Mike_(13): adminn sürekli aracým kayboluyot
23:14:55 | [eN]Overlord(11): @17 yi benim ynaýma tp ler misin
23:14:56 | emre_cool(28): tüm polisler ve çevikler ahýra doðru gaza bassýn
23:14:58 | Mike_(13): adminn sürekli aracým kayboluyot
23:14:59 | Mike_(13): adminn sürekli aracým kayboluyot
23:15:0 | emre_cool(28): tüm polisler ve çevikler ahýra doðru gaza bassýn
23:15:6 | [CMD] BoykoXD(21) => /a bn kaçar
23:15:7 | [CMD] [eN]Overlord(11) => /kemer
23:15:8 | Gezegen(14): Araç Respawn Please
23:15:8 | [CMD] Moskova_Kurdu(20) => /a Yufus 
23:15:8 | Mike_(13): admin görev gitti
23:15:13 | [eN]Overlord(11): @17 yi benim ynaýma tp ler misin admin
23:15:14 | [CMD] BoykoXD(21) => /a kendinize iyi bakýn
23:15:16 | Fublary3003(17): admin beni 11 e tplermisin
23:15:16 | [CMD] BoykoXD(21) => /admins
23:15:17 | [CMD] Sancak(18) => /a he
23:15:19 | [CMD] Moskova_Kurdu(20) => /a bb
23:15:19 | [CMD] Sancak(18) => /a görüþürüz
23:15:21 | [CMD] Chawito(16) => /work
23:15:22 | [CMD] huso608(12) => /a beyler biraz chata yonelebilirmisiniz
23:15:22 | [CMD] Moskova_Kurdu(20) => /a yolla yapam biþeyler 
23:15:22 | [CMD] ubeydo(9) => /t biz ahýrýn ordayýz
23:15:24 | [CMD] Muya(26) => /tamir
23:15:25 | [CMD] BoykoXD(21) => /adminol
23:15:26 | [CMD] Chawito(16) => /goreviptal
23:15:27 | Gezegen(14): Araç Respawn Please
23:15:27 | [CMD] Chawito(16) => /work
23:15:28 | Muya(26): pü
23:15:28 | [CMD] Chawito(16) => /goreviptal
23:15:29 | BoykoXD(21) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
23:15:29 | [CMD] Chawito(16) => /work
23:15:29 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
23:15:30 | [CMD] Chawito(16) => /goreviptal
23:15:31 | [CMD] Chawito(16) => /work
23:15:31 | [CMD] Sancak(18) => /a gönderiyrum özelden
23:15:32 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
23:15:34 | [LOCAL]emre_cool(28): ahýrý kapýyý kapattýk
23:15:34 | [CMD] emre_cool(28) => /l ahýrý kapýyý kapattýk
23:15:34 | Mike_(13): adminn sürekli aracým kayboluyot
23:15:35 | [CMD] huso608(12) => /asay Arac Res Geliyor!!! 
23:15:35 | [CMD] Moskova_Kurdu(20) => /a tmm
23:15:37 | Mike_(13): adminn sürekli aracým kayboluyorr
23:15:37 | [CMD] Chawito(16) => /goreviptal
23:15:38 | [CMD] Chawito(16) => /work
23:15:38 | [CMD] huso608(12) => /respawncars
23:15:39 | [CMD] Chawito(16) => /goreviptal
23:15:40 | [CMD] Chawito(16) => /work
23:15:41 | [CMD] emre_cool(28) => /t ahýrý kapýyý kapattýk
23:15:42 | [CMD] Gezegen(14) => /araba
23:15:42 | [CMD] Chawito(16) => /goreviptal
23:15:43 | [CMD] Chawito(16) => /work
23:15:44 | [CMD] Chawito(16) => /goreviptal
23:15:44 | [CMD] [eN]Overlord(11) => /t zýrhlý yolda alev aldý yetiþmeye çalýþýyoruz
23:15:45 | RavlyCoder(7): tabelalara ahýrda eklenmeli
23:15:45 | [CMD] Chawito(16) => /work
23:15:46 | [CMD] Gezegen(14) => /araba
23:15:47 | [CMD] Chawito(16) => /goreviptal
23:15:47 | [CMD] Chawito(16) => /work
23:15:49 | [CMD] huso608(12) => /cantazele
23:15:49 | [CMD] RavlyCoder(7) => /tamir
23:15:49 | [CMD] Chawito(16) => /goreviptal
23:15:50 | [CMD] Chawito(16) => /work
23:15:50 | [CMD] Gezegen(14) => /araba
23:15:50 | Muya(26): püalttakiler kimdi
23:15:52 | [CMD] Chawito(16) => /goreviptal
23:15:53 | [CMD] Chawito(16) => /work
23:15:55 | [CMD] Chawito(16) => /goreviptal
23:15:55 | [CMD] Gezegen(14) => /araba
23:15:56 | [CMD] Chawito(16) => /work
23:15:58 | [CMD] Chawito(16) => /goreviptal
23:15:58 | [CMD] Chawito(16) => /work
23:15:59 | [CMD] emre_cool(28) => /t tmm anlaþýldý
23:16:0 | [CMD] Chawito(16) => /goreviptal
23:16:1 | [CMD] Chawito(16) => /work
23:16:2 | [CMD] Chawito(16) => /goreviptal
23:16:3 | [CMD] Chawito(16) => /work
23:16:5 | [CMD] Chawito(16) => /goreviptal
23:16:6 | [CMD] Chawito(16) => /work
23:16:8 | [CMD] Chawito(16) => /goreviptal
23:16:9 | [CMD] Chawito(16) => /work
23:16:9 | Fublary3003(17): over
23:16:11 | Muya(26): ubeydo
23:16:11 | [CMD] ubeydo(9) => /t dikkatli olun tamam!
23:16:11 | [CMD] Chawito(16) => /goreviptal
23:16:12 | Fublary3003(17): qnq
23:16:12 | [CMD] Chawito(16) => /work
23:16:13 | [CMD] Chawito(16) => /goreviptal
23:16:14 | [CMD] Chawito(16) => /work
23:16:15 | Muya(26): tehlikeli sahalardasýnýz :D
23:16:16 | [CMD] Chawito(16) => /goreviptal
23:16:17 | [CMD] Chawito(16) => /work
23:16:17 | [eN]Overlord(11): geliyma
23:16:19 | [eN]Overlord(11): geliyorm
23:16:19 | [CMD] Chawito(16) => /goreviptal
23:16:19 | [CMD] Chawito(16) => /work
23:16:21 | [CMD] Chawito(16) => /goreviptal
23:16:22 | [CMD] Chawito(16) => /work
23:16:23 | [CMD] emre_cool(28) => /t herkes hazýr olduðunda baþlicaðýz yakýp yýkmaya
23:16:23 | Fublary3003(17): ym
23:16:24 | [CMD] vevampire(19) => /tamir
23:16:25 | [CMD] Chawito(16) => /goreviptal
23:16:25 | [CMD] Chawito(16) => /work
23:16:27 | [CMD] Chawito(16) => /goreviptal
23:16:27 | [CMD] Chawito(16) => /work
23:16:29 | [CMD] Chawito(16) => /goreviptal
23:16:29 | [CMD] [eN]Overlord(11) => /tamir
23:16:30 | [CMD] huso608(12) => /aa ozkan yetkimi normale cevir istersen senin acýdan da problem olmasýn
