0:0:2 | [CMD] huso608(12) => /admins
20:41:30 | DeathStroke(9): bu kiralanan araçlar ne kadarlýðýna?
20:41:33 | [CMD] testere151(28) => /a strike yapýyosa yapsýn
20:41:35 | [CMD] BoykoXD(6) => /kemer
20:41:38 | 
20:41:41 | [CMD] BeylerBeyi(16) => /geldi
20:41:41 | [CMD] DeathStroke(9) => /galeri
20:41:42 | [CMD] BoykoXD(6) => /admins
20:41:42 | [CMD] wzkral6785665(32) => /basarýmlar
20:41:43 | [CMD] iYasinBey(14) => /a strike etk yap gýz
20:41:43 | [CMD] BeylerBeyi(16) => /geldim
20:41:43 | {FFCC00}emirhanertem(18) {FFFFFF}Kamyoncu olarak spawn oldu.
20:41:48 | [CMD] BeylerBeyi(16) => /d þarký çalýyormmu
20:41:50 | [CMD] Strike(TR)(24) => /A gorev bitsin
20:41:51 | [CMD] BoykoXD(6) => /d yes
20:41:51 | [CMD] iYasinBey(14) => /d çalýyor
20:41:53 | [cCc]HulkHulk[cCc](12): NE KADAR  FÝYATI
20:41:53 | [CMD] Berkay08(33) => /d evet
20:41:54 | EmirEUEU(27) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:41:54 | [CMD] testere151(28) => /specoff
20:41:54 | {FFCC00}testere151(28) {FFFFFF}Kamyoncu olarak spawn oldu.
20:41:55 | [CMD] iYasinBey(14) => /a tm
20:41:55 | [CMD] BeylerBeyi(16) => /d ok
20:41:57 | [CMD] luplup67(13) => /rescue
20:41:59 | [CMD] BeylerBeyi(16) => /sac
20:41:59 | [CMD] testere151(28) => /goetk 1
20:42:1 | buyukustadbitti(11): admin buraya gel
20:42:4 | [CMD] Fublary3003(25) => /galeri
20:42:6 | [eN]Overlord(19): @12 kategori ve gücüne göre fiyatlar deðiþiyor.
20:42:7 | [CMD] [eN]Overlord(19) => /tamir
20:42:11 | [CMD] buyukustadbitti(11) => /rescue
20:42:13 | [CMD] wzkral6785665(32) => /rescue
20:42:14 | [CMD] ekmeksevenyiyen(21) => /rescue
20:42:14 | [CMD] BeylerBeyi(16) => /d birsürü müzik ekledim
20:42:15 | [CMD] TheS1LKENAdam(8) => /a varsa müsait 11 le ilgilensin
20:42:15 | testere151(28): noldu
20:42:15 | kosova(10): kýralýk arabaya býnýlmez
20:42:16 | [cCc]HulkHulk[cCc](12): nerden alýyoruz
20:42:17 | [ARAC] Fublary3003(25), 151 ID'li Previon model araci 10000000$'a satin aldi.
20:42:18 | [LOCAL]iYasinBey(14): aga suyun dibine atla 
20:42:18 | [CMD] iYasinBey(14) => /l aga suyun dibine atla 
20:42:18 | EmirEUEU(27) oyuna girdi [IP: 176.88.7.42]
20:42:21 | DeathStroke(9): testere
20:42:22 | [LOCAL]iYasinBey(14): orda dur
20:42:22 | [CMD] iYasinBey(14) => /l orda dur
20:42:23 | kosova(10): noldu log defterlerýnde sýkýntýmý cýktý satýlmýyor
20:42:25 | [CMD] testere151(28) => /goto 11
20:42:25 | [LOCAL]iYasinBey(14): en dibde
20:42:25 | [CMD] iYasinBey(14) => /l en dibde
20:42:27 | testere151(28): evet
20:42:28 | [CMD] TheS1LKENAdam(8) => /admins
20:42:28 | DeathStroke(9): bi pm gelirmisin müsaitsen
20:42:28 | [CMD] Strike(TR)(24) => /admins
20:42:30 | [CMD] Fublary3003(25) => /araba
20:42:31 | 
20:42:32 | [LOCAL]iYasinBey(14): sonra ben gelem yanina 
20:42:32 | [CMD] iYasinBey(14) => /l sonra ben gelem yanina 
20:42:33 | [eN]Overlord(19): @12 /ehliyetyeri yazýp dümdüz ilerle dostum orda /rentcar yazan yerde olacak.
20:42:35 | [CMD] Strike(TR)(24) => /A testere id 27 atýyozmu
20:42:37 | [CMD] testere151(28) => /pm 28 noldu
20:42:38 | {FFCC00}EmirEUEU(27) {FFFFFF}Kamyoncu olarak spawn oldu.
20:42:39 | [CMD] [eN]Overlord(19) => /ehliyetyeri
20:42:41 | ByAdam(36) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:42:41 | [CMD] iYasinBey(14) => /a sen karaya çýk sonra
20:42:42 | [CMD] DeathStroke(9) => /pm 28 rehber alýmlarýnda neden beni seçmedin:(
20:42:42 | [CMD] testere151(28) => /pm 27 noldu
20:42:43 | [CMD] emirhanertem(18) => /modifiye
20:42:43 | [CMD] Berkay08(33) => /d aç rasgele þarký bitince istek yok zaten
20:42:43 | [CMD] [eN]Overlord(19) => /ehliyetyeri
20:42:43 | [CMD] [cCc]HulkHulk[cCc](12) => /ehliyetyrrti
20:42:44 | [OTOBUSCU] ReisErAyTR, Las Venturas Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 241 Saniye
20:42:46 | [CMD] TheS1LKENAdam(8) => /a ben atayým
20:42:47 | [CMD] EmirEUEU(27) => /pm 28 gýrdým
20:42:47 | [CMD] [cCc]HulkHulk[cCc](12) => /ehliyetyeri
20:42:48 | [CMD] testere151(28) => /pm 27 püð yanlýþ
20:42:48 | [CMD] agareis150(7) => /ehliyetyeri
20:42:48 | [CMD] iYasinBey(14) => /a gelem mi
20:42:48 | [CMD] DeathStroke(9) => /pm 28 neyim eksikti:(
20:42:50 | EvoturK(29) oyuna girdi [IP: 94.54.16.230]
20:42:52 | [CMD] Strike(TR)(24) => /A testere id 27 atýyozmu
20:42:52 | [CMD] ReisErAyTR(37) => /work
20:42:53 | [CMD] BoykoXD(6) => /a gel
20:42:54 | [CMD] iYasinBey(14) => /goto 6
20:42:54 | [CMD] buyukustadbitti(11) => /convoy
20:42:56 | [CMD] [cCc]HulkHulk[cCc](12) => /ehliyetyeri
20:42:57 | [CMD] Fublary3003(25) => /modifiye
20:42:57 | iYasinBey(14): hayda
20:42:57 | [CMD] agareis150(7) => /vipler
20:42:58 | 
20:42:59 | [CMD] luplup67(13) => /tiryazi EneSBey
20:42:59 | [CMD] BeylerBeyi(16) => /d tm þarký bittimi söylermisin
20:43:0 | DeathStroke(9): kirakaan araçlar ne kadarlýðýna
20:43:1 | [CMD] [cCc]HulkHulk[cCc](12) => /rescue
20:43:1 | iYasinBey(14): olmadý
20:43:3 | [eN]Overlord(19): evo
20:43:3 | [CMD] Berkay08(33) => /d tm
20:43:4 | [CMD] ekmeksevenyiyen(21) => /convoy
20:43:5 | iYasinBey(14): evo geldi
20:43:5 | [CMD] testere151(28) => /pm 9 uygun görmedik ýsrar etme
20:43:5 | [CMD] wzkral6785665(32) => /convoy
20:43:5 | [CMD] DeathStroke(9) => /pm 29 hogeldin abicim
20:43:7 | [CMD] BoykoXD(6) => /admins
20:43:8 | [eN]Overlord(19): evo acilen çek
20:43:8 | [CMD] EmirEUEU(27) => /admins
20:43:9 | [CMD] DeathStroke(9) => /pm 29 hogeldin abi
20:43:10 | [CMD] BoykoXD(6) => /admins
20:43:11 | [CMD] emirhanertem(18) => /kar
20:43:12 | (BANKA) ReisErAyTR(37) 2180 nolu banka hesabina 12000$ yatirdi.
20:43:13 | agareis150(7): evo geldi kaçýn
20:43:14 | {FFCC00}EvoturK(29) {FFFFFF}Kamyoncu olarak spawn oldu.
20:43:14 | [CMD] BoykoXD(6) => /goto 11
20:43:16 | [CMD] EvoturK(29) => /sa
20:43:16 | [CMD] EmirEUEU(27) => /vipadmin
20:43:16 | [eN]Overlord(19): evo acilen çek yanýna
20:43:19 | [CMD] QuarryTech(30) => /as
20:43:19 | [CMD] EvoturK(29) => /spanelsifregir
20:43:19 | [CMD] EmirEUEU(27) => /vips
20:43:19 | [CMD] [eN]Overlord(19) => /as
20:43:19 | EvoturK SPanel'e giriþ yaptý.
20:43:19 | [CMD] Berkay08(33) => /as
20:43:20 | kosova(10): as
20:43:20 | [CMD] TheS1LKENAdam(8) => /as
20:43:22 | [CMD] EmirEUEU(27) => /vipler
20:43:22 | Berkay08(33): hg
20:43:23 | [CMD] iYasinBey(14) => /as
20:43:23 | [CMD] BeylerBeyi(16) => /d dj dikkat öncelikle selamün aleyküm arkaadaþlarý ekledim asAS:ÇdÇ:SASD.sa
20:43:24 | [CMD] EvoturK(29) => /get 19
20:43:24 | [CMD] iYasinBey(14) => /a evo etk yapýlcak birazdan aga sen yap o zaqman hoþgeldin
20:43:25 | [CMD] emirhanertem(18) => /saat 4
20:43:25 | [CMD] DeathStroke(9) => /pm 28 bidakine alýrsýn umarým
20:43:26 | [CMD] iYasinBey(14) => /a evo etk yapýlcak birazdan aga sen yap o zaqman hoþgeldin
20:43:26 | [CMD] EmirEUEU(27) => /kurallar
20:43:28 | [CMD] EvoturK(29) => /araba
20:43:29 | [CMD] BoykoXD(6) => /goto 14
20:43:30 | [CMD] Berkay08(33) => /d dsfsfsf
20:43:33 | [CMD] testere151(28) => /pm 9 bilemem
20:43:34 | TheS1LKENAdam(8): Evo bey sokak yarýþlarý düzenliyoruz gelmiyorsunuz ya :/
20:43:34 | EvoturK(29): krdþm o bmw deðil wayfarer
20:43:37 | [CMD] ubeydo(0) => /work
20:43:37 | [CMD] DeathStroke(9) => /pm 29 AleykümSelam Abi HoþGeldin.
20:43:37 | [CMD] BoykoXD(6) => /goto 29
20:43:39 | [CMD] EvoturK(29) => /a niye ben yapýyomuþum
20:43:40 | [CMD] Strike(TR)(24) => /asiriyuk
20:43:40 | [CMD] iYasinBey(14) => /goto 29
20:43:41 | [CMD] Emirbaba3373(17) => /geldim
20:43:42 | [eN]Overlord(19): ben ona benzetiyorum
20:43:42 | [CMD] EvoturK(29) => /a sie asfafsaf
20:43:42 | kosova(10): evoturk nabersýn
20:43:43 | [CMD] luplup67(13) => /convou
20:43:44 | [CMD] iYasinBey(14) => /a ne bilem
20:43:44 | [CMD] EvoturK(29) => /kemer
20:43:45 | kosova(10): yasýyormus patron
20:43:46 | [CMD] Emirbaba3373(17) => /meslek
20:43:46 | [CMD] BoykoXD(6) => /kemer
20:43:47 | EvoturK(29): Ýyidir senden naber
20:43:48 | [CMD] luplup67(13) => /convoy
20:43:48 | [CMD] testere151(28) => /a ben yaparým QW:E
20:43:48 | {FFCC00}Emirbaba3373(17) {FFFFFF}Kamyoncu olarak spawn oldu.
20:43:50 | [CMD] iYasinBey(14) => /ise
20:43:50 | [CMD] EmirEUEU(27) => /rescue
20:43:51 | agareis150(7): evo
20:43:51 | [CMD] testere151(28) => /goetk 1
20:43:52 | [CMD] BoykoXD(6) => /a .d
20:43:54 | [CMD] Fublary3003(25) => /modifyie
20:43:54 | kosova(10): ýyýyým bende
20:43:54 | TheS1LKENAdam(8): Etk gelsinmi
20:43:54 | [CMD] DeathStroke(9) => /pm 29 abi bi ýþýnlansana
20:43:57 | [CMD] iYasinBey(14) => /a yap ben sürcem monsterý
20:43:57 | [CMD] Fublary3003(25) => /modifiye
20:43:57 | [CMD] emirhanertem(18) => /work
20:43:57 | [CMD] DeathStroke(9) => /vipler
20:43:58 | [CMD] Berkay08(33) => /d bitti þarký
20:43:58 | iYasinBey(14): gelsin
20:43:59 | [CMD] EvoturK(29) => /modifiye
20:44:1 | [LOCAL][eN]Overlord(19): evo
20:44:1 | [CMD] [eN]Overlord(19) => /L evo
20:44:2 | [CMD] BoykoXD(6) => /goto 28
20:44:2 | agareis150(7): evo
20:44:2 | [CMD] wzkral6785665(32) => /týryazi
20:44:3 | [CMD] EvoturK(29) => /a ben yanlayacam asfsa
20:44:4 | [LOCAL]EvoturK(29): evet
20:44:4 | [CMD] EvoturK(29) => /l evet
20:44:5 | EmirEUEU(27): t
20:44:7 | [LOCAL][eN]Overlord(19): ben 3.5m para kastým
20:44:7 | [CMD] [eN]Overlord(19) => /l ben 3.5m para kastým
20:44:7 | EvoturK(29): yavaþ gelin yavaþ :D
20:44:7 | [cCc]HulkHulk[cCc](12): yok burda rent a car
20:44:8 | [CMD] BeylerBeyi(16) => /asay Ýstek þarký olmadýðý için rastgele açýlmýþtýr... 
20:44:9 | [CMD] ubeydo(0) => /sac
20:44:9 | [CMD] Strike(TR)(24) => /convoy
20:44:10 | [CMD] iYasinBey(14) => /a yanla
20:44:10 | [CMD] testere151(28) => /a yanla baþkan
20:44:10 | [CMD] TheS1LKENAdam(8) => /a hemen geliyorum
20:44:11 | agareis150(7): evoturk
20:44:11 | [CMD] Emirbaba3373(17) => /beyler lv ye en yakýn olan týrcýda harbourmu ?
20:44:12 | [CMD] DeathStroke(9) => /pm 29 abi bi ýþýnlanýrmýsýn
20:44:12 | [CMD] BoykoXD(6) => /a goto ol yasin
20:44:13 | EvoturK(29): evet
20:44:14 | [LOCAL][eN]Overlord(19): sonra relog attým para 165k oldu la
20:44:14 | [CMD] [eN]Overlord(19) => /L sonra relog attým para 165k oldu la
20:44:14 | [CMD] Emirbaba3373(17) => /beyler lv ye en yakýn olan týrcýda harbourmu ?
20:44:15 | TheS1LKENAdam(8): Agareis
20:44:16 | [CMD] iYasinBey(14) => /goto 6
20:44:16 | TheS1LKENAdam(8): burasý :D
20:44:18 | [CMD] DeathStroke(9) => /pm 29 ben daha önemliyim :D
20:44:19 | agareis150(7): evim kayýp napcam
20:44:19 | [CMD] testere151(28) => /car monster 3 1
20:44:20 | [CMD] EvoturK(29) => /pm 9 ýþýnlanamam
20:44:20 | [CMD] iYasinBey(14) => /ainmkapat
20:44:20 | Emirbaba3373(17): beyler lv ye en yakýn olan týrcýda harbourmu ?
20:44:22 | [CMD] TheS1LKENAdam(8) => /vtamir
20:44:22 | [LOCAL][eN]Overlord(19): hiç beklemiyodum ss te alamadým
20:44:22 | [CMD] [eN]Overlord(19) => /L hiç beklemiyodum ss te alamadým
20:44:23 | [CMD] BeylerBeyi(16) => /meslek
20:44:23 | [CMD] EmirEUEU(27) => /pm 28 testere bunla gýrýyorum haberýn olsun :)
20:44:24 | [CMD] testere151(28) => /car monster 3 1
20:44:25 | [CMD] DeathStroke(9) => /pm 29 neden
20:44:26 | {FFCC00}BeylerBeyi(16) {FFFFFF}Cevik Kuvvet olarak spawn oldu.
20:44:26 | TheS1LKENAdam(8): Bulman gerek :D
20:44:29 | [CMD] SHiZoFReNiX(23) => /sac
20:44:30 | [CMD] BeylerBeyi(16) => /rescue
20:44:30 | [CMD] testere151(28) => /pm 27 tmm
20:44:30 | [CMD] DeathStroke(9) => /gpbus
20:44:31 | [CMD] Fublary3003(25) => /rescue
20:44:32 | QuarryTech(30): ./sac
20:44:32 | [CMD] DeathStroke(9) => /gobus
20:44:33 | [CMD] EvoturK(29) => /l
20:44:34 | [LOCAL][eN]Overlord(19): A7 lere falan söyle dediler
20:44:34 | [CMD] [eN]Overlord(19) => /l A7 lere falan söyle dediler
20:44:34 | [CMD] BoykoXD(6) => /kemer
20:44:35 | [CMD] iYasinBey(14) => /kemer
20:44:35 | [CMD] DeathStroke(9) => /icerigier
20:44:35 | [CMD] testere151(28) => /car monster 3 1
20:44:36 | [CMD] DeathStroke(9) => /icerigir
20:44:37 | [CMD] [eN]Overlord(19) => /kemer
20:44:37 | agareis150(7): evotürk evim kayýp napcam sen bulursun 
20:44:40 | [CMD] Fublary3003(25) => /araba
20:44:40 | [CMD] BoykoXD(6) => /dus
20:44:41 | TheS1LKENAdam(8): Yoksa gidemezsin evine
20:44:42 | [CMD] luplup67(13) => /vipol
20:44:43 | [LOCAL]EvoturK(29): ss olmadan bir þey yapamam
20:44:43 | [CMD] EvoturK(29) => /l ss olmadan bir þey yapamam
20:44:44 | [CMD] BoykoXD(6) => /dus
20:44:45 | TheS1LKENAdam(8): bildiðim kadarýyla o
20:44:45 | (BANKA) ReisErAyTR(37) 2180 nolu banka hesabindan 42$ cekti.
20:44:45 | [CMD] Strike(TR)(24) => /sirket
20:44:49 | [ANTIHACK] Þüpheli SHiZoFReNiX(23) => Airbreak-hack
20:44:50 | [CMD] DeathStroke(9) => /pm 29 neden abi
20:44:50 | [LOCAL][eN]Overlord(19): ama hiiç beklemiyordum
20:44:50 | [CMD] [eN]Overlord(19) => /L ama hiiç beklemiyordum
20:44:51 | [CMD] BoykoXD(6) => /kemer
20:44:52 | (BANKA) ReisErAyTR(37) 2180 nolu banka hesabindan 10$ cekti.
20:44:52 | EvoturK(29): agareis asfsaf
20:44:53 | [LOCAL]TheS1LKENAdam(8): boþuna binme :D
20:44:53 | [CMD] TheS1LKENAdam(8) => /l boþuna binme :D
20:44:55 | [CMD] testere151(28) => /asay 20:50 de monsterdan kaç etk olucaktýr.
20:44:57 | EvoturK(29): çok mu içtin evin yolunu unutmuþsun
20:44:58 | [CMD] buyukustadbitti(11) => /work
20:44:58 | [CMD] Berkay08(33) => /dtemizle
20:44:58 | [CMD] wzkral6785665(32) => /tiryazi
20:44:58 | [CMD] DeathStroke(9) => /pm 13 vip verimleri bitti
20:45:1 | agareis150(7): napcam evotürk
20:45:4 | [CMD] EmirEUEU(27) => /saat
20:45:4 | [CMD] testere151(28) => /fly
20:45:5 | [CMD] iYasinBey(14) => /modifiye
20:45:8 | [CMD] DeathStroke(9) => /pm 29 neden abi ýþýnlanmýyosun
20:45:8 | [CMD] EmirEUEU(27) => /saat 0
20:45:9 | [LOCAL]TheS1LKENAdam(8): yanýma atla
20:45:9 | [CMD] TheS1LKENAdam(8) => /l yanýma atla
20:45:10 | [CMD] BoykoXD(6) => /a yunus goto ol
20:45:12 | [CMD] TheS1LKENAdam(8) => /vipneon
20:45:12 | [LOCAL][eN]Overlord(19): sunucuda para bugu olduðunu bilmiyordum
20:45:12 | [CMD] [eN]Overlord(19) => /L sunucuda para bugu olduðunu bilmiyordum
20:45:15 | [CMD] Emirbaba3373(17) => /work
20:45:15 | [CMD] Strike(TR)(24) => /admins
20:45:16 | [CMD] TheS1LKENAdam(8) => /goto 6
20:45:18 | [CMD] TheS1LKENAdam(8) => /goto 6
20:45:19 | EvoturK(29): az dur
20:45:21 | [CMD] buyukustadbitti(11) => /asiriyuk
20:45:21 | [CMD] BeylerBeyi(16) => /d ben duuyur ekranýný temizleyince admin beylerbeyi yazýyor :D
20:45:22 | [CMD] BoykoXD(6) => /a yuh
20:45:22 | [CMD] luplup67(13) => /tiryazi enesBEY
20:45:24 | ReisErAyTR(37): testere bekliyoruz :)))
20:45:25 | [CMD] wzkral6785665(32) => /tiryazi muhammet BEYIN KORUYOCULARI
20:45:25 | [CMD] Fublary3003(25) => /park
20:45:25 | [LOCAL]TheS1LKENAdam(8): aga yý spawn edin
20:45:25 | [CMD] TheS1LKENAdam(8) => /l aga yý spawn edin
20:45:25 | [LOCAL][eN]Overlord(19): ama bende haklýyým
20:45:25 | [CMD] [eN]Overlord(19) => /L ama bende haklýyým
20:45:26 | agareis150(7): kardeþ hura yatýrdýn napýyým ben
20:45:26 | [CMD] testere151(28) => /a lan nabýyon
20:45:26 | [CMD] luplup67(13) => /asiriyük
20:45:29 | [CMD] Fublary3003(25) => /araba
20:45:30 | [LOCAL]EvoturK(29): ben de ilk defa senden duyuyorum
20:45:30 | [CMD] EvoturK(29) => /l ben de ilk defa senden duyuyorum
20:45:30 | [CMD] luplup67(13) => /asiriyuk
20:45:31 | [CMD] testere151(28) => /spawn 7
20:45:31 | {FFCC00}agareis150(7) {FFFFFF}Polis olarak spawn oldu.
20:45:31 | [CMD] EvoturK(29) => /atamir
20:45:33 | [CMD] Berkay08(33) => /d garip
20:45:33 | [CMD] EvoturK(29) => /atamir
20:45:34 | [LOCAL][eN]Overlord(19): hiç beklemiyordum öyle birþeyi
20:45:34 | [CMD] [eN]Overlord(19) => /L hiç beklemiyordum öyle birþeyi
20:45:35 | [CMD] BeylerBeyi(16) => /dtemizle
20:45:36 | [CMD] iYasinBey(14) => /tiryazi Hakan Yavaþ Ciðerimi Söktün
20:45:37 | [CMD] BeylerBeyi(16) => /d bak
20:45:40 | [CMD] Berkay08(33) => /d vay be
20:45:40 | agareis150(7): ooo oneydi öyle
20:45:41 | DeathStroke(9): beyler iki erkek ne yer?
20:45:42 | [CMD] TheS1LKENAdam(8) => /a bi haber verin etk diye yaw :D
20:45:46 | [LOCAL][eN]Overlord(19): bi tarafýmý yýrttým parayý kasayým diye
20:45:46 | [CMD] [eN]Overlord(19) => /L bi tarafýmý yýrttým parayý kasayým diye
20:45:46 | [eN]Overlord(19) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
20:45:47 | [LOCAL]iYasinBey(14): týr yazý yaz
20:45:47 | [CMD] iYasinBey(14) => /l týr yazý yaz
20:45:48 | AdEkVaTnUy(19) oyuna girdi [IP: 91.225.117.8]
20:45:48 | [CMD] BoykoXD(6) => /a .d
20:45:49 | [CMD] TheS1LKENAdam(8) => /a gavat boyko
20:45:49 | [CMD] aliturkak(15) => /geldim
20:45:49 | [LOCAL]iYasinBey(14): :D
20:45:49 | [CMD] iYasinBey(14) => /l :D
20:45:50 | Berkay08(33): menemen
20:45:52 | [CMD] testere151(28) => /a asay attým ya Q:WE
20:45:53 | [CMD] aliturkak(15) => /tamir
20:45:53 | [CMD] wzkral6785665(32) => /ASÝRÝYUK
20:45:53 | DeathStroke(9): yoo
20:45:55 | TheS1LKENAdam(8): Testere bey
20:45:55 | Berkay08(33): :D
20:45:55 | [CMD] aliturkak(15) => /kemer
20:45:55 | [CMD] Strike(TR)(24) => /asay Vip-Donator-Sirket-Giþe Vb Ürünlerimizden Almak Ýsteyenler www.trucksamp.com Dan Alabilirler 
20:45:58 | DeathStroke(9): manaman
20:45:58 | testere151(28): ?
20:45:59 | [CMD] Strike(TR)(24) => /vipler
20:45:59 | [CMD] wzkral6785665(32) => /asiriyuk
20:46:0 | [CMD] EmirEUEU(27) => /pm 33 berkay
20:46:0 | [CMD] BoykoXD(6) => /a bn ne yaptým lo yunus
20:46:0 | agareis150(7): evo o kadar ahýr yedimki evin yerini unuttum :)
20:46:1 | TheS1LKENAdam(8): çok centilmensiniz
20:46:2 | agareis150(7): evo o kadar ahýr yedimki evin yerini unuttum :)
20:46:2 | DeathStroke(9): man a man
20:46:5 | [CMD] TheS1LKENAdam(8) => /kemer
20:46:5 | SametEyup(31) oyuna girdi [IP: 188.3.106.153]
20:46:6 | [CMD] BoykoXD(6) => /a kadir yaptý etkgiti .d
20:46:7 | [CMD] Berkay08(33) => /pm 27 evet
20:46:9 | [CMD] Strike(TR)(24) => /vipler
20:46:9 | [CMD] Fublary3003(25) => /tamir
20:46:10 | [CMD] Emirbaba3373(17) => /goreviptal
20:46:10 | [CMD] EmirEUEU(27) => /pm 33 berkay naber
20:46:11 | EvoturK(29): püü phpmyadmine giremiyoz
20:46:12 | {FFCC00}AdEkVaTnUy(19) {FFFFFF}Kamyoncu olarak spawn oldu.
20:46:12 | (BANKA) ReisErAyTR(37) 2180 nolu banka hesabindan 7500$ cekti.
20:46:12 | EvoturK(29): gg
20:46:13 | [CMD] Emirbaba3373(17) => /work
20:46:14 | DeathStroke(9): men ingilizcede erkekler oluyo
20:46:14 | AdEkVaTnUy(19) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
20:46:16 | 
20:46:18 | [CMD] Berkay08(33) => /pm 27 iyi senden
20:46:18 | [CMD] EmirEUEU(27) => /sac
20:46:19 | [CMD] wzkral6785665(32) => /asiriyuk
20:46:20 | {FFCC00}SametEyup(31) {FFFFFF}Kamyoncu olarak spawn oldu.
20:46:21 | DeathStroke(9): man erkek oluyo
20:46:21 | agareis150(7): la sigarayý kim verdi
20:46:22 | [CMD] EmirEUEU(27) => /pm 33 iyi
20:46:22 | [CMD] luplup67(13) => /tamire
20:46:22 | TheS1LKENAdam(8): Gelmeyin boyko
20:46:24 | [CMD] luplup67(13) => /tamir
20:46:27 | [CMD] TheS1LKENAdam(8) => /goto 6
20:46:28 | [CMD] DeathStroke(9) => /pm 29 abi bi ýþýnlansana yav
20:46:28 | [CMD] iYasinBey(14) => /a duyuruyu yap
20:46:29 | agareis150(7): evo
20:46:30 | [CMD] BeylerBeyi(16) => /caroption
20:46:34 | [CMD] Berkay08(33) => /pm 27 bayadýr yoktun
20:46:35 | EvoturK(29): evet
20:46:37 | agareis150(7): evi nasýl bulcam kardeþ
20:46:37 | [CMD] testere151(28) => /asay 20:50 de monsterdan kaç etk olucaktýr.
20:46:38 | [CMD] EvoturK(29) => /get 9
20:46:38 | [CMD] EmirEUEU(27) => /pm 33 vallaya
20:46:38 | [CMD] BoykoXD(6) => /asay
20:46:39 | [CMD] BeylerBeyi(16) => /aracoption
20:46:40 | [CMD] EvoturK(29) => /get 9
20:46:41 | [CMD] Berkay08(33) => /asay istek þarký için /isteksarki >id> yazýp bizlere iletebilirsiniz...
20:46:41 | [CMD] Berkay08(33) => /asay forum sayfamýz:www.trucksamp.com/forum
20:46:41 | [CMD] EmirEUEU(27) => /Pm 33 en son býraktým
20:46:41 | [CMD] EvoturK(29) => /get 9
20:46:41 | [CMD] Fublary3003(25) => /rescue
20:46:42 | [CMD] TheS1LKENAdam(8) => /tiryazý
20:46:44 | [CMD] TheS1LKENAdam(8) => /tiryazi
20:46:44 | [OTOBUSCU] ReisErAyTR, San Fierro Otogar'den Las Venturas Otogar'e Yolcu tasidi. Kazanc: 13238$ ve 3 Skor Sure: 437 Saniye
20:46:45 | [CMD] BeylerBeyi(16) => /caroption
20:46:47 | [LOCAL]EvoturK(29): evet
20:46:47 | [CMD] EvoturK(29) => /l evet
20:46:48 | [CMD] TheS1LKENAdam(8) => /tiryazi DJ S1LKEN
20:46:48 | [CMD] BeylerBeyi(16) => /option
20:46:50 | [CMD] BeylerBeyi(16) => /optioncar
20:46:50 | [LOCAL]DeathStroke(9): abi
20:46:50 | [CMD] DeathStroke(9) => /l abi
20:46:52 | agareis150(7): evi nasýl bulcam 
20:46:55 | [CMD] agareis150(7) => /rescue
20:46:55 | [CMD] Berkay08(33) => /pm 27 nie býraktýn
20:46:56 | [CMD] EmirEUEU(27) => /pm 33 sparta bený geri döndurdu
20:46:58 | EvoturK(29): çok çektim bu userlerden
20:46:58 | [CMD] Fublary3003(25) => /work
20:46:58 | [CMD] BeylerBeyi(16) => /option
20:47:1 | EvoturK(29): hepsini çektim yanýma
20:47:1 | [CMD] BeylerBeyi(16) => /caroption
20:47:2 | [ANTIHACK] Þüpheli EvoturK(29) => Airbreak-hack
20:47:4 | EvoturK(29): oha asfsa
20:47:4 | iYasinBey(14): boyko tiryazi yaz
20:47:5 | [CMD] EmirEUEU(27) => /pm 33 evo abýnýn baný býraktýrdý :(
20:47:5 | [CMD] EvoturK(29) => /atamir
20:47:6 | [LOCAL]DeathStroke(9): kaç gündür kudurdum bi ahýra atsana beni ya
20:47:6 | [CMD] DeathStroke(9) => /l kaç gündür kudurdum bi ahýra atsana beni ya
20:47:7 | [CMD] TheS1LKENAdam(8) => /a evo hile kapa
20:47:7 | agareis150(7): napcam
20:47:8 | BoykoXD(6): Tm
20:47:9 | iYasinBey(14): þüpjeli evotur
20:47:10 | iYasinBey(14): þüpjeli evoturk
20:47:14 | [LOCAL]EvoturK(29): bunun için mi goto ol diyordun asfa
20:47:14 | [CMD] EvoturK(29) => /l bunun için mi goto ol diyordun asfa
20:47:14 | agareis150(7): evotürk bi yardým göster
20:47:15 | [ANTIHACK] Þüpheli Emirbaba3373(17) => Airbreak-hack
20:47:16 | TheS1LKENAdam(8): þüpjeli
20:47:19 | kosova(10): bende gýrmeye girmeye evimi unuttum
20:47:20 | [CMD] Berkay08(33) => /pm 27 býrakma sen ne olursa olsun
20:47:21 | iYasinBey(14): þüpheli
20:47:21 | {FFCC00}Emirbaba3373(17) {FFFFFF}Kamyoncu olarak spawn oldu.
20:47:22 | [LOCAL]DeathStroke(9): nerdeydim bilionmu
20:47:22 | [CMD] DeathStroke(9) => /l nerdeydim bilionmu
20:47:23 | {FFCC00}SametEyup(31) {FFFFFF}Kamyoncu olarak spawn oldu.
20:47:23 | iYasinBey(14): iþte
20:47:24 | Emirbaba3373(17): ya ne oluyo ya
