0:0:4 | [CMD] GeneralRookie(8) => /work
19:38:50 | [CMD] Emirhan4427(23) => /sa
19:38:52 | [CMD] Hic(13) => /work
19:38:52 | [CMD] ozantr12345(22) => /as
19:38:53 | [CMD] BoykoXD(12) => /as
19:38:53 | ASLANBEY(10): benim benim kadam yok
19:38:53 | [CMD] ozantr12345(22) => /hg
19:38:53 | [CMD] emre_cool(31) => /as
19:38:54 | [CMD] HeRquL(30) => /as
19:38:54 | [CMD] Hic(13) => /as
19:38:54 | [CMD] KorkusuzKorkak(17) => /as
19:38:54 | [CMD] BoykoXD(12) => /hg
19:38:54 | [CMD] DeathStroke(20) => /as
19:38:55 | [CMD] SpecialForces(14) => /as
19:38:55 | [CMD] emre_cool(31) => /hg
19:38:55 | [CMD] HeRquL(30) => /hg
19:38:55 | [CMD] frenkyz[tr](7) => /cevir
19:38:55 | [CMD] Hic(13) => /hg
19:38:56 | ASLANBEY(10): kollarým da yok
19:38:56 | [CMD] Emirhan4427(23) => /rescue
19:38:57 | [CMD] oktayacar(0) => /hg
19:38:57 | [CMD] oktayacar(0) => /hg
19:39:0 | [CMD] emre_cool(31) => /hg
19:39:1 | [CMD] emre_cool(31) => /as
19:39:3 | HeRquL(30): nasýl kolun yok
19:39:3 | [CMD] Emirhan4427(23) => /hb
19:39:3 | RavlyCoder(21):  /hege
19:39:6 | [CMD] frenkyz[tr](7) => /pm 31 tm
19:39:10 | DeathStroke(20): emirhan abi bakarmýsýn
19:39:10 | BoykoXD(12): Reis  nasýlsýn
19:39:10 | ASLANBEY(10): görünmüyor
19:39:10 | ozantr12345(22): emirhan
19:39:10 | [CMD] emre_cool(31) => /pm 7 nerdesin
19:39:11 | [CMD] RavlyCoder(21) => /cevir
19:39:12 | [CMD] NazmBabalk5334(15) => /donator
19:39:13 | [CMD] RavlyCoder(21) => /tamir
19:39:13 | [CMD] frenkyz[tr](7) => /gorevýptal
19:39:14 | [CMD] Emirhan4427(23) => /gg
19:39:14 | ASLANBEY(10): kafamda
19:39:15 | [CMD] frenkyz[tr](7) => /gorevýptal
19:39:16 | DeathStroke(20): emirhan abi bakarmýsýn
19:39:16 | [ANTIHACK] Þüpheli trardatr(8) => Airbreak-hack
19:39:18 | [CMD] [KGT]BurakCGG(9) => /work
19:39:19 | [CMD] frenkyz[tr](7) => /goreviptal
19:39:21 | [CMD] Emirhan4427(23) => /otorenkoff
19:39:22 | [CMD] frenkyz[tr](7) => /harbour
19:39:22 | [CMD] CcCAtakan1907(28) => /pm 14 sancak gene uygun görürse adminliðe alým yapar mý ki bilgin var mý
19:39:23 | Muya(6): trenin üstünde rahatýam bkom
19:39:23 | HeRquL(30): bende görünüyor kollarýn
19:39:26 | Hic(13): Müptezel Ravly
19:39:26 | [CMD] Emirhan4427(23) => /spec 8 
19:39:28 | [CMD] frenkyz[tr](7) => /pm 31 görev bitirdim 
19:39:29 | [CMD] BoykoXD(12) => /admins
19:39:31 | ASLANBEY(10): relog atam
19:39:32 | [CMD] DeathStroke(20) => /rescue
19:39:34 | [CMD] SpecialForces(14) => /pm 28 uygun olursa evet
19:39:34 | HeRquL(30): bence de
19:39:34 | [CMD] frenkyz[tr](7) => /rescue
19:39:37 | ASLANBEY(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:39:37 | [CMD] Hic(13) => /work
19:39:38 | [CMD] NazmBabalk5334(15) => /market
19:39:39 | [CMD] CcCAtakan1907(28) => /pm 14 alým derken yetkilieri
19:39:41 | ozantr12345(22): ARDA
19:39:42 | DeathStroke(20): Emirhan Abi Bakarmýsýn
19:39:42 | [CMD] SpecialForces(14) => /pm 28 þuan çok fazla admin var
19:39:43 | ozantr12345(22): c.o
19:39:44 | [CMD] NazmBabalk5334(15) => /market
19:39:47 | [CMD] emre_cool(31) => /pm 7 nerde bitirdin saðda yazýyor nereye gittiðini
19:39:57 | [CMD] CcCAtakan1907(28) => /pm 14 aynen iþte eksik olursa olur inþallah
19:39:57 | [CMD] oktayacar(0) => /ev
19:39:57 | [CMD] SpecialForces(14) => /aa hg emirhan
19:39:58 | ozantr12345(22): arda
19:39:59 | [CMD] [KGT]BurakCGG(9) => /work
19:40:0 | ozantr12345(22): ardaa
19:40:2 | [CMD] Emirhan4427(23) => /aa hb
19:40:3 | [CMD] BoykoXD(12) => /uyar 22 Büyük harf
19:40:3 | [CMD] Hic(13) => /work
19:40:7 | RavlyCoder(21): bi nafya trebde 
19:40:8 | [CMD] [transit](18) => /tamir
19:40:10 | [CMD] emre_cool(31) => /pm 7 dur ben gelcem
19:40:12 | ozantr12345(22): benmi
19:40:13 | [CMD] frenkyz[tr](7) => /pm 31 bana göre bitirdim yaw dorse patladý yol bugluymuþ ama olsun görevden alacaðým paranýn
19:40:14 | [CMD] CcCAtakan1907(28) => /pm 14 o agareis olayý olmasaydý admin olmuþmuydum ben
19:40:14 | [CMD] emre_cool(31) => /yerbul 7
19:40:15 | [CMD] SpecialForces(14) => /aa bu ls-sf tren botu istifa etmiþ
19:40:15 | RavlyCoder(21): he
19:40:15 | Hic(13): Ravly nabün bea
19:40:17 | [CMD] frenkyz[tr](7) => /pm 31 5 katýný verdin
19:40:19 | [CMD] Emirhan4427(23) => /a nick büyükse uyarý atma
19:40:20 | [CMD] frenkyz[tr](7) => /pm 31 valla saðol
19:40:22 | ozantr12345(22): yakalayamassýn kardeþim
19:40:23 | [CMD] emre_cool(31) => /yerbul 7
19:40:24 | [CMD] SpecialForces(14) => /aa ben sürüyom
19:40:25 | ozantr12345(22): kaçarým
19:40:26 | (SON)BatuHAN(16) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:40:26 | Muya(6): trenin üstündeki bnim ravly :D
19:40:28 | RavlyCoder(21): hiç s
19:40:29 | [CMD] Emirhan4427(23) => /aa reste düzelir
19:40:30 | [CMD] frenkyz[tr](7) => /rescue
19:40:30 | [CMD] BoykoXD(12) => /a tm
19:40:30 | Hic(13) RavlyCoder(21)'a 313131$ para gönderdi
19:40:30 | [CMD] Hic(13) => /paragonder 21 313131
19:40:31 | RavlyCoder(21): sn
19:40:34 | [CMD] HeRquL(30) => /a vaktiyle ansýzýn bir gece göklerden inen bir client varmýþ
19:40:34 | [CMD] [KGT]BurakCGG(9) => /work
19:40:34 | emre_cool(31): admin /yerbul çalýþmýyor
19:40:39 | [CMD] [KGT]BurakCGG(9) => /work
19:40:39 | [CMD] emre_cool(31) => /pm 7 rica ederim
19:40:40 | [CMD] Mike_(24) => /yerul
19:40:42 | Muya(6): buga girmisdir
19:40:42 | [CMD] Mike_(24) => /yerbul
19:40:45 | [CMD] SpecialForces(14) => /aa bide þey dicem
19:40:48 | [CMD] Emirhan4427(23) => /a geliyomu sonunda cliemt
19:40:48 | [KGT]BurakCGG(9): a
19:40:49 | [CMD] ozantr12345(22) => /meslek
19:40:49 | BoykoXD(12): Ýnek muya .d
19:40:49 | [CMD] trardatr(8) => /ranklar
19:40:49 | [CMD] Hic(13) => /pm 21 Nasýl para w.eq
19:40:50 | [CMD] CcCAtakan1907(28) => /as
19:40:51 | {FFCC00}ozantr12345(22) {FFFFFF}Kamyoncu olarak spawn oldu.
19:40:51 | Emineen28352688(10) oyuna girdi [IP: 78.190.213.128]
19:40:53 | [CMD] ozantr12345(22) => /rescue
19:40:54 | [CMD] Hic(13) => /wýrj
19:40:55 | Muya(6): kafanu keserüm
19:40:56 | [CMD] SpecialForces(14) => /aa /isyerolustur komutu çalýþmýyo
19:40:57 | [CMD] Emirhan4427(23) => /aa evet
19:40:59 | [CMD] Hic(13) => /work
19:40:59 | RavlyCoder(21) Hic(13)'a 313131$ para gönderdi
19:40:59 | [CMD] RavlyCoder(21) => /paragonder 13 313131
19:40:59 | [CMD] SpecialForces(14) => /aa /isyeriolustur komutu çalýþmýyo
19:41:1 | [CMD] HeRquL(30) => /a daha uðraþýyoruz :D max 1 hafta
19:41:3 | Muya(6): boyk osf tren garýnda bni karsýla :D
19:41:3 | [CMD] trardatr(8) => /meslek
19:41:4 | [CMD] trardatr(8) => /meslek
19:41:4 | BoykoXD(12): Mö mö muya .d
19:41:6 | {FFCC00}trardatr(8) Otobus Soforu olarak spawn oldu.
19:41:6 | [CMD] CcCAtakan1907(28) => /meslek
19:41:7 | [CMD] emre_cool(31) => /pm 7 orda dur geliyom
19:41:7 | [CMD] SpecialForces(14) => /goto 23
19:41:9 | [CMD] emre_cool(31) => /rescue
19:41:10 | [CMD] Emirhan4427(23) => /isyeriolustur
19:41:11 | [CMD] Mike_(24) => /goreviptal
19:41:12 | 
19:41:13 | Hic(13): Level lazzým
19:41:13 | [CMD] Mike_(24) => /work
19:41:13 | [CMD] RavlyCoder(21) => /pm 13 asdfisdkfpsdofk
19:41:15 | [CMD] frenkyz[tr](7) => /pm 31 þirketteyim
19:41:17 | [CMD] SpecialForces(14) => /goto 23
19:41:19 | [CMD] Emirhan4427(23) => /aa çalýþýyor
19:41:21 | [CMD] trardatr(8) => /work
19:41:23 | Hic(13): Çoð level lazýým
19:41:23 | [CMD] RavlyCoder(21) => /tamire
19:41:24 | [CMD] Hic(13) => /sac
19:41:25 | [CMD] SpecialForces(14) => /aa bende çalýþmýyo
19:41:27 | [CMD] RavlyCoder(21) => /tamir
19:41:28 | Hic(13): Çoð çoð lazým
19:41:29 | emre_cool(31) oyundan cIktI (Hata/Crash) (IP: 91.93.48.171)
19:41:29 | [CMD] [KGT]BurakCGG(9) => /work
19:41:31 | [CMD] SpecialForces(14) => /isyeriolustur
19:41:32 | RavlyCoder(21): bende 30 lvl olym bari
19:41:32 | [CMD] HeRquL(30) => /duyuru dj benim
19:41:32 | BoykoXD(12): Ýnek muya bana 1 kilo süt ver lo .d
19:41:34 | [CMD] KorkusuzKorkak(17) => /ev
19:41:35 | [CMD] RavlyCoder(21) => /meslek
19:41:36 | Muya(6): a tren kacýrdý bni :D
19:41:37 | [CMD] Emirhan4427(23) => /admins
19:41:38 | RavlyCoder(21) Pizzaci olarak spawn oldu.
19:41:40 | [CMD] Emirhan4427(23) => /admins
19:41:42 | Muya(6): lslv treni kacýrdý :D
19:41:42 | [CMD] [transit](18) => /tamir
19:41:43 | [CMD] RavlyCoder(21) => /rescue
19:41:43 | [CMD] ozantr12345(22) => /cevir
19:41:44 | [CMD] Hic(13) => /work
19:41:45 | DeathStroke(20) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:41:46 | HeRquL(30): nereye kaçýrýd
19:41:47 | emre_cool(16) oyuna girdi [IP: 91.93.48.171]
19:41:48 | [ANTIHACK] Þüpheli trardatr(8) => Airbreak-hack
19:41:51 | [CMD] Emirhan4427(23) => /aa levelden dolayýdýr
19:41:54 | [OTOBUSCU] trardatr, Los Santos Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 84 Saniye
19:41:54 | Muya(6): sua ndurakda
19:41:56 | HeRquL(30):  /sikayet 
19:41:56 | [CMD] BoykoXD(12) => /a orda porno mý diyo  yoksa baka bir seymi .d
19:41:56 | [CMD] SpecialForces(14) => /aa çalýþýyodu ama
19:41:58 | Muya(6): ahýr duragý yok dimi :D
19:42:0 | [CMD] trardatr(8) => /work
19:42:0 | 
19:42:1 | [CMD] RavlyCoder(21) => /kemer
19:42:2 | {FFCC00}emre_cool(16) {FFFFFF}Kamyoncu olarak spawn oldu.
19:42:4 | [CMD] HeRquL(30) => /a nerde
19:42:6 | Muya(6): ahýr duragý yok dimi :D
19:42:6 | [CMD] RavlyCoder(21) => /kemer
19:42:8 | Hic(13): Muya istersen yaptýrýrýz
19:42:8 | RavlyCoder(21): ahýr mahallesi
19:42:9 | [CMD] BoykoXD(12) => /a sarkda
19:42:11 | [CMD] RavlyCoder(21) => /work
19:42:11 | [CMD] emre_cool(16) => /as
19:42:12 | Muya(6): döverüm
19:42:14 | [CMD] Emirhan4427(23) => /aa bakarým 1 dk video alcam
19:42:14 | [CMD] emre_cool(16) => /sa
19:42:16 | [CMD] Hic(13) => /work
19:42:17 | [CMD] Hic(13) => /as
19:42:18 | [CMD] Hic(13) => /hg
19:42:19 | [CMD] SpecialForces(14) => /aa tm
19:42:20 | [CMD] HeRquL(30) => /a porno morno demiyo 
19:42:24 | [CMD] emre_cool(16) => /hb
19:42:25 | [CMD] BoykoXD(12) => /a ok 
19:42:25 | [OTOBUSCU] trardatr, San Fierro Otogar'den Los Santos Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 98 Saniye
19:42:25 | [CMD] Emirhan4427(23) => /spec 8 
19:42:28 | [LOCAL]emre_cool(16): selam
19:42:28 | [CMD] emre_cool(16) => /l selam
19:42:28 | [CMD] SpecialForces(14) => /a ben az afl
19:42:30 | [CMD] SpecialForces(14) => /a ben az afk
19:42:32 | DeathStroke(20) oyuna girdi [IP: 88.236.142.47]
19:42:32 | [CMD] [KGT]BurakCGG(9) => /work
19:42:33 | [CMD] HeRquL(30) => /a be california 
19:42:34 | [CMD] ozantr12345(22) => /rentcar
19:42:35 | [LOCAL]emre_cool(16): /l ile konuþ benle
19:42:35 | [CMD] emre_cool(16) => /l /l ile konuþ benle
19:42:37 | [CMD] SpecialForces(14) => /musait
19:42:38 | [CMD] Emirhan4427(23) => /aa bu adminlerin spec attýðý bile yok
19:42:38 | [CMD] SpecialForces(14) => /musait
19:42:39 | trardatr(8): emre
19:42:42 | Muya(6): lv ls treni kacýrýyor simdi bni :D
19:42:42 | emre_cool(16): efendim
19:42:43 | [CMD] SpecialForces(14) => /aa aynn
19:42:44 | [CMD] frenkyz[tr](7) => /cevir
19:42:44 | trardatr(8): arapcayý severmisin
19:42:44 | [CMD] ozantr12345(22) => /kemer
19:42:44 | [CMD] HeRquL(30) => /a be california  diyo
19:42:45 | 
19:42:45 | [CMD] CcCAtakan1907(28) => /afk
19:42:45 | BoykoXD(12): Muya sende varya herkesi döve döve bir kaldýn .dad
19:42:46 | [CMD] Hic(13) => /r Geçen adama yol gösteriyom
19:42:46 | [CMD] ozantr12345(22) => /stamir
19:42:46 | [CMD] CcCAtakan1907(28) => /musait
19:42:46 | {FFCC00}DeathStroke(20) {FFFFFF}Kamyoncu olarak spawn oldu.
19:42:49 | [CMD] SpecialForces(14) => /afk
19:42:49 | [CMD] DeathStroke(20) => /sa
19:42:51 | [CMD] BoykoXD(12) => /a ok knk
19:42:53 | [CMD] RavlyCoder(21) => /as
19:42:54 | [CMD] RavlyCoder(21) => /hg
19:42:54 | emre_cool(16): no no no
19:42:55 | [CMD] emre_cool(16) => /as
19:42:55 | [CMD] Hic(13) => /r Düzce'Ye götür dedi
19:42:56 | [CMD] Emirhan4427(23) => /as
19:42:56 | [CMD] emre_cool(16) => /hg
19:42:57 | [CMD] KorkusuzKorkak(17) => /ev
19:42:58 | [CMD] emre_cool(16) => /as
19:42:58 | oktayacar(0): arac res pls
19:42:59 | [CMD] Hic(13) => /r Götürüyom
19:43:0 | [eN]Overlord(25) oyuna girdi [IP: 78.180.159.77]
19:43:0 | BoykoXD(12): Muya sende varya herkesi döve döve bir kaldýn .dad
19:43:0 | [CMD] Hic(13) => /as
19:43:1 | [CMD] HeRquL(30) => /respawn 161
19:43:2 | [CMD] Hic(13) => /hg
19:43:2 | trardatr(8): ben hiç içmedim
19:43:2 | Muya(6): boyko burda trenler Muya ný kacýrýyolar :D
19:43:4 | [CMD] oktayacar(0) => /gohome
19:43:4 | DeathStroke(20): @23 Bakarmýsýn Acaba
19:43:5 | Emineen28352688(10) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:43:6 | [CMD] HeRquL(30) => /respawn 185
19:43:6 | [CMD] NazmBabalk5334(15) => /meslek
19:43:9 | [CMD] [KGT]BurakCGG(9) => /work
19:43:9 | [CMD] Hic(13) => /r Bu adam yolu bilmiyo diyo qwe:
19:43:11 | [CMD] Hic(13) => /work
19:43:11 | 
19:43:11 | [CMD] trardatr(8) => /work
19:43:11 | BoykoXD(12): .d
19:43:11 | Muya(6): terligi vurdurtma dudagýna :D
19:43:11 | [ANTIHACK] Þüpheli trardatr(8) => Airbreak-hack
19:43:12 | {FFCC00}NazmBabalk5334(15) Otobus Soforu olarak spawn oldu.
19:43:15 | HeRquL(30): @6 /sikayet id sebep
19:43:16 | BoykoXD(12): .d
19:43:16 | Hic(13): Muyaðð
19:43:18 | [CMD] HeRquL(30) => /spec 8
19:43:19 | [eN]Overlord(25) Pizzaci olarak spawn oldu.
19:43:21 | [CMD] NazmBabalk5334(15) => /meslek
19:43:22 | {FFCC00}NazmBabalk5334(15) {FFFFFF}Kamyoncu olarak spawn oldu.
19:43:26 | Muya(6): hic trenler bni kacýrýyo :D
19:43:27 | [CMD] ozantr12345(22) => /stamir
19:43:29 | DeathStroke(20): @23 Bakarmýsýn Acaba
19:43:32 | Emineen28352688(10) oyuna girdi [IP: 78.190.213.128]
19:43:32 | Hic(13): Muya Terliðin tanesi kaça ?
19:43:32 | Muya(6): aha tünele girdi
19:43:33 | [CMD] [eN]Overlord(25) => /sa
19:43:34 | [CMD] NazmBabalk5334(15) => /meslek
19:43:34 | [CMD] RavlyCoder(21) => /work
19:43:37 | Muya(6): 980m
19:43:37 | [CMD] [KGT]BurakCGG(9) => /work
19:43:39 | [CMD] Hic(13) => /as
19:43:40 | emre_cool(16): ha ha ha @8 ben içtim çaya arapça kitabýný kattým arap çayý oldu :D
19:43:40 | [CMD] Hic(13) => /hg
19:43:41 | [OTOBUSCU] trardatr, Los Santos Otogar'den San Fierro Otogar'e Yolcu tasidi. Kazanc: 15724$ ve 3 Skor Sure: 113 Saniye
19:43:41 | [CMD] HeRquL(30) => /specoff
19:43:41 | {FFCC00}HeRquL(30) {FFFFFF}Kamyoncu olarak spawn oldu.
19:43:43 | [CMD] KorkusuzKorkak(17) => /araba
19:43:43 | [CMD] emre_cool(16) => /as
19:43:43 | 
19:43:44 | [CMD] emre_cool(16) => /hg
19:43:45 | [CMD] oktayacar(0) => /pm
19:43:46 | [BAN] Emirhan4427(23) trardatr(8)'i 2 gün 0 saat banladý. Sebep: hile kullaným
19:43:46 | [CMD] Emirhan4427(23) => /ban 8 2 0 hile kullaným
19:43:46 | trardatr(8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
19:43:47 | Hic(13): Ben öðrenciyim 5 tl ye indir
19:43:47 | Emirhan4427(23) Pizzaci olarak spawn oldu.
19:43:47 | {FFCC00}Emineen28352688(10) {FFFFFF}Kamyoncu olarak spawn oldu.
19:43:48 | [LOCAL]emre_cool(16): ben süremmi
19:43:48 | [CMD] emre_cool(16) => /l ben süremmi
19:43:52 | [CMD] [transit](18) => /asiriyuk
19:43:52 | DeathStroke(20): Bu Adminler Neden Bakmýyor?
19:43:57 | [CMD] HeRquL(30) => /a bende öyle ddüþünmüþtüm emirhan
19:43:58 | [CMD] oktayacar(0) => /uzan
19:43:58 | [CMD] Emineen28352688(10) => /sa
19:44:0 | [CMD] Hic(13) => /work
19:44:1 | [CMD] [KGT]BurakCGG(9) => /work
19:44:1 | [CMD] Mike_(24) => /as
19:44:1 | [CMD] Emineen28352688(10) => /sac
19:44:1 | [CMD] Hic(13) => /as
19:44:2 | [CMD] Hic(13) => /hg
19:44:4 | [CMD] Mike_(24) => /duyurukapat
19:44:5 | [CMD] [KGT]BurakCGG(9) => /work
19:44:5 | [LOCAL]emre_cool(16): senin paran boþa gitmesin ben sürem
19:44:5 | [CMD] emre_cool(16) => /l senin paran boþa gitmesin ben sürem
19:44:10 | NazmBabalk5334(15): 100 skora meslek varmý
19:44:13 | HeRquL(30): var
19:44:15 | [CMD] Emirhan4427(23) => /a videoda var sýkýntý yok
19:44:15 | DeathStroke(20): Bu Adminler Neden Bakmýyor?
19:44:17 | NazmBabalk5334(15): ne
19:44:17 | [CMD] emre_cool(16) => /as
19:44:18 | RavlyCoder(21): pizza görevi motorsuz olsaydý be yapardýnýz
19:44:19 | [CMD] Emirhan4427(23) => /get spe
19:44:19 | HeRquL(30):  /meslekler
19:44:19 | [CMD] emre_cool(16) => /hg
19:44:20 | [LOCAL]frenkyz[tr](7): zaten çýkcam þimdi :d
19:44:20 | [CMD] frenkyz[tr](7) => /L zaten çýkcam þimdi :d
19:44:21 | [CMD] ozantr12345(22) => /tamir
19:44:22 | [CMD] emre_cool(16) => /tamir
19:44:23 | Hic(13): Nasýl var ?
19:44:23 | [CMD] Emineen28352688(10) => /isteksarki 1701
19:44:26 | [CMD] [eN]Overlord(25) => /meslekler
19:44:26 | [CMD] HeRquL(30) => /a neyle aldýn vido
19:44:27 | Hic(13): Mafya 3500 skor olmadýmý ?
19:44:29 | Muya(6): spec
19:44:29 | [ANTIHACK] Þüpheli Mike_(24) => Airbreak-hack
19:44:31 | [CMD] [eN]Overlord(25) => /work
19:44:32 | [CMD] Emirhan4427(23) => /a bandicam
19:44:34 | Muya(6): sen tren sürdüfgüne eminmisin :D
19:44:34 | [LOCAL]frenkyz[tr](7): spora gidicem
19:44:34 | [CMD] frenkyz[tr](7) => /l spora gidicem
19:44:34 | [CMD] DeathStroke(20) => /meslek
19:44:34 | [CMD] RavlyCoder(21) => /work
19:44:34 | Arda[TR](8) oyuna girdi [IP: 78.184.186.4]
19:44:35 | [CMD] Emineen28352688(10) => /kemer
19:44:37 | [CMD] NazmBabalk5334(15) => /meslekler
19:44:37 | [CMD] Emirhan4427(23) => /spec 24
19:44:37 | [CMD] HeRquL(30) => /a kastýrýyomu
19:44:38 | [eN]Overlord(25): ne bu abi
19:44:39 | [LOCAL]frenkyz[tr](7): görüþürüz bro
19:44:39 | [CMD] frenkyz[tr](7) => /l görüþürüz bro
19:44:42 | [eN]Overlord(25): bayrak falan diyor
19:44:42 | [CMD] NazmBabalk5334(15) => /meslek
19:44:42 | [CMD] Emineen28352688(10) => /sirketdorse
19:44:42 | [CMD] Mike_(24) => /m1
19:44:43 | [CMD] Hic(13) => /work
19:44:43 | 
19:44:44 | [LOCAL]emre_cool(16): ne sporu
19:44:44 | [CMD] emre_cool(16) => /l ne sporu
19:44:45 | {FFCC00}Arda[TR](8) {FFFFFF}Kamyoncu olarak spawn oldu.
19:44:46 | [CMD] [KGT]BurakCGG(9) => /work
19:44:47 | DeathStroke(20): Bu Adminler Neden Bakmýyor?
19:44:47 | [CMD] Arda[TR](8) => /sa
19:44:47 | [BAN] Emirhan4427(23) Arda[TR](8)'i sinirsiz banladý. Sebep: banlýsýn
19:44:47 | [CMD] Emirhan4427(23) => /sban 8 banlýsýn
19:44:47 | Arda[TR](8) oyundan cIktI (KIck/Ban) (IP: 255.255.255.255)
19:44:49 | [CMD] Mike_(24) => /as
19:44:50 | [LOCAL]frenkyz[tr](7): atletizm ciyim ben
19:44:50 | [CMD] frenkyz[tr](7) => /l atletizm ciyim ben
19:44:53 | [CMD] ozantr12345(22) => /stami
19:44:54 | [CMD] ozantr12345(22) => /stamir
19:44:56 | [LOCAL]emre_cool(16): vay
19:44:56 | [CMD] emre_cool(16) => /l vay
19:45:0 | DeathStroke(20): Emirhan
19:45:1 | [LOCAL]emre_cool(16): kolay gelsin orda
19:45:1 | [CMD] emre_cool(16) => /l kolay gelsin orda
19:45:1 | [CMD] NazmBabalk5334(15) => /work
19:45:6 | Emirhan4427(23): evet
19:45:6 | [CMD] Hic(13) => /work
19:45:8 | [LOCAL]emre_cool(16): bb
19:45:8 | [CMD] emre_cool(16) => /l bb
19:45:9 | [CMD] Emirhan4427(23) => /specoff
19:45:9 | Emirhan4427(23) Pizzaci olarak spawn oldu.
19:45:10 | DeathStroke(20): Ban Atana Kaar Bize Baksan bi
19:45:14 | [LOCAL]frenkyz[tr](7): saðol da hiç kolay deðil günde 20km yol ''koþuyoz''
19:45:14 | [CMD] frenkyz[tr](7) => /l saðol da hiç kolay deðil günde 20km yol ''koþuyoz''
19:45:14 | [LOCAL]frenkyz[tr](7): bb
19:45:14 | [CMD] frenkyz[tr](7) => /L bb
19:45:15 | [CMD] [KGT]BurakCGG(9) => /work
19:45:15 | [LOCAL]emre_cool(16): dur
19:45:15 | [CMD] emre_cool(16) => /l dur
19:45:16 | [CMD] RavlyCoder(21) => /work
19:45:16 | [CMD] [eN]Overlord(25) => /wor
19:45:17 | [CMD] [eN]Overlord(25) => /work
19:45:18 | [CMD] RavlyCoder(21) => /work
19:45:19 | ozantr12345(22): emirhan reis
19:45:19 | Emirhan4427(23): evet
19:45:19 | [CMD] BoykoXD(12) => /basarimlar
19:45:19 | DeathStroke(20): bi gelirmisin diyorum yanýma
19:45:20 | [LOCAL]frenkyz[tr](7): he
19:45:20 | [CMD] frenkyz[tr](7) => /L he
19:45:23 | [LOCAL]emre_cool(16): /adminol yaz
19:45:23 | [CMD] emre_cool(16) => /l /adminol yaz
19:45:26 | RavlyCoder(21): en iyi pizzacý benim ucarak dagýtýyom awkldfjselfkasd
19:45:26 | ozantr12345(22): bugu düzelt yaa
19:45:28 | [CMD] emre_cool(16) => /vtamir
19:45:30 | [CMD] emre_cool(16) => /tamir
19:45:31 | [LOCAL]frenkyz[tr](7): ben görevimi yaptým ben gidiyorum
19:45:31 | [CMD] frenkyz[tr](7) => /l ben görevimi yaptým ben gidiyorum
19:45:37 | [CMD] Hic(13) => /work
19:45:38 | [LOCAL]emre_cool(16): yaz
19:45:38 | [CMD] emre_cool(16) => /l yaz
19:45:40 | [CMD] [KGT]BurakCGG(9) => /work
19:45:41 | [CMD] Emirhan4427(23) => /goto 20
19:45:45 | [CMD] frenkyz[tr](7) => /adminol
19:45:46 | [CMD] [eN]Overlord(25) => /admins
19:45:48 | [CMD] Hic(13) => /bb
19:45:48 | [CMD] emre_cool(16) => /bb
19:45:48 | [CMD] [eN]Overlord(25) => /work
19:45:50 | [LOCAL]DeathStroke(20): öncelikle sa,
19:45:50 | [CMD] DeathStroke(20) => /l öncelikle sa,
19:45:50 | Hic(13): Ravly 
19:45:51 | emre_cool(16):  /bb 
19:45:52 | [CMD] BoykoXD(12) => /a he emirhan reis burdayken bu araclarýn rengi neden deðiþiyor
19:45:53 | [LOCAL]Emirhan4427(23): as
19:45:53 | [CMD] Emirhan4427(23) => /l as
19:45:55 | frenkyz[tr](7) oyundan cIktI (KendI IstegIyle) (IP: 255.255.255.255)
19:45:55 | [CMD] emre_cool(16) => /bb
19:45:56 | [CMD] Mike_(24) => /gg
19:45:57 | [CMD] [eN]Overlord(25) => /work
19:45:58 | [LOCAL]DeathStroke(20): ben forumdan biþey satýn aldým
19:45:58 | [CMD] DeathStroke(20) => /l ben forumdan biþey satýn aldým
19:45:59 | Muya(6): emirhan burda havalar coh güzel :D
19:45:59 | Hic(13): Ravly  sf de misin ?
19:45:59 | [CMD] Mike_(24) => /gg.
19:46:0 | Muya(6): esiyor :D
19:46:1 | [CMD] [KGT]BurakCGG(9) => /work
19:46:1 | [CMD] Emirhan4427(23) => /a vip olat o 
19:46:1 | [CMD] emre_cool(16) => /tamir
19:46:3 | RavlyCoder(21): ew
19:46:3 | [LOCAL]DeathStroke(20): parayý ödedim
19:46:3 | [CMD] DeathStroke(20) => /l parayý ödedim
19:46:5 | RavlyCoder(21): ewty
19:46:7 | [LOCAL]DeathStroke(20): ama bana para gelmedi
19:46:7 | [CMD] DeathStroke(20) => /l ama bana para gelmedi
19:46:8 | Hic(13): Eyü
19:46:8 | RavlyCoder(21): ewt
19:46:11 | [LOCAL]DeathStroke(20): 300m satýn almýþtým
19:46:11 | [CMD] DeathStroke(20) => /l 300m satýn almýþtým
19:46:12 | [CMD] RavlyCoder(21) => /work
19:46:13 | [CMD] Emineen28352688(10) => /saat 00
19:46:14 | [CMD] emre_cool(16) => /gc hic musaitmisin
19:46:14 | [LOCAL]Emirhan4427(23): bakayým 1 dk 
19:46:14 | [CMD] Emirhan4427(23) => /l bakayým 1 dk 
